Amstrad - CPC Missing

Boxarts   420/6396  6.57%
Snaps      30/6396  0.47%
Titles     11/6396  0.17%
Total    461/19188  2.40%

Name                                                                                                       Boxart  Snap  Title
007 - A View To A Kill (Domark)                                                                               ✗      ✗     ✗
007 - A View To A Kill (Eureka) (France)                                                                      ✗      ✗     ✗
007 - A View to a Kill                                                                                        ✗      ✗     ✗
007 - A View to a Kill (Alt 1)                                                                                ✗      ✗     ✗
007 - Licence to Kill                                                                                         ✗      ✗     ✗
007 - Licence to Kill [cr CACH]                                                                               ✗      ✗     ✗
007 - Live and Let Die                                                                                        ✗      ✗     ✗
007 - Live and Let Die (Domark)                                                                               ✗      ✗     ✗
007 - Live and Let Die [cr Celtic Gang]                                                                       ✗      ✗     ✗
007 - Live and Let Die [cr XOR][t +2 XOR]                                                                     ✗      ✗     ✗
007 - The Living Daylights                                                                                    ✗      ✗     ✗
007 - The Living Daylights (Domark)                                                                           ✗      ✗     ✗
007 - The Living Daylights [cr Crackedman]                                                                    ✗      ✗     ✗
007 - The Living Daylights [cr XOR][t +2 XOR]                                                                 ✗      ✗     ✗
007 - The Spy Who Loved Me (Domark)                                                                           ✗      ✗     ✗
007 - The Spy Who Loved Me [cr NPS][t +2 NPS]                                                                 ✗      ✗     ✗
1001 BC (ERE Informatique) (France)                                                                           ✗      ✗     ✗
1001 BC (ERE Informatique) (France) (Alt 1)                                                                   ✗      ✗     ✗
10th Frame (US Gold)                                                                                          -      ✗     ✗
12 Lost Souls (Amstrad Adventure PD Library)                                                                  ✗      ✗     ✗
12 Lost Souls (Len Townsend)                                                                                  ✗      ✗     ✗
180 (Mastertronic Added Dimension)                                                                            ✗      ✗     ✗
180 (Mastertronic Added Dimension)[cr Section Jaguar]                                                         ✗      ✗     ✗
180 (Mastertronic)                                                                                            ✗      ✗     ✗
1815 (Cobra Soft) (France)                                                                                    ✗      ✗     ✗
1914 (Amstar) (France)                                                                                        ✗      ✗     ✗
1914 (Amstrad User)                                                                                           ✗      ✗     ✗
1914 (FC1Fro) (France)                                                                                        ✗      ✗     ✗
1942 (Elite Systems)                                                                                          -      ✗     ✗
1942 (Elite Systems)[t]                                                                                       -      ✗     ✗
1943 - The Battle of Midway (Go!)[cr Exocet]                                                                  ✗      ✗     ✗
1943 - The Battle of Midway (Go!)[cr XOR][t XOR]                                                              ✗      ✗     ✗
1943 - The Battle of Midway (US Gold)                                                                         ✗      ✗     ✗
1st Division Manager (Codemasters)[cr The Equalizor]                                                          ✗      ✗     ✗
2 Player Soccer Squad (Cult Games)                                                                            ✗      ✗     ✗
20000 Avant J.C. (Chip) (France)                                                                              ✗      ✗     ✗
20000 Avant J.C. (Chip) (France)[cr NPS][t +2 NPS]                                                            ✗      ✗     ✗
20000 Avant J.C. (Chip) (France)[cr Two Mag][t Two Mag]                                                       ✗      ✗     ✗
20000 Lieus sous les Mers (Coktel Vision) (France)                                                            ✗      ✗     ✗
20000 Lieus sous les Mers (Coktel Vision) (France) (Disk 1 of 2)[CPM Version]                                 ✗      ✗     ✗
20000 Lieus sous les Mers (Coktel Vision) (France) (Disk 2 of 2)[CPM Version]                                 ✗      ✗     ✗
2088 (Zeppelin Games)                                                                                         ✗      ✗     ✗
2088 (Zeppelin Games) (Alt 1)                                                                                 ✗      ✗     ✗
2088 (Zeppelin Games) (Beta)                                                                                  ✗      ✗     ✗
2112 AD (Design Design Software)                                                                              ✗      ✗     ✗
2112 AD (Design Design Software) (M4)                                                                         ✗      ✗     ✗
2112 AD (Design Design Software)[cr NPS]                                                                      ✗      ✗     ✗
3 Guerra Mundial (Pactum) (Spain)                                                                             ✗      ✗     ✗
3 Guerra Mundial (Pactum) (Spain) (Disk 1 of 2)                                                               ✗      ✗     ✗
3 Guerra Mundial (Pactum) (Spain) (Disk 2 of 2)                                                               ✗      ✗     ✗
3D Boxing (Amsoft)                                                                                            ✗      ✗     ✗
3D Boxing (Amsoft) (France)                                                                                   ✗      ✗     ✗
3D Fight (Loriciels) (France)                                                                                 ✗      ✗     ✗
3D Fight (Loriciels) (France) (Alt 1)                                                                         ✗      ✗     ✗
3D Grand Prix (Amsoft)                                                                                        ✗      ✗     ✗
3D Monster Chase (Romik Software)                                                                             ✗      ✗     ✗
3D Morpion (Hebdogiciel) (France)                                                                             ✗      ✗     ✗
3D Morpion (R. Lanne) (France)                                                                                ✗      ✗     ✗
3D Pool (Firebird Software)                                                                                   ✗      ✗     ✗
3D Pool (Firebird Software) (Disk 1 of 2)                                                                     ✗      ✗     ✗
3D Pool (Firebird Software) (Disk 2 of 2)                                                                     ✗      ✗     ✗
3D Pool (Firebird Software)[cr Steel McKraken - Exocet]                                                       ✗      ✗     ✗
3D Quark Invaders (Amsoft)                                                                                    ✗      ✗     ✗
3D Quark Invaders (Quark Data - Amsoft)                                                                       ✗      ✗     ✗
3D Quasars (Solar Software)[t]                                                                                ✗      ✗     ✗
3D Starfighter (Codemasters)                                                                                  ✗      ✗     ✗
3D Starfigther (Codemasters)[cr NPS][t NPS]                                                                   ✗      ✗     ✗
3D Starstrike (Realtime Games Software)                                                                       ✗      ✗     ✗
3D Stunt Rider (Amsoft)                                                                                       ✗      ✗     ✗
3D Stunt Rider (DJL Software - Amsoft)                                                                        ✗      ✗     ✗
3D Time Trek (Anirog Software)                                                                                ✗      ✗     ✗
3D Voicechess (CP Software)                                                                                   ✗      ✗     ✗
3D Voicechess (CP Software) (France)                                                                          ✗      ✗     ✗
3D Voicechess (CP Software) (Spain)                                                                           ✗      ✗     ✗
3D-Sub (Loriciels) (France)                                                                                   ✗      ✗     ✗
3D-Sub (Loriciels) (France) (Alt 1)                                                                           ✗      ✗     ✗
3DC (Encore)                                                                                                  ✗      ✗     ✗
