Atari - 8-bit Missing

Boxarts   1/9007  0.01%
Snaps     1/9007  0.01%
Titles    1/9007  0.01%
Total    3/27021  0.01%

Name                                                                                                                                    Boxart  Snap  Title
0 Grad Nord (Ariolasoft) (DE) (Side A)[cr Homesoft][BASIC]                                                                                 ✗      ✗     ✗
0 Grad Nord (Ariolasoft) (DE) (Side B)[cr Homesoft][BASIC]                                                                                 ✗      ✗     ✗
0 Grad Nord (Secret Games) (DE) (Side A)[BASIC]                                                                                            ✗      ✗     ✗
0 Grad Nord (Secret Games) (DE) (Side B)[BASIC]                                                                                            ✗      ✗     ✗
007 - The Living Daylights (ANG Software) (NL)                                                                                             ✗      ✗     ✗
007 - The Living Daylights (GB)                                                                                                            ✗      ✗     ✗
007 - The Living Daylights (GB)[cr L.P.S.]                                                                                                 ✗      ✗     ✗
007 - The Living Daylights (GB)[cr S.H.A.B.]                                                                                               ✗      ✗     ✗
007 - The Living Daylights (GB)[k-file]                                                                                                    ✗      ✗     ✗
007 - The Living Daylights (GB)[no SIO patch]                                                                                              ✗      ✗     ✗
007 - The Living Daylights (Zeppelin Games) (GB)                                                                                           ✗      ✗     ✗
1040 Terminator (Antic) (USA)[BASIC]                                                                                                       ✗      ✗     ✗
15 Mit 3 (19xx) (Funkysoft) (DE) (PD)                                                                                                      ✗      ✗     ✗
180 (Mastertronic) (GB)                                                                                                                    ✗      ✗     ✗
180 (Mastertronic) (GB)[cr Mr. Bacardi]                                                                                                    ✗      ✗     ✗
180 (Mastertronic) (GB)[cr Mr. Bacardi](Alt 1)[k-file]                                                                                     ✗      ✗     ✗
180 (Mastertronic) (GB)[cr Mr. Bacardi][k-file]                                                                                            ✗      ✗     ✗
2010 - The Second Odysee (Paterak Software) (DE) (PD) (Side A)[BASIC]                                                                      ✗      ✗     ✗
2010 - The Second Odysee (Paterak Software) (DE) (PD) (Side A)[h Snake][BASIC]                                                             ✗      ✗     ✗
2010 - The Second Odysee (Paterak Software) (DE) (PD) (Side B)[BASIC]                                                                      ✗      ✗     ✗
21 Blackjack (AtariServ) (USA) (PD) (Alt 1)[BASIC]                                                                                         ✗      ✗     ✗
21 Blackjack (AtariServ) (USA) (PD)[BASIC]                                                                                                 ✗      ✗     ✗
221B Baker Street - Case Library #1 (Datasoft) (USA)                                                                                       ✗      ✗     ✗
221B Baker Street - Case Library #2 (Datasoft) (USA)                                                                                       ✗      ✗     ✗
221B Baker Street v1.0 (Datasoft) (USA) (Side A)                                                                                           ✗      ✗     ✗
221B Baker Street v1.0 (Datasoft) (USA) (Side A)[cr The Bounty]                                                                            ✗      ✗     ✗
221B Baker Street v1.0 (Datasoft) (USA) (Side B)                                                                                           ✗      ✗     ✗
221B Baker Street v1.0 (Datasoft) (USA) (Side B)[cr The Bounty]                                                                            ✗      ✗     ✗
235 U (L.K. Avalon) (PL)[cr Mr. Bacardi]                                                                                                   ✗      ✗     ✗
235 U (L.K. Avalon) (PL)[cr Mr. Bacardi](Alt 1)[k-file]                                                                                    ✗      ✗     ✗
235 U (L.K. Avalon) (PL)[cr Mr. Bacardi][k-file]                                                                                           ✗      ✗     ✗
2600 Adventure (Tony Ramos) (Alt 1)[unfinished]                                                                                            ✗      ✗     ✗
2600 Adventure (Tony Ramos)[unfinished]                                                                                                    ✗      ✗     ✗
3-D Master Mind (Torru, G. P.) (NL) (PD)                                                                                                   ✗      ✗     ✗
3-D Maze Escape (1983) (Antic) (USA)[BASIC]                                                                                                ✗      ✗     ✗
3-D Noughts _ Crosses (Ad Astra) (GB)                                                                                                      ✗      ✗     ✗
3-D Pac (Secret Games) (DE)                                                                                                                ✗      ✗     ✗
3-D Pac Plus (Secret Games) (DE)                                                                                                           ✗      ✗     ✗
3-D Red Baron (1980) (Sebree's Computing) (USA)                                                                                            ✗      ✗     ✗
3-D Red Baron (1980) (Sebree's Computing) (USA) (Alt 1)[k-file]                                                                            ✗      ✗     ✗
3-D Red Baron (1980) (Sebree's Computing) (USA)[CLOAD+RUN][BASIC]                                                                          ✗      ✗     ✗
3-D Red Baron (1980) (Sebree's Computing) (USA)[k-file]                                                                                    ✗      ✗     ✗
3-D Tic-Tac-Toe (1979) (Atari) (USA)                                                                                                       ✗      ✗     ✗
3-D Tic-Tac-Toe (1979) (Atari) (USA) (Alt 1)                                                                                               ✗      ✗     ✗
3-D Tic-Tac-Toe (1979) (Atari) (USA) (Alt 1)[k-file]                                                                                       ✗      ✗     ✗
3-D Tic-Tac-Toe (1979) (Atari) (USA)[k-file]                                                                                               ✗      ✗     ✗
3-D Tic-Tac-Toe (1979) (Atari)[CXL4010]                                                                                                    ✗      ✗     ✗
3-D Tic-Tac-Toe (1981) (Adventure International) (USA)[CLOAD+RUN][BASIC]                                                                   ✗      ✗     ✗
3-D Tic-Tac-Toe (USA)                                                                                                                      ✗      ✗     ✗
3-D-Pac (1988-06) (AMC-Verlag) (DE)                                                                                                        ✗      ✗     ✗
3D-Pac (1988-06) (AMC-Verlag) (DE)                                                                                                         ✗      ✗     ✗
3d24 (L.K. Avalon) (PL)                                                                                                                    ✗      ✗     ✗
3d24 (L.K. Avalon) (PL)[k-file]                                                                                                            ✗      ✗     ✗
747 Flight Simulator (1983) (DACC) (GB)[CLOAD+RUN][BASIC]                                                                                  ✗      ✗     ✗
747 Flug-Simulator (1981) (Atari) (DE)[BASIC]                                                                                              ✗      ✗     ✗
747 Landing Simulator (1981) (APX) (USA) (Alt 1)[BASIC]                                                                                    ✗      ✗     ✗
747 Landing Simulator (1981) (APX) (USA) (Alt 2)[BASIC]                                                                                    ✗      ✗     ✗
747 Landing Simulator (1981) (APX) (USA)[BASIC]                                                                                            ✗      ✗     ✗
747 Landing Simulator (1981) (APX) (USA)[CLOAD+RUN][BASIC]                                                                                 ✗      ✗     ✗
A To Snad Ne (19xx) (-) (cs) (Side A)                                                                                                      ✗      ✗     ✗
A To Snad Ne (19xx) (-) (cs) (Side A)[k-file]                                                                                              ✗      ✗     ✗
A To Snad Ne (19xx) (-) (cs) (Side B)                                                                                                      ✗      ✗     ✗
A To Snad Ne (19xx) (-) (cs) (Side B)[k-file]                                                                                              ✗      ✗     ✗
A-Zone (B.Ware Software) (GB)                                                                                                              ✗      ✗     ✗
A.D. 2044 (L.K. Avalon) (PL) (Side A)                                                                                                      ✗      ✗     ✗
A.D. 2044 (L.K. Avalon) (PL) (Side A) (Alt 1)                                                                                              ✗      ✗     ✗
A.D. 2044 (L.K. Avalon) (PL) (Side A) (Alt 2)                                                                                              ✗      ✗     ✗
A.D. 2044 (L.K. Avalon) (PL) (Side B)                                                                                                      ✗      ✗     ✗
A.D. 2044 (L.K. Avalon) (PL) (Side B) (Alt 1)                                                                                              ✗      ✗     ✗
A.D. 2044 (L.K. Avalon) (PL) (Side B) (Alt 2)                                                                                              ✗      ✗     ✗
A.D. 2044 (L.K. Avalon) (PL) (Side B) (Alt 3)                                                                                              ✗      ✗     ✗
A.E. (1982) (Broderbund) (USA) (Side A)                                                                                                    ✗      ✗     ✗
A.E. (1982) (Broderbund) (USA) (Side B)                                                                                                    ✗      ✗     ✗
A.E. (1982) (Broderbund) (USA) (Side B) (Alt 1)                                                                                            ✗      ✗     ✗
A.E. (Homesoft) (DE)[5200]                                                                                                                 ✗      ✗     ✗
A.E. (USA) (Side A)                                                                                                                        ✗      ✗     ✗
ABC (Sikor Soft) (PL)                                                                                                                      ✗      ✗     ✗
ABC (Sikor Soft) (PL) (Alt 1)                                                                                                              ✗      ✗     ✗
ABC Sports (19xx) (Hoffman, Howard - Maloney, Pat) (USA)[BASIC]                                                                            ✗      ✗     ✗
AMP! (19xx) (Magenheimer, Andreas) (DE)[PCS]                                                                                               ✗      ✗     ✗
ANALOG Man (19xx) (ANALOG Computing) (USA)                                                                                                 ✗      ✗     ✗
ARoP (19xx) (Snyder, Jon) (USA) (PD)                                                                                                       ✗      ✗     ✗
ASCII Chase (2017-06-09) (Caruso, Fabrizio)                                                                                                ✗      ✗     ✗
ASCII Chase (2017-06-10) (Caruso, Fabrizio)                                                                                                ✗      ✗     ✗
ASCII Chase (2017-06-12) (Caruso, Fabrizio)                                                                                                ✗      ✗     ✗
ASCII Chase (2017-06-20) (Caruso, Fabrizio) (800)                                                                                          ✗      ✗     ✗
ASCII Chase (2017-06-20) (Caruso, Fabrizio) (XL)                                                                                           ✗      ✗     ✗
ASCII Chase (2017-06-26) (Caruso, Fabrizio) (800)                                                                                          ✗      ✗     ✗
ASCII Chase (2017-06-26) (Caruso, Fabrizio) (XL)                                                                                           ✗      ✗     ✗
ASCII Chase (2017-07-01) (Caruso, Fabrizio) (800)                                                                                          ✗      ✗     ✗
ASCII Chase (2017-07-01) (Caruso, Fabrizio) (XL)                                                                                           ✗      ✗     ✗
ASCII Chase (2017-07-05) (Caruso, Fabrizio) (800)                                                                                          ✗      ✗     ✗
ASCII Chase (2017-07-05) (Caruso, Fabrizio) (XL)                                                                                           ✗      ✗     ✗
ASCII Chase (2017-07-07) (Caruso, Fabrizio) (800)                                                                                          ✗      ✗     ✗
ASCII Chase (2017-07-07) (Caruso, Fabrizio) (XL)                                                                                           ✗      ✗     ✗
ASCII Chase (2017-07-08) (Caruso, Fabrizio) (800)                                                                                          ✗      ✗     ✗
ASCII Chase (2017-07-08) (Caruso, Fabrizio) (XL)                                                                                           ✗      ✗     ✗
AURA Ball (Aura) (GB) (FW)[PCS]                                                                                                            ✗      ✗     ✗
Abenteuer im Weltraum (Atari) (DE)[aka Alien Egg][BASIC]                                                                                   ✗      ✗     ✗
Abenteuer in Schottland (Kruse Software) (DE) (Side A)                                                                                     ✗      ✗     ✗
Abenteuer in Schottland (Kruse Software) (DE) (Side B)                                                                                     ✗      ✗     ✗
Abracadabra! (1983) (TG Software) (USA)                                                                                                    ✗      ✗     ✗
Abracadabra! (1983) (TG Software) (USA)[compressed]                                                                                        ✗      ✗     ✗
Abracadabra! (1983) (TG Software) (USA)[k-file]                                                                                            ✗      ✗     ✗
Abracadabra! (1983) (TG Software) (USA)[t]                                                                                                 ✗      ✗     ✗
Abraxas Adventure #1 - Assault on the Astral Rift (MMG Micro Software) (USA) (Disk 1 of 2)                                                 ✗      ✗     ✗
Abraxas Adventure #1 - Assault on the Astral Rift (MMG Micro Software) (USA) (Disk 1 of 2) (Alt 1)                                         ✗      ✗     ✗
Abraxas Adventure #1 - Assault on the Astral Rift (MMG Micro Software) (USA) (Disk 1 of 2) (Alt 2)                                         ✗      ✗     ✗
Abraxas Adventure #1 - Assault on the Astral Rift (MMG Micro Software) (USA) (Disk 2 of 2)                                                 ✗      ✗     ✗
Abraxas Adventure #1 - Assault on the Astral Rift (MMG Micro Software) (USA) (Disk 2 of 2) (Alt 1)                                         ✗      ✗     ✗
Abuse v2.9 (1981) (Don't Ask Computer Software) (USA) (Alt 1)[OS-B][BASIC]                                                                 ✗      ✗     ✗
Abuse v2.9 (1981) (Don't Ask Computer Software) (USA)[OS-B][BASIC]                                                                         ✗      ✗     ✗
Abuse v2.9 (1981) (Don't Ask Computer Software) (USA)[cr Super Ron][BASIC]                                                                 ✗      ✗     ✗
Accion (Caillahuz, Mario) (PE) (FW)                                                                                                        ✗      ✗     ✗
Ace Dribbler and the Roadhogs (New Atari User) (GB)                                                                                        ✗      ✗     ✗
Ace of Aces (Accolade) (USA)                                                                                                               ✗      ✗     ✗
Ace of Aces (Accolade) (USA) (Alt 1)                                                                                                       ✗      ✗     ✗
Ace of Aces (Atari) (USA)                                                                                                                  ✗      ✗     ✗
Ace of Aces (U.S. Gold) (GB)                                                                                                               ✗      ✗     ✗
Ace of Aces (U.S. Gold) (GB) (Side A)                                                                                                      ✗      ✗     ✗
