Atari - ST Missing

Boxarts   346/404  85.64%
Snaps     315/404  77.97%
Titles    142/404  35.15%
Total    803/1212  66.25%

Name                                                                                           Boxart  Snap  Title
10th Frame (Europe)                                                                               -      -     ✗
500cc Grand Prix (Europe)                                                                         -      -     ✗
5th Gear (Europe)                                                                                 -      -     ✗
Academy - Tau Ceti II (Europe)                                                                    -      -     ✗
Action Fighter (Europe)                                                                           -      -     ✗
Action Service (Europe)                                                                           -      -     ✗
Addictaball (Europe)                                                                              -      -     ✗
Adidas Championship Tie Break (Europe)                                                            -      -     ✗
Advanced Dungeons _ Dragons - Heroes of the Lance - A DragonLance Action Game (Europe)            -      ✗     ✗
Advanced Fruit Machine Simulator (Europe)                                                         -      -     ✗
Advanced Rugby Simulator (Europe)                                                                 -      -     ✗
Adventures of Robin Hood, The (Europe) (En,Fr,De,It)                                              -      -     ✗
Afterburner (Europe)                                                                              -      -     ✗
Alien World (Europe)                                                                              -      -     ✗
Alternate Reality - The City (Europe) (v3.0)                                                      ✗      -     -
Anarchy (Europe)                                                                                  -      -     ✗
Another World (Europe)                                                                            -      -     ✗
Apprentice (Europe)                                                                               -      -     ✗
Archipelagos (Europe)                                                                             -      -     ✗
Arcticfox (Europe)                                                                                -      -     ✗
Arkanoid + Rampage (Europe) (Summer Pack)                                                         -      ✗     ✗
Artificial Dreams (Europe)                                                                        ✗      -     ✗
Atax (Europe)                                                                                     -      -     ✗
Atomix (Europe)                                                                                   -      -     ✗
BMX Simulator (Europe)                                                                            -      -     ✗
Backgammon Royale (Europe) (En,Fr,De) (v2.50 4 Jan 91)                                            -      -     ✗
Bad Dudes vs. Dragon Ninja (Europe)                                                               -      ✗     ✗
Balance of Power - The 1990 Edition (Europe)                                                      -      -     -
Ballistix (Europe)                                                                                -      -     ✗
Barbarian - The Ultimate Warrior (Europe)                                                         -      -     -
Battle Chess (Europe)                                                                             -      -     ✗
Battle Probe (Europe)                                                                             -      -     ✗
Battlehawks 1942 (Europe) (v1.0 3.1.89)                                                           -      -     ✗
Battleships (Europe)                                                                              -      ✗     ✗
Beach Volley (Europe)                                                                             -      -     ✗
Beastlord (Europe)                                                                                ✗      -     ✗
Better Dead Than Alien (Europe)                                                                   -      ✗     ✗
Beyond the Ice Palace (Europe)                                                                    -      -     ✗
Billiards Simulator (Europe) (En,Fr,De)                                                           -      ✗     ✗
Billiards Simulator II (Europe)                                                                   -      ✗     ✗
Black Sect (France)                                                                               ✗      ✗     ✗
Black Tiger (Europe) (Compilation - Les Chevaliers)                                               -      -     ✗
Blasteroids (Europe)                                                                              -      -     ✗
Blazing Thunder (Europe)                                                                          -      -     ✗
Blockout (Europe)                                                                                 -      -     ✗
Blood Money (Europe) (Budget - Sizzlers)                                                          -      -     ✗
Bloodwych (Europe) (Data Disk - Volume 1)                                                         -      -     ✗
Blues Brothers, The (Europe)                                                                      -      -     ✗
Bob Winner (Europe)                                                                               -      -     ✗
Bomb Jack (Europe) (Budget - Encore)                                                              -      -     ✗
Bridge Master (Europe)                                                                            ✗      -     ✗
Bridge Player 2000 with Tutor (Europe)                                                            -      -     ✗
Bubble Ghost (Europe) (American Dreams)                                                           -      ✗     ✗
Bumpy (Europe)                                                                                    -      -     ✗
Burger Man (Europe)                                                                               -      -     ✗
Captain Blood (Europe)                                                                            -      -     ✗
Captain Fizz Meets the Blaster-Trons (Europe) (En,Fr,De)                                          -      -     ✗
Carrier Command (Europe) (En,Fr,De)                                                               -      -     ✗
Cartoon Capers (Europe)                                                                           -      -     ✗
Catch 23 (Europe)                                                                                 -      -     ✗
Champion of the Raj (Europe)                                                                      -      ✗     ✗
Championship Baseball (Europe)                                                                    -      -     ✗
Championship Cricket (Europe)                                                                     ✗      -     ✗
Championship Water-Skiing (Europe)                                                                -      ✗     ✗
Championship Wrestling (Europe)                                                                   ✗      -     ✗
Chase (Europe)                                                                                    -      -     ✗
Chase H.Q. (Europe)                                                                               -      -     ✗
Chess Player 2150 (Europe)                                                                        -      -     ✗
Chess Player 2150 (Europe) (Compilation - TenStar Pack)                                           -      -     ✗
Chess Simulator (Europe) (En,Fr)                                                                  -      -     ✗
Chessmaster 2000, The (Europe)                                                                    -      -     ✗
Chicago 30's (Europe)                                                                             -      -     ✗
Chip's Challenge (Europe)                                                                         -      -     ✗
Chopper X + Warlock (Europe) (Summer Pack)                                                        ✗      ✗     ✗
Chrono Quest II (Europe) (Dual Sided)                                                             -      -     ✗
Chuckie Egg (Europe)                                                                              -      -     ✗
Chuckie Egg II (Europe)                                                                           ✗      -     ✗
Clever and Smart (Europe)                                                                         -      -     ✗
