Coleco - ColecoVision Missing

Boxarts  134/193  69.43%
Snaps    117/193  60.62%
Titles   117/193  60.62%
Total    368/579  63.56%

Name                                                                Boxart  Snap  Title
2010 - The Graphic Action Game (USA)                                   -      -     -
2010 - The Graphic Action Game (USA) (Beta)                            ✗      ✗     ✗
A.E. (USA) (Proto)                                                     ✗      ✗     ✗
Activision Decathlon, The (USA)                                        -      -     -
Adam's Musicbox Demo (USA) (Demo)                                      -      -     -
Alcazar - The Forgotten Fortress (USA)                                 -      -     -
Alphabet Zoo (USA)                                                     -      -     -
Amazing Bumpman (USA)                                                  -      -     -
Antarctic Adventure (USA, Europe)                                      -      -     -
Antarctic Adventure (USA, Europe) (Beta)                               ✗      ✗     ✗
Aquattack (USA)                                                        -      -     -
Artillery Duel (USA)                                                   -      -     -
BC's Quest for Tires (Canada)                                          ✗      ✗     ✗
BC's Quest for Tires (USA)                                             -      -     -
BC's Quest for Tires II - Grog's Revenge (Canada)                      -      -     -
BC's Quest for Tires II - Grog's Revenge (USA)                         -      -     -
Beamrider (USA)                                                        -      -     -
Berenstain Bears, The (USA) (Demo)                                     ✗      ✗     ✗
Blockade Runner (USA)                                                  -      -     -
Boulder Dash (USA)                                                     -      -     -
Boulder Dash (USA) (Beta)                                              ✗      ✗     ✗
Brain Strainers (USA)                                                  ✗      ✗     ✗
Buck Rogers - Planet of Zoom (USA, Europe)                             -      -     -
Bump 'n' Jump (USA, Europe)                                            -      -     -
Bump 'n' Jump (USA, Europe) (Beta)                                     -      -     -
BurgerTime (USA, Europe)                                               -      -     -
BurgerTime (USA, Europe) (Beta)                                        -      -     -
CAT S.O.S. Game, The (USA) (Promo)                                     ✗      ✗     ✗
Cabbage Patch Kids - Adventures in the Park (USA, Europe)              -      -     -
Cabbage Patch Kids - Adventures in the Park (USA, Europe) (Beta 1)     -      -     -
Cabbage Patch Kids - Adventures in the Park (USA, Europe) (Beta 2)     ✗      ✗     ✗
Cabbage Patch Kids - Picture Show (USA)                                -      -     -
Campaign '84 (USA)                                                     -      -     -
Carnival (USA, Europe)                                                 -      -     -
Castelo (Brazil) (Unl)                                                 ✗      ✗     ✗
Centipede (USA)                                                        -      -     -
Choplifter! (USA)                                                      -      -     -
Chuck Norris - Superkicks (USA)                                        -      -     -
ColecoVision Monitor Test (USA, Europe)                                -      -     -
Congo Bongo (USA)                                                      -      -     -
Cosmic Avenger (USA, Europe)                                           -      -     -
Cosmic Crisis (Europe)                                                 -      -     -
Dam Busters, The (Canada)                                              ✗      ✗     ✗
Dam Busters, The (USA)                                                 -      -     -
Dance Fantasy (USA)                                                    -      -     -
Defender (USA)                                                         -      -     -
Defender (USA) (BUG Fixed)                                             ✗      ✗     ✗
Destructor (USA, Europe)                                               -      -     -
Dig Dug (USA) (Proto)                                                  -      -     -
Donkey Kong (USA)                                                      -      -     -
Donkey Kong (USA, Europe) (v1.1)                                       -      -     -
Donkey Kong Junior (USA, Europe)                                       -      -     -
Dr. Seuss - Fix-Up the Mix-Up Puzzler (USA)                            -      -     -
Dragon's Lair (USA) (Proto)                                            -      ✗     ✗
Dragonfire (USA)                                                       -      -     -
Dukes of Hazzard, The (USA)                                            -      -     -
Escape from the Mindmaster (USA) (Proto)                               -      -     -
Evolution (Canada)                                                     ✗      ✗     ✗
Evolution (USA) (Unl)                                                  -      -     -
Facemaker (USA)                                                        -      -     -
Fall Guy (USA) (Proto)                                                 ✗      ✗     ✗
Fathom (USA)                                                           -      -     -
Fireman (USA) (Proto)                                                  ✗      ✗     ✗
Flipper Slipper (USA) (Unl)                                            ✗      ✗     ✗
Flipper Slipper (USA, Europe)                                          -      -     -
Fortune Builder (USA)                                                  -      -     -
Fraction Fever (USA)                                                   -      -     -
Frantic Freddy (USA)                                                   -      -     -
Frenzy (USA, Europe)                                                   -      -     -
Frogger (USA)                                                          -      -     -
