Commodore - 64 Missing

Boxarts  213/237  89.87%
Snaps    232/237  97.89%
Titles   229/237  96.62%
Total    674/711  94.80%

Name                                                                                                          Boxart  Snap  Title
Activision Decathlon, The (USA, Europe)                                                                          -      -     -
Adventure 1 - The Mutant Spiders (USA, Europe)                                                                   -      -     -
Adventure 3 - The Fourth Sarcophagus (USA, Europe)                                                               -      -     -
Adventure Creator (USA, Europe)                                                                                  -      -     -
Aegean Voyage (USA, Europe)                                                                                      -      -     -
After the War (USA, Europe)                                                                                      -      -     -
Alf in the Color Caves (USA, Europe)                                                                             -      -     -
Alien Sidestep (USA, Europe)                                                                                     -      -     ✗
Alpha Build (USA, Europe)                                                                                        -      -     -
Alphabet Zoo (USA, Europe)                                                                                       -      -     -
Arnie Armchair's Howzat Cricket Game (USA, Europe)                                                               -      -     -
Astroblitz (USA, Europe)                                                                                         -      -     -
Attack of the Mutant Camels (USA)                                                                                -      -     -
Avenger (Japan) (v02) (MAX)                                                                                      -      -     -
Avenger (USA, Europe) (v03) (MAX)                                                                                -      -     -
BC's Quest for Tires (USA, Europe)                                                                               -      -     -
BadLands (USA, Europe)                                                                                           -      -     -
Batman - The Movie (Europe)                                                                                      -      -     -
Battle Command (Europe)                                                                                          -      -     -
Battlezone (USA, Europe)                                                                                         -      -     -
Beamrider (USA, Europe)                                                                                          -      -     -
Big Bird's Funhouse (USA, Europe)                                                                                -      -     -
Big Bird's Special Delivery (USA, Europe)                                                                        -      -     -
Blueprint (USA, Europe)                                                                                          -      -     -
Bowling (Japan) (MAX)                                                                                            -      -     -
Bridge 64 (USA, Europe)                                                                                          ✗      -     -
Bubble Burst (USA, Europe)                                                                                       -      -     -
Buck Rogers - Planet of Zoom (USA, Europe)                                                                       -      -     -
Bug Crusher (USA, Europe)                                                                                        -      -     -
Castle Hassle (USA, Europe)                                                                                      -      -     -
Centipede (USA, Europe)                                                                                          -      -     -
Chase H.Q. II - Special Criminal Investigation (Europe)                                                          -      -     -
Checkers (USA, Europe)                                                                                           -      -     -
Choplifter! (USA, Europe)                                                                                        -      -     -
Close Encounters of the Worst Kind (USA, Europe)                                                                 -      -     -
Clowns (Japan) (v01) (MAX)                                                                                       -      -     -
Clowns (Japan) (v02) (MAX)                                                                                       -      -     -
Coccinelle cherche dessinateur (France)                                                                          ✗      -     -
Coco Notes (USA, Europe)                                                                                         -      -     -
Colossus Chess + Silicon Syborgs + International Football (USA, Europe) (Super Games)                            ✗      -     -
Congo Bongo (USA, Europe)                                                                                        -      -     -
Cosmic Life (USA, Europe)                                                                                        -      -     -
Counterweight Kate (World) (Aftermarket)                                                                         -      ✗     ✗
Crisis Mountain (USA, Europe)                                                                                    -      -     -
Crystal Castles (USA, Europe) (Proto)                                                                            -      -     -
Cyberball (USA, Europe)                                                                                          -      -     -
Dance Fantasy (USA, Europe)                                                                                      ✗      -     -
Dancing Feats (USA, Europe)                                                                                      -      -     -
Defender (USA, Europe)                                                                                           -      -     -
Diamond Mine (USA, Europe)                                                                                       -      -     -
Dig Dug (USA, Europe)                                                                                            -      -     -
Donkey Kong (USA, Europe)                                                                                        -      -     -
Dot Gobbler (USA, Europe)                                                                                        -      -     -
Dot Gobbler (USA, Europe) (Alt 1)                                                                                -      -     -
Double Dragon (USA, Europe) (HES)                                                                                -      -     -
Double Dragon (USA, Europe) (Ocean)                                                                              -      -     -
Dragonsden (USA, Europe)                                                                                         -      -     -
Ducks Ahoy! (USA, Europe)                                                                                        -      -     -
Ernie's Magic Shapes (USA, Europe)                                                                               -      -     -
Espial (USA, Europe)                                                                                             -      -     -
Facemaker (USA, Europe)                                                                                          ✗      -     ✗
Falconian Invaders (USA, Europe)                                                                                 -      -     -
Fiendish Freddy's Big Top o' Fun + International Soccer + Flimbo's Quest + Klax (Europe) (C 64 Games System)     ✗      -     -
Fraction Fever (USA, Europe)                                                                                     -      -     -
Frog Master (USA, Europe)                                                                                        -      -     -
Frogger (USA, Europe)                                                                                            -      -     -
