Commodore - Amiga Missing

Boxarts  1599/3197  50.02%
Snaps    2002/3197  62.62%
Titles   1168/3197  36.53%
Total    4769/9591  49.72%

Name                                                                                                                                                  Boxart  Snap  Title
'Allo 'Allo - Cartoon Fun! (Europe)                                                                                                                      ✗      ✗     ✗
'Allo 'Allo - Cartoon Fun! (Europe) (Alt)                                                                                                                ✗      ✗     ✗
'Nam 1965-1975 (Europe) (En,Fr,De,It)                                                                                                                    ✗      ✗     ✗
10 out of 10 - Early Essentials (Europe)                                                                                                                 ✗      ✗     ✗
10 out of 10 - Essential Science (Europe)                                                                                                                ✗      ✗     ✗
10 out of 10 - Maths Number (Europe)                                                                                                                     ✗      ✗     ✗
1869 - Erlebte Geschichte Teil I (Germany)                                                                                                               ✗      -     ✗
1869 - Erlebte Geschichte Teil I (Germany) (AGA)                                                                                                         ✗      -     ✗
1st Division Manager (Europe)                                                                                                                            ✗      -     ✗
3D Construction Kit (Europe) (En,Fr,De,It) (r01.1000)                                                                                                    ✗      ✗     ✗
3D Construction Kit 2 (Europe) (r2.01)                                                                                                                   ✗      ✗     ✗
3D Galax (Europe) (Compilation - Action Amiga)                                                                                                           ✗      -     -
3D Pool (Europe)                                                                                                                                         -      -     -
3D World Boxing (Europe) (En,Fr,De,It) (Compilation - Amiga Sports Pack)                                                                                 ✗      -     ✗
3D World Tennis (Europe) (En,Fr,De,It) (Compilation - Amiga Sports Pack)                                                                                 ✗      -     ✗
4D Sports Boxing (Europe)                                                                                                                                -      -     -
4D Sports Driving (Europe) (v1.2)                                                                                                                        -      -     ✗
4th _ Inches (Europe)                                                                                                                                    ✗      -     ✗
4x4 Off-Road Racing (USA)                                                                                                                                ✗      -     -
50 Great Games (Europe)                                                                                                                                  ✗      ✗     ✗
500 C.C MotoManager (Europe) (En,It)                                                                                                                     ✗      -     ✗
590 Setup Disk - Seagate Harddisk (Unknown)                                                                                                              ✗      ✗     ✗
5th Gear (Europe)                                                                                                                                        -      -     -
688 Attack Sub (Europe)                                                                                                                                  -      -     -
7 Colors (Europe) (En,Fr,De,Es,It)                                                                                                                       -      -     -
9 Lives (Europe)                                                                                                                                         ✗      ✗     ✗
A-10 Tank Killer (Europe)                                                                                                                                -      -     -
A-Train (Europe) (v1.01)                                                                                                                                 -      -     ✗
A-Train (France) (v1.01)                                                                                                                                 -      -     ✗
A-Train (Germany) (v1.01)                                                                                                                                -      -     ✗
A-Train Construction Set (Europe) (v1.00)                                                                                                                ✗      ✗     ✗
A-Train Construction Set (Europe) (v1.00) (Compilation - Classics - A-Train)                                                                             ✗      ✗     ✗
A.G.E. - Advanced Galactic Empire (Europe) (En,Fr,De,Es,It)                                                                                              ✗      ✗     ✗
A320 Airbus Vol. 2 (Europe)                                                                                                                              ✗      -     ✗
AAARGH! (Europe)                                                                                                                                         -      -     -
ABC Monday Night Football (USA) (v1.1)                                                                                                                   -      -     ✗
ADS - Advanced Destroyer Simulator (Europe)                                                                                                              ✗      -     ✗
ADS - Advanced Destroyer Simulator (France)                                                                                                              ✗      -     ✗
APB (Europe)                                                                                                                                             -      ✗     ✗
APB (Europe) (Compilation - Tengen Arcade Hits)                                                                                                          -      ✗     ✗
APB + Xybots (Europe) (Compilation - TNT)                                                                                                                ✗      ✗     ✗
ATF II - Advanced Tactical Fighter II (Europe)                                                                                                           ✗      -     ✗
ATF II - Advanced Tactical Fighter II (Europe) (Budget - Action Sixteen)                                                                                 ✗      -     ✗
AV8B Harrier Assault (Europe)                                                                                                                            -      ✗     ✗
Abandoned Places (Europe) (v1.17) (Demo) (Coverdisk - Amiga Action - Issue 30)                                                                           -      -     -
Abandoned Places - A Time for Heroes (Europe)                                                                                                            ✗      -     ✗
Abandoned Places - Zeit fuer Helden (Germany)                                                                                                            ✗      ✗     ✗
Abandoned Places 2 (Europe) (En,De)                                                                                                                      -      -     -
Abracadabra (Europe) (En,Fr,De,Es,It)                                                                                                                    -      -     -
Academy - Tau Ceti II (Europe)                                                                                                                           ✗      ✗     ✗
Accordion (Europe) (v1.1)                                                                                                                                ✗      -     ✗
Action Fighter (Europe) (Amiga + PC) (Budget - Kixx)                                                                                                     -      -     -
Action Fighter (France) (Compilation - Les Fous du Volant)                                                                                               -      -     -
Action Service (Europe)                                                                                                                                  ✗      ✗     ✗
Action Service (Europe) (Compilation - European Dreams)                                                                                                  ✗      ✗     ✗
Action Stations! (Europe) (v1.48)                                                                                                                        ✗      ✗     ✗
Addams Family, The (Europe) (En,Fr,De)                                                                                                                   ✗      ✗     ✗
Adidas Championship Tie-Break (Europe)                                                                                                                   ✗      ✗     ✗
Advanced Dungeons _ Dragons - Champions of Krynn - A DragonLance Fantasy Role-Playing Epic, Vol.I (Europe) (v1.0)                                        ✗      ✗     ✗
Advanced Dungeons _ Dragons - Curse of the Azure Bonds - A Forgotten Realms Fantasy Role-Playing Epic, Vol.II (Europe) (v1.0)                            ✗      ✗     ✗
Advanced Dungeons _ Dragons - Death Knights of Krynn - A DragonLance Fantasy Role-Playing Epic, Vol.II (Europe) (v1.0)                                   ✗      ✗     ✗
Advanced Dungeons _ Dragons - DragonStrike - DragonLance Dragon Combat Simulator (USA) (v1.0)                                                            ✗      ✗     ✗
Advanced Dungeons _ Dragons - Dragons of Flame - A DragonLance Action Game (Europe) (v1.0)                                                               ✗      ✗     ✗
Advanced Dungeons _ Dragons - Dungeon Masters Assistant - Volume I - Encounters (Europe) (v1.0)                                                          ✗      ✗     ✗
Advanced Dungeons _ Dragons - Eye of the Beholder - A Legend Series Fantasy Role-Playing Saga, Vol.I (Europe)                                            ✗      ✗     ✗
Advanced Dungeons _ Dragons - Eye of the Beholder - A Legend Series Fantasy Role-Playing Saga, Vol.I (Germany)                                           ✗      ✗     ✗
Advanced Dungeons _ Dragons - Eye of the Beholder II - Legende von Darkmoon - A Legend Series Fantasy Role-Playing Saga, Vol.II (Germany)                ✗      ✗     ✗
Advanced Dungeons _ Dragons - Eye of the Beholder II - The Legend of Darkmoon - A Legend Series Fantasy Role-Playing Saga, Vol.II (Europe)               ✗      ✗     ✗
Advanced Dungeons _ Dragons - Gateway to the Savage Frontier - A Savage Frontier Fantasy Role-Playing Epic, Vol.I (Europe) (v1.00)                       ✗      ✗     ✗
Advanced Dungeons _ Dragons - Heroes of the Lance - A DragonLance Action Game (Europe) (v1.0)                                                            ✗      ✗     ✗
Advanced Dungeons _ Dragons - Hillsfar - A Forgotten Realms Action Adventure (Europe) (v1.0)                                                             ✗      ✗     ✗
Advanced Dungeons _ Dragons - Hillsfar - A Forgotten Realms Action Adventure (Germany) (v1.0)                                                            ✗      ✗     ✗
Advanced Dungeons _ Dragons - Pool of Radiance - A Forgotten Realms Fantasy Role-Playing Epic, Vol.I (Europe) (v1.0)                                     ✗      ✗     ✗
Advanced Dungeons _ Dragons - Pools of Darkness - A Forgotten Realms Fantasy Role-Playing Epic, Vol.IV (Europe) (v1.0 March 9,1992)                      ✗      ✗     ✗
Advanced Dungeons _ Dragons - Secret of the Silver Blades - A Forgotten Realms Fantasy Role-Playing Epic, Vol.III (Europe) (v1.0 June 12,1991)           ✗      ✗     ✗
Advanced Dungeons _ Dragons - Secret of the Silver Blades - A Forgotten Realms Fantasy Role-Playing Epic, Vol.III (Europe) (v1.0 June 12,1991) (Alt)     ✗      ✗     ✗
Advanced Dungeons _ Dragons - Shadow Sorcerer - A DragonLance Role-Playing Adventure Vol,1 (Europe) (UK-B 1.0)                                           ✗      ✗     ✗
Advanced Dungeons _ Dragons - The Dark Queen of Krynn - A DragonLance Fantasy Role-Playing Epic, Vol.III (Europe) (v1.0 June 16, 1992)                   ✗      ✗     ✗
Advanced Dungeons _ Dragons - Treasures of the Savage Frontier - A Savage Frontier Fantasy Role-Playing Epic, Vol.II (USA) (v1.00)                       ✗      ✗     ✗
Advanced Fruit Machine Simulator (Europe)                                                                                                                ✗      ✗     ✗
Advanced Ski Simulator (Europe)                                                                                                                          -      -     -
Advanced Ski Simulator (Europe) (Alt)                                                                                                                    ✗      ✗     ✗
Advantage Tennis (Europe) (En,Fr,De)                                                                                                                     -      -     -
Adventure Construction Set (USA)                                                                                                                         -      -     -
Adventures in Math (Europe)                                                                                                                              ✗      ✗     ✗
Adventures of Quik and Silva, The (Europe)                                                                                                               ✗      ✗     ✗
Adventures of Robin Hood, The (Europe) (En,Fr,De,It)                                                                                                     ✗      ✗     ✗
Adventures of Willy Beamish, The (Europe)                                                                                                                ✗      ✗     ✗
African Raiders-01 (Europe)                                                                                                                              ✗      -     ✗
After the War (Europe) (Compilation - Magnum)                                                                                                            -      -     -
Afterburner (Europe)                                                                                                                                     -      -     -
Afterburner (USA) (Budget - The Hit Squad)                                                                                                               -      -     -
Agony (Europe)                                                                                                                                           -      -     -
Agony (USA)                                                                                                                                              -      -     -
Aigle d'Or, L' - Le Retour (France)                                                                                                                      ✗      ✗     ✗
Air Bucks (Europe) (v1.2)                                                                                                                                ✗      -     ✗
Air Bucks (Europe) (v1.2) (AGA)                                                                                                                          ✗      -     ✗
Air Support (Europe)                                                                                                                                     -      -     ✗
Air Support (USA)                                                                                                                                        -      -     ✗
AirForce Commander (Europe) (En,Fr,De)                                                                                                                   ✗      ✗     ✗
Airball (Europe)                                                                                                                                         ✗      ✗     ✗
Airborne Ranger (Europe)                                                                                                                                 -      -     -
Aladdin (Europe) (AGA)                                                                                                                                   -      -     -
Albedo (France)                                                                                                                                          ✗      ✗     ✗
Alcatraz (Europe)                                                                                                                                        -      -     -
Alert (Europe)                                                                                                                                           ✗      ✗     ✗
Alfred Chicken (Europe)                                                                                                                                  -      -     -
Alfred Chicken (Europe) (AGA)                                                                                                                            -      -     -
Alianator (Europe) (Coverdisk - Amiga Fun - Issue 12)                                                                                                    -      -     -
Alien 3 (Europe)                                                                                                                                         -      -     -
Alien Breed (Europe)                                                                                                                                     -      -     -
Alien Breed - Special Edition 92 (Europe)                                                                                                                ✗      -     ✗
Alien Breed - Tower Assault (Europe) (OCS, AGA)                                                                                                          -      -     -
Alien Breed - Tower Assault (Europe) (v1.1) (OCS, AGA)                                                                                                   -      -     -
Alien Breed 3D (Europe) (AGA)                                                                                                                            -      -     -
Alien Breed II - The Horror Continues (Europe)                                                                                                           ✗      -     ✗
Alien Breed II - The Horror Continues (Europe) (AGA)                                                                                                     ✗      -     ✗
Alien Drug Lords - The Chyropian Connection (Europe)                                                                                                     ✗      ✗     ✗
Alien Fires 2199 AD (USA)                                                                                                                                -      ✗     ✗
Alien Legion (Europe)                                                                                                                                    -      -     -
Alien Storm (Europe)                                                                                                                                     -      -     -
Alien Syndrome (USA)                                                                                                                                     -      -     -
Alien Syndrome (USA) (Budget - Mindscape)                                                                                                                -      -     -
Alien World (Europe)                                                                                                                                     -      -     -
Aliex (Europe) (Trojan Phazer Required)                                                                                                                  ✗      ✗     ✗
All New World of Lemmings (Europe) (AGA)                                                                                                                 -      -     -
Alpha Waves (Europe) (En,Fr,De,Es,It)                                                                                                                    -      -     -
Alpha-1 (Europe)                                                                                                                                         -      -     -
Altered Beast (Europe)                                                                                                                                   -      -     -
Altered Destiny (Europe)                                                                                                                                 -      -     -
Amazing Spider-Man, The (Europe) (En,Fr,De,Es,It)                                                                                                        ✗      ✗     ✗
Amazing Spider-Man, The and Captain America in Dr. Doom's Revenge! (Europe) (En,Fr,De,Es,It)                                                             ✗      ✗     ✗
Amber (Germany) (v4.00a 25.11.90) (Coverdisk - Amiga Fun - Issue 11)                                                                                     ✗      ✗     ✗
Ambermoon (Germany) (v1.01 22.10.1993)                                                                                                                   ✗      ✗     ✗
Amberstar (Europe) (v1.96)                                                                                                                               -      -     -
Amberstar (Germany) (v1.73)                                                                                                                              -      -     -
Amegas (Europe) (Compilation - TenStar Pack)                                                                                                             -      -     -
Amegas (Europe) (Compilation - TenStar Pack) (Alt)                                                                                                       ✗      ✗     ✗
American Tag-Team Wrestling (Europe)                                                                                                                     -      -     -
Amiga Appetizer (Sweden)                                                                                                                                 ✗      ✗     ✗
Amiga Encounter (Europe)                                                                                                                                 ✗      ✗     ✗
Amiga Extras - Amiga Basic (v1.3 - v1.2) (World) (Unknown)                                                                                               ✗      ✗     ✗
Amiga Karate (USA)                                                                                                                                       -      -     -
Amiga Spielesammlung - Band 1 (Germany) (v1.0)                                                                                                           ✗      ✗     ✗
Amnios (Europe)                                                                                                                                          -      -     -
Anarchy (Europe)                                                                                                                                         -      -     -
Ancient Art of War in the Skies, The (Europe) (v1.12)                                                                                                    ✗      ✗     ✗
Another World (Europe)                                                                                                                                   -      -     -
Another World (Europe) (Compilation - The Delphine Collection)                                                                                           -      -     -
Another World (France)                                                                                                                                   -      -     -
Anstoss - Die Fussball-Manager-Simulation (Germany)                                                                                                      ✗      ✗     ✗
Antago (Europe)                                                                                                                                          -      -     -
Antheads - It Came from the Desert II Data Disk (Europe) (Addon)                                                                                         ✗      ✗     ✗
Apache + Overdrive (Europe) (Demo)                                                                                                                       ✗      ✗     ✗
Apidya (Europe)                                                                                                                                          -      -     -
Apidya (Germany) (En)                                                                                                                                    -      -     -
Apidya (Unknown)                                                                                                                                         ✗      ✗     ✗
Apocalypse (Europe)                                                                                                                                      -      -     -
Apprentice (Europe)                                                                                                                                      -      -     -
Approach Trainer (Europe)                                                                                                                                ✗      ✗     ✗
Aquatic Games Starring James Pond and the Aquabats, The (Europe)                                                                                         ✗      ✗     ✗
Aquaventura (Europe)                                                                                                                                     -      -     -
Aquaventura (USA)                                                                                                                                        -      -     -
Arabian Nights (Europe) (En,Fr,De,It) (v1.01)                                                                                                            -      -     -
Arcade Pool (Europe) (OCS, AGA)                                                                                                                          -      -     -
Arcade Trivia Quiz (Europe)                                                                                                                              -      -     -
Archer Maclean's Pool (Europe)                                                                                                                           -      -     -
Archipelagos (Europe)                                                                                                                                    -      ✗     ✗
Archipelagos (USA)                                                                                                                                       -      ✗     ✗
Archon - The Light and the Dark (Europe) (Compilation - The Archon Collection)                                                                           ✗      -     ✗
Archon - The Light and the Dark (USA)                                                                                                                    -      -     ✗
Archon II - Adept (Europe) (Compilation - The Archon Collection)                                                                                         ✗      -     ✗
Archon II - Adept (USA)                                                                                                                                  ✗      -     ✗
Arctic Fox (USA)                                                                                                                                         -      -     -
Arena (Europe)                                                                                                                                           -      -     ✗
Arena (Europe) (Alt)                                                                                                                                     ✗      ✗     ✗
Arena (USA)                                                                                                                                              -      -     ✗
