Commodore - VIC-20 Missing

Boxarts    0/286   0.00%
Snaps    281/286  98.25%
Titles   281/286  98.25%
Total    562/858  65.50%

Name                                                           Boxart  Snap  Title
A.E. (World)                                                      ✗      -     -
Adventureland Adventure (World) (SYS 32592)                       ✗      -     -
Aggressor (Europe)                                                ✗      -     -
Aggressor (Japan, USA)                                            ✗      -     -
Alien (Japan, USA)                                                ✗      -     -
Alien Blitz (Japan, USA)                                          ✗      -     -
Alien Sidestep (Japan, USA)                                       ✗      -     -
Alphabet Zoo (Japan, USA)                                         ✗      -     -
Amazing Maze (World)                                              ✗      -     -
Amazing Maze (World) (Alt 1)                                      ✗      -     -
Amidar (Europe)                                                   ✗      -     -
Amok! (World)                                                     ✗      -     -
Ape Escape (World)                                                ✗      -     -
Ape Escape (World) (Alt 1)                                        ✗      -     -
Apple Panic (Japan, USA)                                          ✗      -     -
Arachnoid (World)                                                 ✗      -     -
Arcadia (Europe)                                                  ✗      -     -
Artillery Duel (Japan, USA)                                       ✗      -     -
Assam (World) (SYS 700) (Program)                                 ✗      -     -
Astroblitz (Europe)                                               ✗      -     -
Astroblitz (Japan, USA)                                           ✗      -     -
Atlantis (Europe)                                                 ✗      -     -
Atlantis (Japan, USA)                                             ✗      -     -
Attack of the Mutant Camels (World)                               ✗      -     -
Avenger (Japan, USA)                                              ✗      -     -
BASIC 4.0 (World) (Program)                                       ✗      -     -
BASIC V5 (World) (Program)                                        ✗      -     -
Bandits (Japan, USA)                                              ✗      -     -
Bank Robber (World)                                               ✗      -     -
Battlezone (Japan, USA)                                           ✗      -     -
Black Hole (Europe)                                               ✗      -     -
Black Hole (Japan, USA)                                           ✗      -     -
Buck Rogers - Planet of Zoom (World)                              ✗      -     -
Bug Crusher (World)                                               ✗      -     -
Buti Toolkit (World) (Program)                                    ✗      -     -
Cannonball Blitz (Japan, USA)                                     ✗      -     -
Capture the Flag (Japan, USA)                                     ✗      -     -
Capture the Flag (Japan, USA) (Alt 1)                             ✗      -     -
Cassette Turbo (World) (Program)                                  ✗      -     -
Catch-a-Snatch (Europe)                                           ✗      -     -
Cave-in (World)                                                   ✗      -     -
Cave-in (World) (Alt 1)                                           ✗      -     -
Centipede (Japan, USA)                                            ✗      -     -
Choplifter (Europe)                                               ✗      -     -
Choplifter (Japan, USA)                                           ✗      -     -
Choplifter (Japan, USA) (Alt 1)                                   ✗      -     -
Chuck Norris Superkicks (World)                                   ✗      -     -
Cloudburst (Europe)                                               ✗      -     -
Clowns (Japan, USA) (Joystick)                                    ✗      -     -
Clowns (Japan, USA) (Paddle)                                      ✗      -     -
