DOS Missing

Boxarts  239/17843  1.34%
Snaps     23/17843  0.13%
Titles    21/17843  0.12%
Total    283/53529  0.53%

Name                                                                                                                  Boxart  Snap  Title
16                                                                                                                       ✗      ✗     ✗
21                                                                                                                       ✗      ✗     ✗
666                                                                                                                      ✗      ✗     ✗
905                                                                                                                      ✗      ✗     ✗
!Bingo Granny!                                                                                                           ✗      ✗     ✗
$100,000 Pyramid, The                                                                                                    ✗      ✗     ✗
%$ьаны пилоты, бомбы, самолёты!                                                                                          ✗      ✗     ✗
'Nam 1965-1975 (EGA) (En)(De)(Fr)(It)                                                                                    ✗      ✗     ✗
'Twas the Night Before Christmas                                                                                         ✗      ✗     ✗
+K (Es)                                                                                                                  ✗      ✗     ✗
007 in Danger                                                                                                            ✗      ✗     ✗
007- Licence to Kill                                                                                                     ✗      ✗     ✗
007- Licence to Kill (CGA)                                                                                               ✗      ✗     ✗
1 Star (Ko)                                                                                                              ✗      ✗     ✗
1 Ton                                                                                                                    ✗      ✗     ✗
1-2-3-4- משחקי חשבון לגילאים 5-8 (He)                                                                                    ✗      ✗     ✗
1-Click Logo (He)                                                                                                        ✗      ✗     ✗
10 Great Games                                                                                                           ✗      ✗     ✗
1000 (Ru)                                                                                                                ✗      ✗     ✗
1000 Miglia (En)(It)                                                                                                     ✗      ✗     ✗
1000 Miles                                                                                                               ✗      ✗     ✗
10C                                                                                                                      ✗      ✗     ✗
10Rogue                                                                                                                  ✗      ✗     ✗
10th Frame                                                                                                               ✗      ✗     ✗
120 Degrees Below Zero                                                                                                   ✗      ✗     ✗
123-Talk                                                                                                                 ✗      ✗     ✗
123-Talk for Sound Boards                                                                                                ✗      ✗     ✗
123-TalkSW                                                                                                               ✗      ✗     ✗
1483 Anno Domini (De)                                                                                                    ✗      ✗     ✗
15 Move Hole Puzzle                                                                                                      ✗      ✗     ✗
15 Puzzle, The                                                                                                           ✗      ✗     ✗
15 x 15                                                                                                                  ✗      ✗     ✗
15 x 15 (Ru)                                                                                                             ✗      ✗     ✗
18 (Ru)                                                                                                                  ✗      ✗     ✗
1830- Railroads _ Robber Barons                                                                                          ✗      ✗     ✗
1830- Railroads _ Robber Barons Patch                                                                                    ✗      ✗     ✗
18th Airborne (Zh)                                                                                                       ✗      ✗     ✗
1939 (Pl)                                                                                                                ✗      ✗     ✗
1939 (demo) (Pl)                                                                                                         ✗      ✗     ✗
1942- The Pacific Air War                                                                                                ✗      ✗     ✗
1942- The Pacific Air War 1.01 update                                                                                    ✗      ✗     ✗
1944- Across the Rhine                                                                                                   ✗      ✗     ✗
1993 (Sv)                                                                                                                ✗      ✗     ✗
1993 Buick Dimensions                                                                                                    ✗      ✗     ✗
1993TRIS                                                                                                                 ✗      ✗     ✗
1994Pool                                                                                                                 ✗      ✗     ✗
1994Poola                                                                                                                ✗      ✗     ✗
1995Card+ (Flower Card)                                                                                                  ✗      ✗     ✗
1995Card+ (Flower Card)a                                                                                                 ✗      ✗     ✗
1996- The Seeds of Armageddon                                                                                            ✗      ✗     ✗
1998 Amerika vA.01                                                                                                       ✗      ✗     ✗
1PINBALL (Pinball Construction Set)                                                                                      ✗      ✗     ✗
1st Person Pinball                                                                                                       ✗      ✗     ✗
1st _ Goal Fantasy Football                                                                                              ✗      ✗     ✗
2 Chuehchan Chungkuo Hsiang-ch_i (Zh)                                                                                    ✗      ✗     ✗
20,000 Leagues Under the Sea (Es)                                                                                        ✗      ✗     ✗
2019 (Ko)                                                                                                                ✗      ✗     ✗
2048-BPC                                                                                                                 ✗      ✗     ✗
2048-FPC                                                                                                                 ✗      ✗     ✗
2048-TMT                                                                                                                 ✗      ✗     ✗
2048x2048                                                                                                                ✗      ✗     ✗
20th Century Faro                                                                                                        ✗      ✗     ✗
20th Century Frog r881026 (De)                                                                                           ✗      ✗     ✗
20th Century Frog r881125 (De)                                                                                           ✗      ✗     ✗
21 (El)                                                                                                                  ✗      ✗     ✗
21 For 1 To 4                                                                                                            ✗      ✗     ✗
21 Ochko (21 Очко) (Ru)                                                                                                  ✗      ✗     ✗
21 Points (21 Очко) (Ru)                                                                                                 ✗      ✗     ✗
21-en (Nl)                                                                                                               ✗      ✗     ✗
2112 (19xx)                                                                                                              ✗      ✗     ✗
221 B Baker St.                                                                                                          ✗      ✗     ✗
23 Matches Game                                                                                                          ✗      ✗     ✗
240 Racing                                                                                                               ✗      ✗     ✗
2400 A.D.                                                                                                                ✗      ✗     ✗
25 (Es)                                                                                                                  ✗      ✗     ✗
25 Stones                                                                                                                ✗      ✗     ✗
256snake                                                                                                                 ✗      ✗     ✗
2601 Diguo Lianhe Jiandui (2601 Imperial Combined Fleet) (Zh)                                                            ✗      ✗     ✗
2D Game                                                                                                                  ✗      ✗     ✗
2FAST4YOU- Das Superheiße Bi-Fi Race                                                                                     ✗      ✗     ✗
2FAST4YOU- Das Superheiße Bi-Fi Race (De)                                                                                ✗      ✗     ✗
2FAST4YOU- Das Superheiße Bi-Fi Race (Nl)                                                                                ✗      ✗     ✗
2FAST4YOU- Das Superheiße Bi-Fi Race CD (De)                                                                             ✗      ✗     ✗
2nd Battlemaster War                                                                                                     ✗      ✗     ✗
2x2 (Pl)                                                                                                                 ✗      ✗     ✗
3 Ball Juggler                                                                                                           ✗      ✗     ✗
3 Ball Jugglera                                                                                                          ✗      ✗     ✗
3 Card High Low Poker                                                                                                    ✗      ✗     ✗
3 Card Monte                                                                                                             ✗      ✗     ✗
3 Point Basketball                                                                                                       ✗      ✗     ✗
3 Weighs                                                                                                                 ✗      ✗     ✗
3 in Line                                                                                                                ✗      ✗     ✗
3 of a Kind (Pinball Construction Set)                                                                                   ✗      ✗     ✗
3 x Logic Games (Pl)                                                                                                     ✗      ✗     ✗
3-D Body Adventure (Es)                                                                                                  ✗      ✗     ✗
3-D Body Adventure (He)                                                                                                  ✗      ✗     ✗
3-D Cribbage                                                                                                             ✗      ✗     ✗
3-D Helicopter Simulator                                                                                                 ✗      ✗     ✗
3-D Lotto                                                                                                                ✗      ✗     ✗
3-D Pitfall                                                                                                              ✗      ✗     ✗
3-D Racing                                                                                                               ✗      ✗     ✗
3-D TableSports                                                                                                          ✗      ✗     ✗
3-Demon                                                                                                                  ✗      ✗     ✗
3-Doxo                                                                                                                   ✗      ✗     ✗
360 Points (He)                                                                                                          ✗      ✗     ✗
386 Spys                                                                                                                 ✗      ✗     ✗
3D Ball Blaster (En)(De)                                                                                                 ✗      ✗     ✗
3D Blox (199x)                                                                                                           ✗      ✗     ✗
3D Bomber                                                                                                                ✗      ✗     ✗
3D Bouncy                                                                                                                ✗      ✗     ✗
3D Construction Kit (En)(De)(Fr)(It)                                                                                     ✗      ✗     ✗
3D Cyber Blaster                                                                                                         ✗      ✗     ✗
3D CyberPuck (De)(En)                                                                                                    ✗      ✗     ✗
3D CyberPuck (En)(De)                                                                                                    ✗      ✗     ✗
3D Dungeon RPG Maker (Ko)                                                                                                ✗      ✗     ✗
3D Hamster's Adventure                                                                                                   ✗      ✗     ✗
3D Hunting- Grizzly                                                                                                      ✗      ✗     ✗
3D Hunting- Shark                                                                                                        ✗      ✗     ✗
3D Hunting- Trophy Game                                                                                                  ✗      ✗     ✗
3D Hunting- Trophy Whitetail                                                                                             ✗      ✗     ✗
3D Isometric Sokoban                                                                                                     ✗      ✗     ✗
3D Isometric Sokoban r020504                                                                                             ✗      ✗     ✗
3D Isometric Sokoban r020531                                                                                             ✗      ✗     ✗
3D Jack's Game - Assassins Edition                                                                                       ✗      ✗     ✗
