FB Alpha - Arcade Games Missing

Boxarts    1964/4361  45.04%
Snaps      4078/4361  93.51%
Titles     4078/4361  93.51%
Total    10120/13083  77.35%

Name                                                                                                                                   Boxart  Snap  Title
'96 Flag Rally                                                                                                                            ✗      ✓     ✓
'99_ The Last War                                                                                                                         ✗      ✓     ✓
'99_ The Last War (alternate)                                                                                                             ✗      ✓     ✓
'99_ The Last War (Kyugo)                                                                                                                 ✗      ✓     ✓
1000 Miglia_ Great 1000 Miles Rally (94_05_10)                                                                                            ✗      ✓     ✓
1000 Miglia_ Great 1000 Miles Rally (94_05_26)                                                                                            ✗      ✓     ✓
1000 Miglia_ Great 1000 Miles Rally (94_06_13)                                                                                            ✗      ✓     ✓
1941 - Counter Attack (900227 USA)                                                                                                        ✗      ✓     ✓
1942 (C64 Music)                                                                                                                          ✗      ✗     ✗
1942 (Revision A, bootleg) [Bootleg]                                                                                                      ✗      ✓     ✓
1943_ Midway Kaisen (bootleg) [Bootleg]                                                                                                   ✗      ✓     ✓
1943_ The Battle of Midway (bootleg set 1, hack of Japan set) [Bootleg]                                                                   ✗      ✓     ✓
1943_ The Battle of Midway (bootleg set 2, hack of Japan set) [Bootleg]                                                                   ✗      ✓     ✓
1943_ The Battle of Midway (hack of Japan set)                                                                                            ✗      ✓     ✓
1943_ The Battle of Midway Mark II (US)                                                                                                   ✗      ✗     ✗
1944 - the loop master (000620 USA Phoenix Edition, alt) [Bootleg]                                                                        ✗      ✓     ✓
1944 - the loop master (000620 USA Phoenix Edition) [Bootleg]                                                                             ✗      ✓     ✓
1945 Part 2 (Chinese hack of Battle Garaga) [Hack]                                                                                        ✗      ✓     ✓
1945k III (newer, OPCX2 PCB)                                                                                                              ✗      ✗     ✗
1945k III (older, OPCX1 PCB)                                                                                                              ✗      ✗     ✗
19XX - the war against destiny (951207 Japan)                                                                                             ✗      ✓     ✓
19XX - the war against destiny (951207 USA Phoenix Edition) [Bootleg]                                                                     ✗      ✓     ✓
19XX - the war against destiny (951218 Brazil)                                                                                            ✗      ✓     ✓
3 Count Bout _ Fire Suplex (NGM-043)                                                                                                      ✗      ✓     ✓
4 En Raya (set 1)                                                                                                                         ✗      ✓     ✓
4 En Raya (set 2)                                                                                                                         ✗      ✓     ✓
4 player input test [Demo, 4 player  input test cartridge]                                                                                ✗      ✓     ✓
4-D Warriors (315-5162)                                                                                                                   ✗      ✓     ✓
64th. Street - A Detective Story (Japan, alt)                                                                                             ✗      ✓     ✓
7 Ordi (Korea)                                                                                                                            ✗      ✓     ✓
A.B. Cop (Japan, FD1094 317-0169b decrypted) [Bootleg]                                                                                    ✗      ✓     ✓
A.B. Cop (World, FD1094 317-0169b decrypted) [Bootleg]                                                                                    ✗      ✗     ✗
A.D. 2083 [Incomplete Sound]                                                                                                              ✗      ✓     ✓
Abscam                                                                                                                                    ✗      ✓     ✓
Ace Attacker (FD1094 317-0059)                                                                                                            ✗      ✓     ✓
Ace Attacker (Japan, System 16A, FD1094 317-0060)                                                                                         ✗      ✓     ✓
Act-Fancer Cybernetick Hyper Weapon (World revision 1)                                                                                    ✗      ✓     ✓
Adventure Quiz Capcom World 2 (Japan 920611, B-Board 90629B-3, no battery)                                                                ✗      ✓     ✓
Adventure Quiz Capcom World 2 (Japan 920611, B-Board 91634B-2)                                                                            ✗      ✓     ✓
Aeroboto                                                                                                                                  ✗      ✗     ✗
After Burner II (German)                                                                                                                  ✗      ✓     ✓
Agress                                                                                                                                    ✗      ✓     ✓
Agress (English bootleg)                                                                                                                  ✗      ✓     ✓
Air Attack (set 2)                                                                                                                        ✗      ✓     ✓
Air Buster_ Trouble Specialty Raid Unit (bootleg) [Bootleg]                                                                               ✗      ✓     ✓
Air Gallet (Europe)                                                                                                                       ✗      ✓     ✓
Air Gallet (Hong Kong)                                                                                                                    ✗      ✓     ✓
Air Gallet (Korea)                                                                                                                        ✗      ✓     ✓
Air Gallet (older, Europe)                                                                                                                ✗      ✗     ✗
Air Gallet (older, Hong Kong)                                                                                                             ✗      ✗     ✗
Air Gallet (older, Korea)                                                                                                                 ✗      ✗     ✗
Air Gallet (older, Taiwan)                                                                                                                ✗      ✗     ✗
Air Gallet (older, USA)                                                                                                                   ✗      ✗     ✗
Air Gallet (Taiwan)                                                                                                                       ✗      ✓     ✓
Air Gallet (USA)                                                                                                                          ✗      ✓     ✓
Airwolf                                                                                                                                   ✗      ✓     ✓
Airwolf (US)                                                                                                                              ✗      ✓     ✓
Akuu Gallet (Japan)                                                                                                                       ✗      ✗     ✗
Akuu Gallet (older, Japan)                                                                                                                ✗      ✗     ✗
Alex Kidd_ The Lost Stars (set 1, FD1089A 317-unknown)                                                                                    ✗      ✓     ✓
Alex Kidd_ The Lost Stars (set 2, unprotected)                                                                                            ✗      ✓     ✓
Ali Baba and 40 Thieves                                                                                                                   ✗      ✓     ✓
Alien Challenge (China) [Imperfect sound]                                                                                                 ✗      ✓     ✓
Alien Invaders [preliminary sound]                                                                                                        ✗      ✓     ✓
Alien Storm (set 1, Japan Rev B, 2 Players, FD1094 317-0146 decrypted) [Bootleg]                                                          ✗      ✓     ✓
Alien Storm (set 1, Japan Rev B, 2 Players, FD1094 317-0146)                                                                              ✗      ✓     ✓
Alien Storm (set 2, US, 3 Players, FD1094 317-0147 decrypted) [Bootleg]                                                                   ✗      ✓     ✓
Alien Storm (set 2, US, 3 Players, FD1094 317-0147)                                                                                       ✗      ✓     ✓
Alien Storm (set 3, World, 3 Players, FD1094 317-0148 decrypted) [Bootleg]                                                                ✗      ✓     ✓
Alien Storm (set 3, World, 3 Players, FD1094 317-0148)                                                                                    ✗      ✓     ✓
Alien Syndrome (set 5, System 16A, FD1089B 317-0037)                                                                                      ✗      ✓     ✓
Alien Syndrome (set 6, Japan, new, System 16B, FD1089A 317-0033)                                                                          ✗      ✓     ✓
Alien Syndrome (set 7, System 16B, MC-8123B 317-00xx)                                                                                     ✗      ✓     ✓
Aliens (Asia)                                                                                                                             ✗      ✓     ✓
Aliens (World set 2)                                                                                                                      ✗      ✓     ✓
Aliens (World set 3)                                                                                                                      ✗      ✓     ✓
Alligator Hunt (unprotected)                                                                                                              ✗      ✓     ✓
Alpha Mission II _ ASO II - Last Guardian (prototype) [Prototype]                                                                         ✗      ✓     ✓
Altered Beast (Datsu bootleg) [Bootleg, no Sound]                                                                                         ✗      ✓     ✓
Altered Beast (set 4, MC-8123B 317-0066)                                                                                                  ✗      ✓     ✓
Altered Beast (set 5, FD1094 317-0069 decrypted) [Bootleg]                                                                                ✗      ✓     ✓
Altered Beast (set 5, FD1094 317-0069)                                                                                                    ✗      ✓     ✓
Altered Beast (set 6, 8751 317-0076)                                                                                                      ✗      ✓     ✓
Ambush (hack_)                                                                                                                            ✗      ✓     ✓
Ambush (Volt Elec co-ltd)                                                                                                                 ✗      ✓     ✓
Ameisenbaer (German)                                                                                                                      ✗      ✓     ✓
Amigo [Bootleg]                                                                                                                           ✗      ✓     ✓
Android (prototype, early build)                                                                                                          ✗      ✓     ✓
Android (prototype, later build)                                                                                                          ✗      ✓     ✓
Apocaljpse Now [Bootleg]                                                                                                                  ✗      ✓     ✓
Aquajack (Japan)                                                                                                                          ✗      ✓     ✓
Aquarium (Japan)                                                                                                                          ✗      ✓     ✓
Aquarium (US)                                                                                                                             ✗      ✓     ✓
Aracnis (bootleg of Scorpion on Moon Cresta hardware) [Bootleg]                                                                           ✗      ✓     ✓
Arbalester [Imperfect inputs]                                                                                                             ✗      ✓     ✓
Arcadia (NMK)                                                                                                                             ✗      ✓     ✓
Area 88 (Japan Resale ver.)                                                                                                               ✗      ✓     ✓
Arian Mission                                                                                                                             ✗      ✓     ✓
Ark Area                                                                                                                                  ✗      ✓     ✓
Arkanoid - Revenge of DOH (Japan bootleg)                                                                                                 ✗      ✓     ✓
Arkanoid (bootleg on Block hardware) [Bootleg]                                                                                            ✗      ✓     ✓
Arkanoid (bootleg with MCU set 1) [Bootleg]                                                                                               ✗      ✓     ✓
Arkanoid (bootleg with MCU set 2) [Bootleg]                                                                                               ✗      ✓     ✓
Arkanoid (bootleg with MCU, alt) [Bootleg]                                                                                                ✗      ✓     ✓
Arkanoid (bootleg with MCU, harder, alt) [Bootleg]                                                                                        ✗      ✓     ✓
Arkanoid (bootleg with MCU, harder) [Bootleg]                                                                                             ✗      ✓     ✓
Arkanoid (Game Corporation bootleg, set 2) [Bootleg]                                                                                      ✗      ✓     ✓
Arkanoid (Japan, older rev)                                                                                                               ✗      ✓     ✓
Arkanoid (Japan, oldest rev)                                                                                                              ✗      ✓     ✓
Arkanoid (Tayto bootleg, harder) [Bootleg]                                                                                                ✗      ✓     ✓
Arkanoid (Tayto bootleg) [Bootleg]                                                                                                        ✗      ✓     ✓
Armed Police Batrider - A Version (Hong Kong) (Mon Dec 22 1997)                                                                           ✗      ✓     ✓
Armed Police Batrider - A Version (Taiwan) (Mon Dec 22 1997)                                                                              ✗      ✓     ✓
Armed Police Batrider (China) (Fri Feb 13 1998)                                                                                           ✗      ✓     ✓
Armed Police Batrider (Korea) (Fri Feb 13 1998)                                                                                           ✗      ✓     ✓
Armed Police Batrider (U.S.A.) (Fri Feb 13 1998)                                                                                          ✗      ✓     ✓
Armored Warriors (940920 Asia)                                                                                                            ✗      ✓     ✓
Armored Warriors (940920 USA)                                                                                                             ✗      ✓     ✓
Armored Warriors (941011 Europe Phoenix Edition) [Bootleg]                                                                                ✗      ✓     ✓
Ashura Blaster (US)                                                                                                                       ✗      ✓     ✓
Asterix (ver AAD)                                                                                                                         ✗      ✓     ✓
Asterix (ver EAC)                                                                                                                         ✗      ✓     ✓
Astrians (clone of Swarm) [Bootleg]                                                                                                       ✗      ✓     ✓
Asura Buster - Eternal Warriors (Japan) (ARCADIA review build) [Imperfect SND, freezes on first boss]                                     ✗      ✓     ✓
Asura Buster - Eternal Warriors (Japan) [Imperfect SND, freezes on first boss]                                                            ✗      ✓     ✓
Ataque Sideral (Spanish bootleg of UniWar S) [Bootleg]                                                                                    ✗      ✓     ✓
Athena no Hatena _                                                                                                                        ✗      ✓     ✓
