GCE - Vectrex

Boxarts    42/44   95.45%
Snaps      43/44   97.73%
Titles     44/44  100.00%
Total    129/132   97.73%

Name                                                       Boxart  Snap  Title
3D Crazy Coaster (USA)                                        ✓      ✓     ✓
3D Mine Storm (USA)                                           ✓      ✓     ✓
3D Narrow Escape (USA)                                        ✓      ✓     ✓
AnimAction - Advanced Animation (USA)                         ✓      ✓     ✓
Armor..Attack (World)                                         ✓      ✓     ✓
Art Master (USA)                                              ✓      ✓     ✓
Bedlam (USA, Europe)                                          ✓      ✓     ✓
Berzerk (World)                                               ✓      ✓     ✓
Blitz! - Action Football (USA, Europe) (0F11CE0C)             ✓      ✓     ✓
Blitz! - Action Football (USA, Europe) (881B27C5)             ✓      ✓     ✓
Clean Sweep (World)                                           ✓      ✓     ✓
Cosmic Chasm (World)                                          ✓      ✓     ✓
Dark Tower (USA) (Proto)                                      ✓      ✓     ✓
Engine Analyzer (USA) (Proto)                                 ✓      ✓     ✓
Fortress of Narzod (USA, Europe)                              ✓      ✓     ✓
Heads-Up - Action Soccer (USA)                                ✓      ✓     ✓
HyperChase - Auto Race (World)                                ✓      ✓     ✓
Mail Plane (USA) (Proto) (05838962)                           ✗      ✓     ✓
Mail Plane (USA) (Proto) (DA1AC0DB)                           ✗      ✗     ✓
Melody Master - Music Composition and Entertainment (USA)     ✓      ✓     ✓
Mine Storm (World)                                            ✓      ✓     ✓
Mine Storm II (USA) (Rev 2)                                   ✓      ✓     ✓
Mr. Boston Clean Sweep (Europe)                               ✓      ✓     ✓
Pitcher's Duel (USA) (Proto)                                  ✓      ✓     ✓
Polar Rescue (USA)                                            ✓      ✓     ✓
Polar Rescue (USA) (Beta)                                     ✓      ✓     ✓
Pole Position (USA) (A00ED3D6)                                ✓      ✓     ✓
Pole Position (USA) (C10F37D8)                                ✓      ✓     ✓
RA+A Spectrum I+ Stress Tester (USA) (Proto)                  ✓      ✓     ✓
Rip Off (World)                                               ✓      ✓     ✓
Scramble (USA, Europe)                                        ✓      ✓     ✓
Sledge 3D (USA) (Sample)                                      ✓      ✓     ✓
Solar Quest (World)                                           ✓      ✓     ✓
Space Wars (World)                                            ✓      ✓     ✓
Spike (USA, Europe)                                           ✓      ✓     ✓
Spin ball (USA)                                               ✓      ✓     ✓
Star Castle (USA)                                             ✓      ✓     ✓
Star Ship (Europe)                                            ✓      ✓     ✓
Star Trek - The Motion Picture (USA)                          ✓      ✓     ✓
StarHawk (World)                                              ✓      ✓     ✓
Test Cartridge (USA) (Rev 4) (Proto)                          ✓      ✓     ✓
Tour De France (USA) (Proto)                                  ✓      ✓     ✓
WebWarp (Europe)                                              ✓      ✓     ✓
WebWars (USA)                                                 ✓      ✓     ✓
