Infocom - Z-Machine Missing

Boxarts  0/156  0.00%
Snaps    0/156  0.00%
Titles   0/156  0.00%
Total    0/468  0.00%

Name                                                                                          Boxart  Snap  Title
Arthur - The Quest for Excaliber v54 (Infocom)                                                   ✗      ✗     ✗
Arthur - The Quest for Excaliber v63 (19xx) (Infocom)[h]                                         ✗      ✗     ✗
Arthur - The Quest for Excaliber v74 (Infocom)                                                   ✗      ✗     ✗
Ballyhoo v97 (Infocom)                                                                           ✗      ✗     ✗
Beyond Zork - The Coconut of Quendor v47 (Infocom)[h]                                            ✗      ✗     ✗
Beyond Zork - The Coconut of Quendor v49 (Infocom)                                               ✗      ✗     ✗
Beyond Zork - The Coconut of Quendor v49 (Infocom) (Alt 1)                                       ✗      ✗     ✗
Beyond Zork - The Coconut of Quendor v51 (Infocom)[h]                                            ✗      ✗     ✗
Beyond Zork - The Coconut of Quendor v57 (Infocom)                                               ✗      ✗     ✗
Border Zone - A Game of Intrigue v9 (Infocom)                                                    ✗      ✗     ✗
Border Zone - A Game of Intrigue v9 (Infocom) (Alt 1)                                            ✗      ✗     ✗
Bureaucracy - A Paranoid Fantasy v116 (Infocom)                                                  ✗      ✗     ✗
Bureaucracy - A Paranoid Fantasy v86 (Infocom)                                                   ✗      ✗     ✗
Cutthroats v23 (Infocom)                                                                         ✗      ✗     ✗
Cutthroats v23 (Infocom) (Alt 1)                                                                 ✗      ✗     ✗
Deadline v22 (1982) (Infocom)                                                                    ✗      ✗     ✗
Deadline v26 (1982) (Infocom)                                                                    ✗      ✗     ✗
Deadline v27 (1982) (Infocom)                                                                    ✗      ✗     ✗
Enchanter v10 (1983) (Infocom)                                                                   ✗      ✗     ✗
Enchanter v15 (1983) (Infocom)                                                                   ✗      ✗     ✗
Enchanter v15 (1983) (Infocom)[h]                                                                ✗      ✗     ✗
Enchanter v16 (1983) (Infocom)                                                                   ✗      ✗     ✗
Enchanter v16 (1983) (Infocom) (Alt 1)                                                           ✗      ✗     ✗
Enchanter v24 (Infocom)[h]                                                                       ✗      ✗     ✗
Enchanter v29 (Infocom)                                                                          ✗      ✗     ✗
Four-In-One Sampler I v26 (Infocom)[840731]                                                      ✗      ✗     ✗
Four-In-One Sampler I v53 (19xx) (Infocom)[850407]                                               ✗      ✗     ✗
Four-In-One Sampler I v55 (19xx) (Infocom)[850823]                                               ✗      ✗     ✗
Four-In-One Sampler II v97 (19xx) (Infocom)[870601]                                              ✗      ✗     ✗
Hibernated 1 Director's Cut r9 (2021-06-27) (Vogt, Stefan)                                       ✗      ✗     ✗
Hitchhiker's Guide to the Galaxy SG, The v31 (Infocom) (Alt 1)[871119]                           ✗      ✗     ✗
Hitchhiker's Guide to the Galaxy SG, The v31 (Infocom)[871119]                                   ✗      ✗     ✗
Hitchhiker's Guide to the Galaxy, The v42 (Infocom)[h][850323]                                   ✗      ✗     ✗
Hitchhiker's Guide to the Galaxy, The v47 (Infocom) (Alt 1)[840914]                              ✗      ✗     ✗
Hitchhiker's Guide to the Galaxy, The v47 (Infocom)[840914]                                      ✗      ✗     ✗
Hitchhiker's Guide to the Galaxy, The v56 (Infocom) (Alt 1)[841221]                              ✗      ✗     ✗
Hitchhiker's Guide to the Galaxy, The v56 (Infocom)[841221]                                      ✗      ✗     ✗
Hitchhiker's Guide to the Galaxy, The v58 (Infocom)[851002]                                      ✗      ✗     ✗
Hitchhiker's Guide to the Galaxy, The v59 (Infocom)[h][851108]                                   ✗      ✗     ✗
Hollywood Hijinx v235 (Infocom)[h][861118]                                                       ✗      ✗     ✗
Hollywood Hijinx v37 (Infocom) (Alt 1)[861215]                                                   ✗      ✗     ✗
Hollywood Hijinx v37 (Infocom)[861215]                                                           ✗      ✗     ✗
Hollywood Hijinx v37 (Infocom)[861308]                                                           ✗      ✗     ✗
Infidel v22 (1983) (Infocom) (Alt 1)[830916]                                                     ✗      ✗     ✗
Infidel v22 (1983) (Infocom)[830916]                                                             ✗      ✗     ✗
Journey - Golden Age Trilogy Part One v26 (Infocom)[h][890316]                                   ✗      ✗     ✗
Journey - Golden Age Trilogy Part One v30 (Infocom)[890322]                                      ✗      ✗     ✗
Journey - Golden Age Trilogy Part One v77 (Infocom)[h][890616]                                   ✗      ✗     ✗
Journey - Golden Age Trilogy Part One v83 (Infocom)[890706]                                      ✗      ✗     ✗
Leather Goddesses of Phobos (Infocom)                                                            ✗      ✗     ✗
Leather Goddesses of Phobos SG v4 (Infocom) (Alt 1)[880405]                                      ✗      ✗     ✗
