MAME 2000 Missing

Boxarts  0/2191  0.00%
Snaps    0/2191  0.00%
Titles   0/2191  0.00%
Total    0/6573  0.00%

Name                                                                                     Boxart  Snap  Title
600                                                                                         ✗      ✗     ✗
'88 Games                                                                                   ✗      ✗     ✗
'99 The Last War                                                                            ✗      ✗     ✗
'99 The Last War (alternate)                                                                ✗      ✗     ✗
005                                                                                         ✗      ✗     ✗
10 Yard Fight                                                                               ✗      ✗     ✗
10 Yard Fight (Vs. version 11_05_84)                                                        ✗      ✗     ✗
10 Yard Fight (Vs. version, set 2)                                                          ✗      ✗     ✗
1941 - Counter Attack (Japan)                                                               ✗      ✗     ✗
1941 - Counter Attack (World)                                                               ✗      ✗     ✗
1942 (set 1)                                                                                ✗      ✗     ✗
1942 (set 2)                                                                                ✗      ✗     ✗
1942 (set 3)                                                                                ✗      ✗     ✗
1943 - The Battle of Midway (Japan)                                                         ✗      ✗     ✗
1943 - The Battle of Midway (US)                                                            ✗      ✗     ✗
1943 Kai                                                                                    ✗      ✗     ✗
2 On 2 Open Ice Challenge (rev 1.21)                                                        ✗      ✗     ✗
2020 Super Baseball (set 1)                                                                 ✗      ✗     ✗
2020 Super Baseball (set 2)                                                                 ✗      ✗     ✗
3 Count Bout _ Fire Suplex                                                                  ✗      ✗     ✗
4 Player Bowling                                                                            ✗      ✗     ✗
4-D Warriors                                                                                ✗      ✗     ✗
64th. Street - A Detective Story (Japan)                                                    ✗      ✗     ✗
64th. Street - A Detective Story (World)                                                    ✗      ✗     ✗
720 Degrees (set 1)                                                                         ✗      ✗     ✗
720 Degrees (set 2)                                                                         ✗      ✗     ✗
800 Fathoms                                                                                 ✗      ✗     ✗
APB - All Points Bulletin (set 1)                                                           ✗      ✗     ✗
APB - All Points Bulletin (set 2)                                                           ✗      ✗     ✗
ASO - Armored Scrum Object                                                                  ✗      ✗     ✗
Act-Fancer Cybernetick Hyper Weapon (Japan revision 1)                                      ✗      ✗     ✗
Act-Fancer Cybernetick Hyper Weapon (World revision 1)                                      ✗      ✗     ✗
Act-Fancer Cybernetick Hyper Weapon (World revision 2)                                      ✗      ✗     ✗
Adventure Quiz 2 Hatena Hatena no Dai-Bouken (Japan)                                        ✗      ✗     ✗
Aero Fighters                                                                               ✗      ✗     ✗
Aero Fighters (Turbo Force hardware set 1)                                                  ✗      ✗     ✗
Aero Fighters (Turbo Force hardware set 2)                                                  ✗      ✗     ✗
Aero Fighters 2 _ Sonic Wings 2                                                             ✗      ✗     ✗
Aero Fighters 3 _ Sonic Wings 3                                                             ✗      ✗     ✗
Aeroboto                                                                                    ✗      ✗     ✗
Aggressors of Dark Kombat _ Tsuukai GANGAN Koushinkyoku                                     ✗      ✗     ✗
Ah Eikou no Koshien (Japan)                                                                 ✗      ✗     ✗
Air Buster (Japan)                                                                          ✗      ✗     ✗
Air Duel (Japan)                                                                            ✗      ✗     ✗
Air Wolf                                                                                    ✗      ✗     ✗
Ajax                                                                                        ✗      ✗     ✗
Ajax (Japan)                                                                                ✗      ✗     ✗
Akuma-Jou Dracula (Japan)                                                                   ✗      ✗     ✗
Alcon                                                                                       ✗      ✗     ✗
Ales no Tsubasa (Japan)                                                                     ✗      ✗     ✗
Alex Kidd (set 2)                                                                           ✗      ✗     ✗
Ali Baba and 40 Thieves                                                                     ✗      ✗     ✗
Alien Invasion Part II                                                                      ✗      ✗     ✗
Alien Storm (2 Player)                                                                      ✗      ✗     ✗
Alien Storm (bootleg)                                                                       ✗      ✗     ✗
Alien Syndrome (Japan)                                                                      ✗      ✗     ✗
Alien Syndrome (set 1)                                                                      ✗      ✗     ✗
Alien Syndrome (set 2)                                                                      ✗      ✗     ✗
Alien Syndrome (set 3)                                                                      ✗      ✗     ✗
Aliens (Japan)                                                                              ✗      ✗     ✗
Aliens (US)                                                                                 ✗      ✗     ✗
Aliens (World set 1)                                                                        ✗      ✗     ✗
Aliens (World set 2)                                                                        ✗      ✗     ✗
All American Football (rev B)                                                               ✗      ✗     ✗
All American Football (rev D, 2 Players)                                                    ✗      ✗     ✗
All American Football (rev E)                                                               ✗      ✗     ✗
Alley Master                                                                                ✗      ✗     ✗
Alpha Mission II _ ASO II - Last Guardian                                                   ✗      ✗     ✗
Alpine Ski (set 1)                                                                          ✗      ✗     ✗
Alpine Ski (set 2)                                                                          ✗      ✗     ✗
Altered Beast (Version 1)                                                                   ✗      ✗     ✗
Altered Beast (Version 2)                                                                   ✗      ✗     ✗
Amazing Maze                                                                                ✗      ✗     ✗
Ambush                                                                                      ✗      ✗     ✗
Amidar                                                                                      ✗      ✗     ✗
Amidar (Olympia)                                                                            ✗      ✗     ✗
Amidar (Scramble hardware)                                                                  ✗      ✗     ✗
Amidar (Stern)                                                                              ✗      ✗     ✗
Amigo                                                                                       ✗      ✗     ✗
Andro Dunos                                                                                 ✗      ✗     ✗
Anteater                                                                                    ✗      ✗     ✗
Appoooh                                                                                     ✗      ✗     ✗
Arabian                                                                                     ✗      ✗     ✗
Arabian (Atari)                                                                             ✗      ✗     ✗
Arbalester                                                                                  ✗      ✗     ✗
Arcade Classics (prototype)                                                                 ✗      ✗     ✗
Arch Rivals (rev 2.0)                                                                       ✗      ✗     ✗
Arch Rivals (rev 4.0)                                                                       ✗      ✗     ✗
Area 88 (Japan)                                                                             ✗      ✗     ✗
Argus no Senshi (Japan)                                                                     ✗      ✗     ✗
Ark Area                                                                                    ✗      ✗     ✗
Arkanoid (Game Corporation bootleg)                                                         ✗      ✗     ✗
Arkanoid (Japan)                                                                            ✗      ✗     ✗
Arkanoid (Japanese bootleg Set 2)                                                           ✗      ✗     ✗
Arkanoid (Tayto bootleg, Japanese)                                                          ✗      ✗     ✗
Arkanoid (US)                                                                               ✗      ✗     ✗
Arkanoid (World)                                                                            ✗      ✗     ✗
Arkanoid - Revenge of DOH (Japan)                                                           ✗      ✗     ✗
Arkanoid - Revenge of DOH (US)                                                              ✗      ✗     ✗
Arkanoid - Revenge of DOH (World)                                                           ✗      ✗     ✗
Arm Wrestling                                                                               ✗      ✗     ✗
Armed Formation                                                                             ✗      ✗     ✗
Armor Attack                                                                                ✗      ✗     ✗
Armored Car (set 1)                                                                         ✗      ✗     ✗
Armored Car (set 2)                                                                         ✗      ✗     ✗
Art of Fighting 2 _ Ryuuko no Ken 2                                                         ✗      ✗     ✗
Art of Fighting 3 - The Path of the Warrior _ Art of Fighting - Ryuuko no Ken Gaiden        ✗      ✗     ✗
Art of Fighting _ Ryuuko no Ken                                                             ✗      ✗     ✗
Ashura Blaster (Japan)                                                                      ✗      ✗     ✗
Ashura Blaster (US)                                                                         ✗      ✗     ✗
Assault                                                                                     ✗      ✗     ✗
Assault (Japan)                                                                             ✗      ✗     ✗
Assault Plus (Japan)                                                                        ✗      ✗     ✗
Asteroids (bootleg on Lunar Lander hardware)                                                ✗      ✗     ✗
Asteroids (rev 1)                                                                           ✗      ✗     ✗
Asteroids (rev 2)                                                                           ✗      ✗     ✗
Asteroids Deluxe (rev 1)                                                                    ✗      ✗     ✗
Asteroids Deluxe (rev 2)                                                                    ✗      ✗     ✗
