Mattel - Intellivision Missing

Boxarts   148/453  32.67%
Snaps     163/453  35.98%
Titles    164/453  36.20%
Total    475/1359  34.95%

Name                                                                                    Boxart  Snap  Title
4-TRIS (Zbiciak, Joseph) (PD)                                                              ✗      ✗     ✗
4-Tris (IntelligentVision)[download version][9111]                                         ✗      ✗     ✗
ABPA Backgammon (1978) (Mattel)                                                            ✗      ✗     ✗
ABPA Backgammon (World)                                                                    -      -     -
Advanced Dungeons _ Dragons (USA, Europe)                                                  -      -     -
Advanced Dungeons _ Dragons - Cloudy Mountain (1982) (Mattel Electronics)[3410]            ✗      ✗     ✗
Advanced Dungeons _ Dragons - Tower of Mystery (1983) (Mattel Electronics)[unreleased]     ✗      ✗     ✗
Advanced Dungeons _ Dragons - Treasure of Tarmin (USA, Europe)                             -      -     -
Advanced Dungeons and Dragons (1982) (Mattel)                                              ✗      ✗     ✗
Advanced Dungeons and Dragons - Treasure of Tarmin (1982) (Mattel)                         ✗      ✗     ✗
Adventure (USA, Europe) (Intellivision Lives!)                                             -      -     -
Adventure -AD_D- Cloudy Mountain (1982) (Mattel)                                           ✗      ✗     ✗
Adventures of TRON (1982) (Mattel Electronics)[unreleased]                                 ✗      ✗     ✗
Air Strike (1982) (Mattel)                                                                 ✗      ✗     ✗
Air Strike (USA) (Proto)                                                                   ✗      -     -
All Star Major League Baseball (1983) (Mattel Electronics) (Proto)                         ✗      ✗     ✗
All-Star Major League Baseball (1983) (Mattel)                                             ✗      ✗     ✗
All-Star Major League Baseball (USA) (Beta)                                                ✗      ✗     -
Armor Battle (1978) (Mattel)                                                               ✗      ✗     ✗
Armor Battle (USA, Europe)                                                                 -      -     -
Armor Battle (USA, Europe) (Intellivision Lives!) (Gamecube)                               -      -     -
AstroSmash Competition (1981) (Mattel Electronics)                                         ✗      ✗     ✗
Astrosmash (1981) (Mattel)                                                                 ✗      ✗     ✗
Astrosmash (USA, Europe)                                                                   -      -     -
Astrosmash - Meteor (1981) (Mattel)                                                        ✗      ✗     ✗
Atlantis (1981) (Imagic)                                                                   ✗      ✗     ✗
Atlantis (USA, Europe)                                                                     -      -     -
Auto Racing (1979) (Mattel)                                                                ✗      ✗     ✗
Auto Racing (World)                                                                        -      -     -
B-17 Bomber (1981) (Mattel Electronics)[Intellivoice][3884]                                ✗      ✗     ✗
B-17 Bomber (1981) (Mattel)                                                                ✗      ✗     ✗
B-17 Bomber (USA, Europe)                                                                  -      -     -
Baseball (1978) (Mattel)                                                                   ✗      ✗     ✗
Baseball (1978) (Mattel) (Alt 1)                                                           ✗      ✗     ✗
Battle Tanks (1981) (Mattel) (USA)                                                         ✗      ✗     ✗
BattleTanks (USA, Europe) (Intellivision Lives!)                                           ✗      -     -
BeamRider (1983)                                                                           ✗      ✗     ✗
Beamrider (USA, Europe)                                                                    -      -     -
Beauty _ the Beast (USA, Europe)                                                           -      -     -
Beauty and the Beast (1982) (Imagic)                                                       ✗      ✗     ✗
Biplanes (1981) (Mattel) (USA)                                                             ✗      ✗     ✗
Biplanes (USA, Europe) (Intellivision Lives!)                                              ✗      -     -
Blockade Runner (1983) (Interphase)                                                        ✗      ✗     ✗
Blockade Runner (USA)                                                                      -      -     -
Body Slam - Super Pro Wrestling (INTV Corporation)                                         ✗      ✗     ✗
Body Slam Super Pro Wrestling (INTV)[9009]                                                 ✗      ✗     ✗
Body Slam! - Super Pro Wrestling (USA)                                                     -      -     -
Bomb Squad (1982) (Mattel Electronics)[Intellivoice][3883]                                 ✗      ✗     ✗
Bomb Squad (1982) (Mattel)                                                                 ✗      ✗     ✗
Bomb Squad (USA, Europe)                                                                   -      -     -
Bouncing Pixels (-) (PD)                                                                   ✗      ✗     ✗
Boxing (1980) (Mattel)                                                                     ✗      ✗     ✗
Boxing (World)                                                                             -      -     -
Brickout! (1981) (Mattel)                                                                  ✗      -     -
Brickout! (USA) (Proto)                                                                    ✗      ✗     ✗
Bump 'N' Jump (1983) (Mattel)                                                              ✗      ✗     ✗
Bump 'n' Jump (1983) (Mattel Electronics)[4688]                                            ✗      ✗     ✗
Bump 'n' Jump (USA, Europe)                                                                -      -     -
BurgerTime (USA, Europe)                                                                   -      -     -
BurgerTime! (1982) (Mattel)                                                                ✗      ✗     ✗
Buzz Bombers (1982) (Mattel) (EU-US)                                                       ✗      ✗     ✗
Buzz Bombers (1982) (Mattel) (EU-US) (Alt 1)                                               ✗      ✗     ✗
Buzz Bombers (USA, Europe)                                                                 -      -     -
Buzz Bombers (USA, Europe) (Intellivision Lives!)                                          -      -     -
Carnival (1982) (Coleco-CBS)                                                               ✗      ✗     ✗
Carnival (USA, Europe)                                                                     -      -     -
Castle (demo-playable) (Chevallier, Arnauld)                                               ✗      ✗     ✗
Centipede (1983) (Atarisoft)                                                               ✗      ✗     ✗
Centipede (USA)                                                                            -      -     -
Championship Tennis (INTV)[8200]                                                           ✗      ✗     ✗
Championship Tennis (Mattel)                                                               ✗      ✗     ✗
Championship Tennis (USA, Europe)                                                          -      -     -
Checkers (1979) (Mattel)                                                                   ✗      ✗     ✗
Checkers (USA, Europe)                                                                     -      -     -
Chip Shot - Super Pro Golf (INTV Corporation)                                              ✗      ✗     ✗
Chip Shot - Super Pro Golf (INTV)[8900]                                                    ✗      ✗     ✗
Chip Shot - Super Pro Golf (USA)                                                           -      -     -
Choplifter! (1983) (Mattel Electronics) (Proto)                                            ✗      ✗     ✗
Commando (INTV)[9000]                                                                      ✗      ✗     ✗
Commando (Mattel)                                                                          ✗      ✗     ✗
Commando (USA)                                                                             -      -     -
Congo Bongo (1983)                                                                         ✗      ✗     ✗
Congo Bongo (USA)                                                                          -      -     -
Crazy Clones (1981) (Mattel)                                                               ✗      ✗     ✗
Crazy Clones (USA) (Proto)                                                                 ✗      ✗     ✗
Crosswords (INTV Corporation) (USA)                                                        ✗      ✗     ✗
Crosswords (USA, Europe) (Intellivision Lives!)                                            ✗      -     -
Deadly Dogs (USA, Europe) (Beta)                                                           ✗      ✗     ✗
Deep Pockets - Super Pro Pool _ Billiards (USA) (Proto)                                    -      -     -
Deep Pockets - Super Pro Pool and Billiards (1983) (Mattel Electronics)[unreleased]        ✗      ✗     ✗
Deep Pockets - Super Pro Pool and Billiards (Realtime)                                     ✗      ✗     ✗
Defender (1983) (Atarisoft)                                                                ✗      ✗     ✗
Defender (USA)                                                                             -      -     -
Demon Attack (1982) (Imagic)                                                               ✗      ✗     ✗
Demon Attack (USA, Europe)                                                                 -      -     -
Demonstration Cartridge - Blue (USA)                                                       -      ✗     ✗
Demonstration Cartridge - Green (USA)                                                      ✗      -     ✗
Demonstration Cartridge - Red (USA)                                                        ✗      -     -
Dig Dug (INTV Corporation)                                                                 ✗      ✗     ✗
Dig Dug (INTV)[4_7 both keypads starts Deadly Dogs][9005]                                  ✗      ✗     ✗
Dig Dug (USA)                                                                              -      -     -
Diner (INTV Corporation)                                                                   ✗      ✗     ✗
Diner (INTV)[8800]                                                                         ✗      ✗     ✗
Diner (USA)                                                                                -      -     -
Donkey Kong (1982) (Coleco)                                                                ✗      ✗     ✗
Donkey Kong (USA, Europe)                                                                  -      -     -
Donkey Kong Arcade (200x) (IntelligentVision)                                              ✗      ✗     ✗
Donkey Kong Jr (1982) (Coleco)                                                             ✗      ✗     ✗
Donkey Kong Junior (USA, Europe)                                                           -      -     -
Dracula (1982) (Imagic)                                                                    ✗      ✗     ✗
Dracula (USA, Europe)                                                                      -      -     -
Dragonfire (1982) (Imagic)                                                                 ✗      ✗     ✗
Dragonfire (USA, Europe)                                                                   -      -     -
Dreadnaught Factor, The (1983)                                                             ✗      ✗     ✗
Dreadnaught Factor, The (1983) (Proto)                                                     ✗      ✗     ✗
Dreadnaught Factor, The (USA)                                                              -      -     -
Dreadnaught Factor, The (USA) (Beta)                                                       ✗      ✗     ✗
Duncan's Thin Ice (1983) (Mattel)                                                          ✗      ✗     ✗
Duncan's Thin Ice (USA)                                                                    -      -     -
Easter Eggs (1981) (Mattel)                                                                ✗      -     -
Electric Company, The - Math Fun (USA, Europe)                                             -      -     -
Electric Company, The - Word Fun (USA, Europe)                                             -      -     -
Factor Fun (USA, Europe) (Intellivision Lives!)                                            -      -     -
Fathom (1983) (Imagic)                                                                     ✗      ✗     ✗
Fathom (USA, Europe)                                                                       -      -     -
Frog Bog (1982) (Mattel)                                                                   ✗      ✗     ✗
Frog Bog (World)                                                                           -      -     -
Frogger (1983) (Parker Bros)                                                               ✗      ✗     ✗
Frogger (USA, Europe)                                                                      -      -     -
Game Factory (1982) (Mattel) (USA) (Proto)                                                 ✗      ✗     ✗
Game Factory (USA) (Proto)                                                                 -      ✗     -
Go For the Gold (1981) (Mattel)                                                            ✗      ✗     ✗
Go for the Gold (USA) (Proto)                                                              ✗      -     -
Grid Shock (1982) (Mattel)                                                                 ✗      ✗     ✗
Grid Shock (USA) (Proto)                                                                   -      -     -
Happy Holidays - Easter Eggcitement (USA) (Proto)                                          ✗      ✗     ✗
Happy Holidays - Santa's Helper (USA) (Proto)                                              ✗      ✗     ✗
Happy Holidays - Trick or Treat (USA) (Proto)                                              ✗      ✗     ✗
