Microsoft - MSX

Boxarts      0/936   0.00%
Snaps      913/936  97.54%
Titles     914/936  97.65%
Total    1827/2808  65.06%

Name                                                         Boxart  Snap  Title
10-Yard Fight (Japan)                                           ✗      ✓     ✓
10-Yard Fight (Japan) (Alt 1)                                   ✗      ✓     ✓
1942 (Japan)                                                    ✗      ✓     ✓
1942 (Japan) (Alt 1)                                            ✗      ✓     ✓
3-D Golf Simulation (Japan)                                     ✗      ✓     ✓
3-D Golf Simulation (Japan) (High Speed)                        ✗      ✓     ✓
3-D Golf Simulation (Japan) (Alt 1)                             ✗      ✓     ✓
3D Tennis (Japan)                                               ✗      ✓     ✓
A.E. (Japan)                                                    ✗      ✓     ✓
A1 Spirit - The Way to Formula-1 (Japan)                        ✗      ✓     ✓
Actman (Japan)                                                  ✗      ✓     ✓
Actman (Japan) (Alt 1)                                          ✗      ✓     ✓
Adven' Chuta! (Japan)                                           ✗      ✓     ✓
Albatros (Japan) (Alt 1)                                        ✗      ✓     ✓
Albatros (Japan)                                                ✗      ✓     ✓
Alcazar - The Forgotten Fortress (Japan)                        ✗      ✓     ✓
Alcazar - The Forgotten Fortress (Japan) (Alt 1)                ✗      ✓     ✓
Alibaba and 40 Thieves (Japan)                                  ✗      ✓     ✓
Alibaba and 40 Thieves (Japan) (Alt 1)                          ✗      ✓     ✓
Alibaba and 40 Thieves (Japan) (Alt 2)                          ✗      ✓     ✓
Alien 8 (Japan)                                                 ✗      ✓     ✓
Alien 8 (Japan) (Alt 1)                                         ✗      ✓     ✓
Aliens - Alien 2 (Japan)                                        ✗      ✓     ✓
Aliens - Alien 2 (Japan) (Alt 1)                                ✗      ✓     ✓
Aliens - Alien 2 (Japan) (Alt 2)                                ✗      ✓     ✓
Alpha Roid (Japan)                                              ✗      ✓     ✓
Alpha Roid (Japan) (Alt 1)                                      ✗      ✓     ✓
Alpha Squadron (Japan)                                          ✗      ✓     ✓
American Truck (Japan)                                          ✗      ✓     ✓
American Truck (Japan) (Alt 1)                                  ✗      ✓     ✓
American Truck (Japan) (Alt 2)                                  ✗      ✓     ✓
Anaza - Kaleidoscope Special (Japan)                            ✗      ✓     ✓
Angelo (Japan)                                                  ✗      ✓     ✓
Angelo (Japan) (Alt 1)                                          ✗      ✓     ✓
Animal Land (Japan)                                             ✗      ✓     ✓
Antarctic Adventure (Europe)                                    ✗      ✓     ✓
Antarctic Adventure (Europe) (Alt 1)                            ✗      ✓     ✓
Antarctic Adventure (Japan)                                     ✗      ✓     ✓
Anty (Japan)                                                    ✗      ✓     ✓
Anty (Japan) (Alt 1)                                            ✗      ✓     ✓
Aqua Polis SOS (Japan)                                          ✗      ✓     ✓
Aquattack (Japan)                                               ✗      ✓     ✓
Aramo (Japan)                                                   ✗      ✓     ✓
Arkanoid (Japan)                                                ✗      ✓     ✓
Arkanoid (Japan) (Alt 1)                                        ✗      ✓     ✓
Arkanoid (Japan) (Alt 2)                                        ✗      ✓     ✓
Arkanoid (Japan) (Alt 3)                                        ✗      ✓     ✓
Athletic Ball (Japan)                                           ✗      ✓     ✓
Athletic Land (Japan)                                           ✗      ✓     ✓
Athletic Land (Japan) (Beta)                                    ✗      ✓     ✓
Athletic Land (Japan) (Alt 1)                                   ✗      ✓     ✓
Attack Four Volley Ball (Japan)                                 ✗      ✓     ✓
B.C.'s Quest (Japan)                                            ✗      ✓     ✓
B.C.'s Quest (Japan) (Alt 1)                                    ✗      ✓     ✓
Back Gammon (Japan)                                             ✗      ✓     ✓
Back Gammon (Japan) (Alt 1)                                     ✗      ✓     ✓
Back to the Future (Japan)                                      ✗      ✓     ✓
Back to the Future (Japan) (Alt 1)                              ✗      ✓     ✓
Backgammon (Europe)                                             ✗      ✓     ✓
Balance (Japan)                                                 ✗      ✓     ✓
Balance (Japan) (Alt 1)                                         ✗      ✓     ✓
Balance (Japan) (Alt 2)                                         ✗      ✓     ✓
Balance (Japan) (Alt 3)                                         ✗      ✓     ✓
Balance (Japan) (Alt 4)                                         ✗      ✓     ✓
Banana (Japan)                                                  ✗      ✓     ✓
Bank Panic (Japan)                                              ✗      ✓     ✓
Bank Panic (Japan) (Alt 1)                                      ✗      ✓     ✓
Basic Lessons 1 (Japan)                                         ✗      ✓     ✓
Basic Lessons 2 (Japan)                                         ✗      ✓     ✓
Batman (Japan)                                                  ✗      ✓     ✓
Batten Tanuki no Daibouken (Japan) (Alt 1)                      ✗      ✓     ✓
Batten Tanuki no Daibouken (Japan) (Alt 2)                      ✗      ✓     ✓
Batten Tanuki no Daibouken (Japan) (v1.03)                      ✗      ✓     ✓
Battle Cross (Japan)                                            ✗      ✓     ✓
Battleship Clapton II (Japan)                                   ✗      ✓     ✓
Battleship Clapton II (Japan) (Alt 1)                           ✗      ✓     ✓
Beach-Head (Europe)                                             ✗      ✓     ✓
Beam Rider (Japan)                                              ✗      ✓     ✓
Beam Rider (Japan) (Alt 1)                                      ✗      ✓     ✓
Becky (Japan)                                                   ✗      ✓     ✓
Becky (Japan) (Alt 1)                                           ✗      ✓     ✓
Becky (Japan) (Alt 2)                                           ✗      ✓     ✓
Bee & Flower (Japan)                                            ✗      ✓     ✓
Bee & Flower (Japan) (Alt 1)                                    ✗      ✓     ✓
Bee & Flower (Japan) (Alt 2)                                    ✗      ✓     ✓
Bifamu (Japan)                                                  ✗      ✓     ✓
Bifamu (Japan) (Alt 1)                                          ✗      ✓     ✓
Binary Land (Japan)                                             ✗      ✓     ✓
Black Onyx II, The - Search for the Fire Crystal (Japan)        ✗      ✓     ✓
Black Onyx, The (Japan)                                         ✗      ✓     ✓
Blagger MSX (Europe) (Converted From Tape)                      ✗      ✓     ✓
Block Hole (Korea) (Unl)                                        ✗      ✓     ✓
Blockade Runner (Japan)                                         ✗      ✓     ✓
Boggy '84 (Japan)                                               ✗      ✓     ✓
Boggy '84 (Japan) (Alt 1)                                       ✗      ✓     ✓
Boggy '84 (Japan) (Alt 2)                                       ✗      ✓     ✓
Boing Boing (Spain)                                             ✗      ✓     ✓
Bokosuka Wars (Japan)                                           ✗      ✓     ✓
Bokosuka Wars (Japan) (Alt 1)                                   ✗      ✓     ✓
Bomber King (Japan)                                             ✗      ✓     ✓
Bomber Man (Japan)                                              ✗      ✓     ✓
Bomber Man Special (Japan)                                      ✗      ✓     ✓
Boogie Woogi Jungle (Japan)                                     ✗      ✓     ✓
Boogie Woogi Jungle (Japan) (Alt 1)                             ✗      ✓     ✓
Boogie Woogi Jungle (Japan) (Alt 2)                             ✗      ✓     ✓
Boomerang (Japan)                                               ✗      ✓     ✓
Boomerang (Japan) (Alt 1)                                       ✗      ✓     ✓
Borfesu (Japan)                                                 ✗      ✓     ✓
Bosconian (Japan)                                               ✗      ✓     ✓
Bosconian (Japan) (Alt 1)                                       ✗      ✓     ✓
Bosconian (Japan) (Alt 2)                                       ✗      ✓     ✓
