Microsoft - MSX2 Missing

Boxarts   66/195  33.85%
Snaps    194/195  99.49%
Titles   194/195  99.49%
Total    454/585  77.61%

Name                                                                        Boxart  Snap  Title
1942 (Japan)                                                                   -      -     -
A Ressha de Ikou MSX (Japan)                                                   ✗      -     -
AcroJet (Japan)                                                                -      -     -
Aleste (Japan)                                                                 -      -     -
Alges no Yoku (Japan)                                                          ✗      -     -
American Soccer (Japan)                                                        ✗      -     -
Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan)                          ✗      -     -
Aoki Ookami to Shiroki Mejika - Genghis Khan (Japan)                           ✗      -     -
Arctic - Active Rail Playing (Japan)                                           ✗      -     -
Arctic - Active Rail Playing (Japan) (Alt 1)                                   ✗      -     -
Arkanoid II - Revenge of Doh (Japan)                                           -      -     -
AshGuine - Densetsu no Seisenshi (Japan)                                       -      -     -
AshGuine Story II - Kokuu no Gajou (Japan)                                     -      -     -
AshGuine Story III - Fukushuu no Honoo (Japan)                                 ✗      -     -
Bubble Bobble (Japan)                                                          -      -     -
Bubble Bobble (Japan) (Alt 1)                                                  ✗      -     -
Cheese 2 (Japan) (Program)                                                     ✗      -     -
Cockpit, The (Japan)                                                           ✗      -     -
Contra (Japan)                                                                 -      -     -
Crimson (Japan)                                                                ✗      -     -
Daikoukai Jidai (Japan)                                                        ✗      -     -
Daisenryaku MSX2 (Japan)                                                       -      -     -
Darwin 4078 (Japan)                                                            -      -     -
Darwin 4078 (Japan) (Alt 1)                                                    ✗      -     -
Darwin 4078 (Japan) (Alt 2)                                                    ✗      -     -
Deep Forest (Japan)                                                            ✗      -     -
Deep Forest (Japan) (Alt 1)                                                    ✗      -     -
Dires - Giger Loop (Japan)                                                     -      -     -
Double Vision (Japan)                                                          ✗      -     -
Dragon Buster (Japan)                                                          -      -     -
Dragon Quest (Japan)                                                           -      -     -
Dragon Quest II (Japan)                                                        ✗      -     -
Dragon Quest II (Japan) (Alt 1)                                                ✗      -     -
Dragon Slayer IV - Drasle Family (Japan)                                       -      -     -
Dragon Slayer IV - Drasle Family (Japan) (Alt 1)                               -      -     -
Dragon Slayer Jr. - Romancia (Japan)                                           ✗      -     -
Druid (Japan)                                                                  -      -     -
Druid (Japan) (Alt 1)                                                          ✗      -     -
Dynamite Bowl (Japan)                                                          ✗      -     -
Dynamite Bowl (Japan) (Alt 1)                                                  ✗      -     -
Eidolon, The (Europe)                                                          -      -     -
Elthlead (Japan)                                                               ✗      -     -
Empereur, L' (Japan)                                                           ✗      -     -
Europe Sensen (Japan)                                                          ✗      -     -
F-15 Strike Eagle (Japan)                                                      -      -     -
Famicle Parodic (Japan)                                                        -      -     -
Family Billiards (Japan)                                                       -      -     -
Family Boxing - MSX Title Match (Japan)                                        -      -     -
Fantasy Zone II - The Tears of Opa-Opa (Japan)                                 ✗      -     -
Fantasy Zone II - The Tears of Opa-Opa (Japan) (Alt 1)                         ✗      -     -
Final Mystery Murder Club - Satsujin Club (Japan)                              ✗      -     -
Fire Ball (Japan)                                                              -      -     -
Fleet Commander II - Koukon no Kaiiki (Japan)                                  ✗      -     -
Gakuen Monogatari - High School Story (Japan)                                  ✗      -     -
Gambler Jiko Chuushinha 2 - Jishou! Kyougou Janshi Hen (Japan)                 ✗      -     -
Ganbare Goemon! - Karakuri Douchuu (Japan)                                     ✗      -     -
Garakuta (Japan)                                                               ✗      -     -
Garyuu Ou (Japan)                                                              -      -     -
Garyuu Ou (Japan) (Alt 1)                                                      ✗      -     -
Gekitotsu Pennant Race - Pro Yakyuu, The (Japan)                               -      -     -
Gekitotsu Pennant Race - Pro Yakyuu, The (Japan) (Alt 1)                       ✗      -     -
Gekitotsu Pennant Race - Pro Yakyuu, The (Japan) (Alt 2)                       ✗      -     -
Gekitotsu Pennant Race - Pro Yakyuu, The (Japan) (Alt 3)                       ✗      -     -
Gekitotsu Pennant Race 2 (Japan)                                               -      -     -
Gekitotsu Pennant Race 2 (Japan) (English Menu)                                ✗      -     -
Girly Block (Japan)                                                            -      -     -
Hacker (Japan)                                                                 ✗      -     -
Hai no Majutsushi (Japan)                                                      ✗      -     -
Hal Note (Japan) (Program)                                                     ✗      -     -
Han Seimei Senki Andorogynus (Japan)                                           -      -     -
Han Seimei Senki Andorogynus (Japan) (Alt 1)                                   ✗      -     -
Hard Ball (Japan)                                                              -      -     -
Heroes of the Lance (Japan)                                                    -      -     -
Higemaru Makai Shima - Nanatsu no Shima Daibouken (Japan)                      ✗      -     -
High School! Kimengumi (Japan)                                                 ✗      -     -
Hinotori - Houou Hen (Japan)                                                   -      -     -
Hinotori - Houou Hen (Japan) (Alt 1)                                           ✗      -     -
Hinotori - Houou Hen (Japan) (Alt 2)                                           ✗      -     -
Hole in One Special (Japan)                                                    -      -     -
Hole in One Special (Japan) (Alt 1)                                            ✗      -     -
Hydlide 3 - The Space Memories (Japan)                                         -      -     -
Ide Yousuke Meijin no Jissen Mahjong (Japan)                                   ✗      -     -
Ikari (Japan)                                                                  -      -     -
Ikari (Japan) (Alt 1)                                                          ✗      -     -
Inemuriryuu Asada Tetsuya no A-kyuu Mahjong (Japan)                            ✗      -     -
