Microsoft - Xbox Missing

Boxarts  14/1759  0.80%
Snaps     0/1759  0.00%
Titles    0/1759  0.00%
Total    14/5277  0.27%

Name                                                                                                Boxart  Snap  Title
007 - Agent Under Fire (Europe) (En,Fr,De)                                                             ✗      ✗     ✗
007 - Agent Under Fire (USA)                                                                           ✗      ✗     ✗
007 - Everything or Nothing (Europe) (En,Es,It,Nl,Sv)                                                  ✗      ✗     ✗
007 - Everything or Nothing (Europe) (Fr,De)                                                           ✗      ✗     ✗
007 - Everything or Nothing (USA)                                                                      ✗      ✗     ✗
007 - From Russia with Love (Europe) (En,Fr,De,Es,It,Nl,Sv)                                            ✗      ✗     ✗
007 - From Russia with Love (USA)                                                                      ✗      ✗     ✗
007 - Nightfire (Europe) (En,Fr,De,Es,It,Nl,Sv)                                                        ✗      ✗     ✗
007 - Nightfire (USA)                                                                                  ✗      ✗     ✗
187 - Ride or Die (World) (En,Fr,De,Es,It)                                                             ✗      ✗     ✗
2002 FIFA World Cup Korea Japan (Europe)                                                               ✗      ✗     ✗
2002 FIFA World Cup Korea Japan (France)                                                               ✗      ✗     ✗
2002 FIFA World Cup Korea Japan (Germany)                                                              ✗      ✗     ✗
2002 FIFA World Cup Korea Japan (Japan)                                                                ✗      ✗     ✗
25 to Life (USA, Asia)                                                                                 ✗      ✗     ✗
4x4 Evo 2 (Europe) (En,Fr,De)                                                                          ✗      ✗     ✗
4x4 Evo 2 (USA)                                                                                        ✗      ✗     ✗
50 Cent - Bulletproof (World)                                                                          ✗      ✗     ✗
Advent Rising (Europe) (En,Fr,De)                                                                      ✗      ✗     ✗
Advent Rising (USA)                                                                                    ✗      ✗     ✗
Aeon Flux (Europe)                                                                                     ✗      ✗     ✗
Aeon Flux (Europe) (En,Fr,De,Es)                                                                       ✗      ✗     ✗
Aeon Flux (USA, Asia)                                                                                  ✗      ✗     ✗
AFL Live 2003 (Australia)                                                                              ✗      ✗     ✗
AFL Live 2004 (Australia)                                                                              ✗      ✗     ✗
AFL Live Premiership Edition (Australia)                                                               ✗      ✗     ✗
Aggressive Inline (Europe) (En,Fr,De,Es)                                                               ✗      ✗     ✗
Aggressive Inline (USA)                                                                                ✗      ✗     ✗
AirForce Delta II (Japan) (En,Ja)                                                                      ✗      ✗     ✗
Alias (Europe) (En,Fr,De,Es,It)                                                                        ✗      ✗     ✗
Alias (USA)                                                                                            ✗      ✗     ✗
Alien Hominid (Europe) (En,Fr,De,Es,It)                                                                ✗      ✗     ✗
Aliens Versus Predator - Extinction (Europe)                                                           ✗      ✗     ✗
Aliens Versus Predator - Extinction (USA)                                                              ✗      ✗     ✗
All-Star Baseball 2003 featuring Derek Jeter (Europe)                                                  ✗      ✗     ✗
All-Star Baseball 2003 featuring Derek Jeter (USA)                                                     ✗      ✗     ✗
All-Star Baseball 2005 featuring Derek Jeter (USA)                                                     ✗      ✗     ✗
Alter Echo (Europe)                                                                                    ✗      ✗     ✗
Alter Echo (Europe) (Fr,De)                                                                            ✗      ✗     ✗
Alter Echo (USA)                                                                                       ✗      ✗     ✗
America's Army - Rise of a Soldier (Europe)                                                            ✗      ✗     ✗
American Chopper (World)                                                                               ✗      ✗     ✗
American Chopper 2 - Full Throttle (World)                                                             ✗      ✗     ✗
American McGee Presents Scrapland (World)                                                              ✗      ✗     ✗
AMF Bowling 2004 (USA)                                                                                 ✗      ✗     ✗
Amped - Freestyle Snowboarding (Europe) (En,Fr,De,Es,It)                                               ✗      ✗     ✗
Amped - Freestyle Snowboarding (USA)                                                                   ✗      ✗     ✗
Amped 2 (Asia) (En,Fr,De)                                                                              ✗      ✗     ✗
Amped 2 (Europe) (En,Fr,De)                                                                            ✗      ✗     ✗
AND 1 Streetball (World) (En,Fr,De,Es,It)                                                              ✗      ✗     ✗
Angelic Concert (Japan)                                                                                ✗      ✗     ✗
Animaniacs - The Great Edgar Hunt (Europe) (En,Fr,De,Es,It)                                            ✗      ✗     ✗
Antz Extreme Racing (Europe) (En,Fr,De,Es,It)                                                          ✗      ✗     ✗
Apex (USA)                                                                                             ✗      ✗     ✗
Aquaman - Battle for Atlantis (USA)                                                                    ✗      ✗     ✗
Arctic Thunder (Europe) (En,Fr,De)                                                                     ✗      ✗     ✗
Arctic Thunder (USA)                                                                                   ✗      ✗     ✗
Area 51 (Europe) (En,Fr,De,Es,It)                                                                      ✗      ✗     ✗
Area 51 (USA)                                                                                          ✗      ✗     ✗
Arena Football (USA)                                                                                   ✗      ✗     ✗
