NEC - PC Engine - TurboGrafx 16 Missing

Boxarts    385/447  86.13%
Snaps      385/447  86.13%
Titles     385/447  86.13%
Total    1155/1341  86.13%

Name                                                                       Boxart  Snap  Title
1943 Kai (Japan)                                                              -      -     -
21 Emon - Mezase Hotel Ou!! (Japan)                                           -      -     -
AV Poker - World Gambler (Japan) (Unl)                                        -      -     -
Adventure Island (Japan)                                                      -      -     -
Aero Blasters (Japan)                                                         -      -     -
Aero Blasters (USA)                                                           -      -     -
After Burner II (Japan)                                                       -      -     -
Air Zonk (USA)                                                                -      -     -
Air Zonk (USA, Europe) (WiiU Virtual Console)                                 ✗      ✗     ✗
Alien Crush (Japan)                                                           -      -     -
Alien Crush (USA)                                                             -      -     -
All Star Power League (Japan)                                                 -      -     -
Andre Panza Kick Boxing (USA)                                                 -      -     -
Ankoku Densetsu (Japan)                                                       -      -     -
Aoi Blink (Japan)                                                             -      -     -
Appare! Gateball (Japan)                                                      -      -     -
Armed F (Japan)                                                               -      -     -
Artist Tool (Japan)                                                           -      -     -
Atlantean (World) (Aftermarket) (Homebrew)                                    ✗      ✗     ✗
Atomic Robo-Kid Special (Japan)                                               -      -     -
Ballistix (Japan)                                                             -      -     -
Ballistix (USA)                                                               -      -     -
Bari Bari Densetsu (Japan)                                                    -      -     -
Barunba (Japan)                                                               -      -     -
Batman (Japan)                                                                -      -     -
Battle Chopper (Japan)                                                        ✗      ✗     ✗
Battle Lode Runner (Japan)                                                    -      -     -
Battle Royale (USA)                                                           -      -     -
Be Ball (Japan)                                                               -      -     -
Benkei Gaiden (Japan)                                                         -      -     -
Benkei Gaiden (Japan) (Wii Virtual Console)                                   ✗      ✗     ✗
Bikkuriman World (Japan)                                                      -      -     -
Blazing Lazers (USA)                                                          -      -     -
Blazing Lazers (World) (WiiU Virtual Console)                                 ✗      ✗     ✗
Blodia (Japan)                                                                -      -     -
Bloody Wolf (USA)                                                             -      -     -
Bodycon Quest II (Japan) (Unl)                                                -      -     -
Bomberman '93 (Japan)                                                         -      -     -
Bomberman '93 (Japan) (WiiU Virtual Console)                                  ✗      ✗     ✗
Bomberman '93 (USA)                                                           -      -     -
Bomberman '93 (USA, Europe) (WiiU Virtual Console)                            ✗      ✗     ✗
Bomberman '93 - Special Version (Japan)                                       -      -     -
Bomberman '94 (Japan)                                                         -      -     -
Bomberman '94 (World) (WiiU Virtual Console)                                  ✗      ✗     ✗
Bomberman (Japan)                                                             -      -     -
Bomberman (USA)                                                               -      -     -
Bomberman (USA) (Bomberman Collection)                                        ✗      ✗     ✗
Bomberman - Users Battle (Japan)                                              -      -     -
Bonk 3 - Bonk's Big Adventure (USA)                                           -      -     -
Bonk 3 - Bonk's Big Adventure (USA, Europe) (WiiU Virtual Console)            ✗      ✗     ✗
Bonk's Adventure (USA)                                                        -      -     -
Bonk's Adventure (USA, Europe) (WiiU Virtual Console)                         ✗      ✗     ✗
Bonk's Revenge (USA)                                                          -      -     -
Bonk's Revenge (USA, Europe) (Wii Virtual Console)                            ✗      ✗     ✗
Bonk's Revenge (USA, Europe) (WiiU Virtual Console)                           ✗      ✗     ✗
Bouken Danshaku Don - The Lost Sunheart (Japan)                               -      -     -
Boxyboy (USA)                                                                 -      -     -
Bravoman (USA)                                                                -      -     -
Break In (Japan)                                                              -      -     -
Bubblegum Crash! - Knight Sabers 2034 (Japan)                                 -      -     -
Bull Fight - Ring no Hasha (Japan)                                            -      -     -
Burning Angels (Japan)                                                        -      -     -
Busou Keiji - Cyber Cross (Japan)                                             -      -     -
Cadash (Japan)                                                                -      -     -
Cadash (USA)                                                                  -      -     -
Champion Wrestler (Japan)                                                     -      -     -
Champions Forever Boxing (USA)                                                -      -     -
Chase H.Q. (USA)                                                              -      -     -
Chew-Man-Fu (USA)                                                             -      -     -
Chibi Maruko-chan - Quiz de Piihyara (Japan)                                  -      -     -
Chikudenya Toubei - Kubikiri Yakata Yori (Japan)                              -      -     -
China Warrior (USA)                                                           -      -     -
Chouzetsurinjin Bravoman (Japan)                                              -      -     -
Circus Lido (Japan)                                                           -      -     -
City Hunter (Japan)                                                           -      -     -
Columns (Japan)                                                               -      -     -
Coryoon - Child of Dragon (Japan)                                             -      -     -
Cratermaze (USA)                                                              -      -     -
Cross Wiber - Cyber Combat Police (Japan)                                     -      -     -
Cyber Core (Japan)                                                            -      -     -
Cyber Core (USA)                                                              -      -     -
Cyber Dodge (Japan)                                                           -      -     -
Cyber Knight (Japan)                                                          -      -     -
Daichi-kun Crisis - Do Natural (Japan)                                        -      -     -
Daisenpuu (Japan)                                                             -      -     -
Darius Alpha (Japan) (SG Enhanced)                                            -      -     -
Darius Alpha (World) (SG Enhanced) (Darius Cozmic Collection)                 ✗      ✗     ✗
Darius Plus (Japan) (SG Enhanced)                                             -      -     -
Darkwing Duck (USA)                                                           -      -     -
Davis Cup Tennis (USA)                                                        -      -     -
Dead Moon (USA)                                                               -      -     -
Dead Moon - Getsu Sekai no Akumu (Japan)                                      -      -     -
Deep Blue (USA)                                                               -      -     -
Deep Blue - Kaitei Shinwa (Japan)                                             -      -     -
Detana!! TwinBee (Japan)                                                      -      -     -
Devil Crash - Naxat Pinball (Japan)                                           -      -     -
Devil Crash - Naxat Pinball (Japan) (WiiU Virtual Console)                    ✗      ✗     ✗
Devil's Crush (USA)                                                           -      -     -
Devil's Crush (USA, Europe) (WiiU Virtual Console)                            ✗      ✗     ✗
Die Hard (Japan)                                                              -      -     -
Digital Champ (Japan)                                                         -      -     -
Don Doko Don! (Japan)                                                         -      -     -
Doraemon - Meikyuu Daisakusen (Japan)                                         -      -     -
Doraemon - Nobita no Dorabian Night (Japan)                                   -      -     -
Double Dungeons (Japan)                                                       -      -     -
Double Dungeons (Japan) (WiiU Virtual Console)                                ✗      ✗     ✗
Double Dungeons (USA)                                                         -      -     -
Double Dungeons (USA, Europe) (WiiU Virtual Console)                          ✗      ✗     ✗
Download (Japan)                                                              -      -     -
Dragon Egg! (Japan)                                                           -      -     -
Dragon Saber (Japan)                                                          -      -     -
Dragon Spirit (Japan)                                                         -      -     -
Dragon Spirit (USA)                                                           -      -     -
Dragon's Curse (USA)                                                          -      -     -
Drop Off (USA)                                                                -      -     -
Drop Rock Hora Hora (Japan)                                                   -      -     -
Dungeon Explorer (Japan)                                                      -      -     -
Dungeon Explorer (USA)                                                        -      -     -
Dungeons _ Dragons - Order of the Griffon (USA)                               -      -     -
Energy (Japan)                                                                -      -     -
Eternal City - Toshi Tensou Keikaku (Japan)                                   -      -     -
F-1 Dream (Japan)                                                             -      -     -
F-1 Pilot - You're King of Kings (Japan)                                      -      -     -
F1 Circus '91 (Japan)                                                         ✗      ✗     ✗
F1 Circus '92 - The Speed of Sound (Japan)                                    -      -     -
F1 Circus (Japan)                                                             -      -     -
F1 Triple Battle (Japan)                                                      -      -     -
Falcon (USA)                                                                  -      -     -
Fantasy Zone (Japan)                                                          -      -     -
Fantasy Zone (USA)                                                            -      -     -
Fighting Run (Japan)                                                          -      -     -
Final Blaster (Japan)                                                         -      -     -
Final Lap Twin (Japan)                                                        -      -     -
Final Lap Twin (USA)                                                          -      -     -
Final Match Tennis (Japan)                                                    -      -     -
Final Soldier (Japan) (En)                                                    -      -     -
Final Soldier (World) (WiiU Virtual Console)                                  ✗      ✗     ✗
Final Soldier - Special Version (Japan) (En)                                  -      -     -
Fire Pro Wrestling - Combination Tag (Japan)                                  -      -     -
Fire Pro Wrestling 2 - 2nd Bout (Japan)                                       -      -     -
Fire Pro Wrestling 3 - Legend Bout (Japan)                                    -      -     -
Formation Soccer - Human Cup '90 (Japan)                                      -      -     -
Formation Soccer - On J League (Japan)                                        ✗      ✗     ✗
Fushigi no Yume no Alice (Japan)                                              -      -     -
Gai Flame (Japan)                                                             -      -     -
Gai Flame (Japan) (WiiU Virtual Console)                                      ✗      ✗     ✗
Gaia no Monshou (Japan)                                                       -      -     -
Galaga '88 (Japan)                                                            -      -     -
Galaga '90 (USA)                                                              -      -     -
Ganbare! Golf Boys (Japan)                                                    -      -     -
Gekisha Boy (Japan)                                                           -      -     -
Genji Tsuushin Agedama (Japan)                                                -      -     -
Genpei Toumaden (Japan)                                                       -      -     -
Genpei Toumaden - Kan no Ni (Japan)                                           -      -     -
Ghost Manor (USA)                                                             -      -     -
Gokuraku! Chuuka Taisen (Japan)                                               -      -     -
Gomola Speed (Japan)                                                          -      -     -
Gradius (Japan)                                                               -      -     -
Gradius (World) (WiiU Virtual Console)                                        ✗      ✗     ✗
Gunboat (USA)                                                                 -      -     -
Gunhed (Japan)                                                                -      -     -
Gunhed - Special Version (Japan)                                              -      -     -
Hana Taaka Daka! (Japan)                                                      -      -     -
Hanii in the Sky (Japan)                                                      -      -     -
Hanii on the Road (Japan)                                                     -      -     -
Hatris (Japan)                                                                -      -     -
Heavy Unit (Japan)                                                            -      -     -
Hisou Kihei X-SERD (Japan)                                                    ✗      ✗     ✗
Hit the Ice - VHL - The Official Video Hockey League (USA)                    -      -     -
Hit the Ice - VHL - The Video Hockey League (Japan)                           -      -     -
Honoo no Toukyuuji - Dodge Danpei (Japan)                                     -      -     -
Idol Hanafuda Fan Club (Japan) (Unl)                                          -      -     -
Image Fight (Japan)                                                           -      -     -
Impossamole (USA)                                                             -      -     -
J.J. _ Jeff (USA)                                                             -      -     -
J.League Greatest Eleven (Japan)                                              -      -     -
Jack Nicklaus - Championship Golf (Japan)                                     -      -     -
Jack Nicklaus' Turbo Golf (USA)                                               -      -     -
Jackie Chan (Japan)                                                           -      -     -
Jackie Chan's Action Kung Fu (USA)                                            -      -     -
Jaseiken Necromancer (Japan)                                                  -      -     -
Jaseiken Necromancer (Japan) (Wii Virtual Console)                            ✗      ✗     ✗
Jaseiken Necromancer (World) (WiiU Virtual Console)                           ✗      ✗     ✗
Jigoku Meguri (Japan)                                                         -      -     -
Jinmu Denshou (Japan)                                                         -      -     -
Juuouki (Japan)                                                               -      -     -
Kaizou Choujin Shubibinman (Japan)                                            -      -     -
Kaizou Choujin Shubibinman 2 - Aratanaru Teki (Japan)                         -      -     -
Kato-chan Ken-chan (Japan)                                                    -      -     -
Kattobi! Takuhai-kun (Japan)                                                  -      -     -
Keith Courage in Alpha Zones (USA)                                            -      -     -
KickBall (Japan)                                                              -      -     -
Kiki Kaikai (Japan)                                                           -      -     -
King of Casino (Japan)                                                        -      -     -
King of Casino (USA)                                                          -      -     -
Klax (Japan)                                                                  -      -     -
Klax (USA)                                                                    -      -     -
Knight Rider Special (Japan)                                                  -      -     -
Kore ga Pro Yakyuu '89 (Japan)                                                -      -     -
Kore ga Pro Yakyuu '90 (Japan)                                                -      -     -
Kung Fu, The (Japan)                                                          -      -     -
Kung Fu, The (Japan) (Wii Virtual Console)                                    ✗      ✗     ✗
Kyuukyoku Mahjong - Idol Graphics (Japan) (Unl)                               -      -     -
Kyuukyoku Mahjong II (Japan) (Unl)                                            -      -     -
Kyuukyoku Tiger (Japan)                                                       -      -     -
Lady Sword - Ryakudatsu Sareta 10-nin no Otome (Japan) (Unl)                  -      -     -
Legend of Hero Tonma (Japan)                                                  -      -     -
Legend of Hero Tonma (USA)                                                    -      -     -
Legendary Axe II (USA)                                                        -      -     -
Legendary Axe, The (USA)                                                      -      -     -
Lode Runner - Lost Labyrinth (Japan)                                          -      -     -
Maerchen Maze (Japan)                                                         -      -     -
Magical Chase (Japan)                                                         -      -     -
Magical Chase (USA)                                                           -      -     -
Mahjong Gakuen - Touma Soushirou Toujou (Japan)                               -      -     -
Mahjong Gakuen Mild - Touma Soushirou Toujou (Japan)                          -      -     -
Mahjong Gokuu Special (Japan)                                                 -      -     -
Mahjong Haouden - Kaiser's Quest (Japan)                                      -      -     -
