NEC - PC Engine CD - TurboGrafx-CD Missing

Boxarts    57/651   8.76%
Snaps      79/651  12.14%
Titles     31/651   4.76%
Total    167/1953   8.55%

Name                                                                                                                                        Boxart  Snap  Title
1552 - Tenka Tairan (Ask Kodansha) (Japan)                                                                                                     ✗      ✗     ✗
3x3 Eyes - Sanjiyan Henjou (Japan) (Rev 1)                                                                                                     ✗      ✗     ✗
3x3 Eyes - Sanjiyan Hensei (NEC) (Japan)[HE100523-1]                                                                                           ✗      ✗     ✗
3x3 Eyes - Sanjiyan Hensei (NEC) (Japan)[HE100802-2]                                                                                           ✗      ✗     ✗
4 in 1 Super CD (Hudson) (USA)                                                                                                                 ✗      ✗     ✗
A.III. - A Ressha De Ikou III (Artdink) (Japan)[AKA Take the 'A' Train III]                                                                    ✗      ✗     ✗
AV Tanjou (Games Express) (Japan)[req. Games Express CD Card]                                                                                  ✗      ✗     ✗
AV Tanjou (Japan) (Unl) (Alt 2)                                                                                                                ✗      ✗     ✗
Addams Family, The (Icom Simulations - NEC) (USA)                                                                                              ✗      ✗     ✗
Addams Family, The (USA)                                                                                                                       -      -     -
Advanced V.G. (Japan)                                                                                                                          ✗      ✗     ✗
Advanced V.G. (TGL) (Japan)                                                                                                                    ✗      ✗     ✗
Adventure Quiz - Capcom World - Hatena no Dai Bouken (Hudson) (Japan)                                                                          ✗      ✗     ✗
Ai Chou Aniki (Masaya - NCS) (Japan)                                                                                                           ✗      ✗     ✗
Akumajou Dracula X - Chi no Rondo (Japan) (FABT, FACT)                                                                                         -      -     -
Akumajou Dracula X - Chi no Rondo (Konami) (Japan)                                                                                             ✗      ✗     ✗
Alnam no Kiba - Juuzoku Juuni Shinto Densetsu (Japan) (FABT)                                                                                   ✗      ✗     ✗
Alnam no Kiba - Juuzoku Juuni Shinto Densetsu (Right Stuff) (Japan)                                                                            ✗      ✗     ✗
Alshark (Right Stuff - Victor) (Japan)                                                                                                         ✗      ✗     ✗
Ane-san (Japan)                                                                                                                                ✗      ✗     ✗
Ane-san (NEC Avenue) (Japan)                                                                                                                   ✗      ✗     ✗
Angelus 2 - Holy Night (199x) (Asmik) (Japan) (Proto)[AKA Angels 2]                                                                            ✗      ✗     ✗
Aoki Ookami to Shiroki Mejika - Ganchou Hishi (KOEI) (Japan)                                                                                   ✗      ✗     ✗
Asuka 120% Maxima - Burning Fest. Maxima (Japan)                                                                                               ✗      ✗     ✗
Asuka 120% Maxima Burning Fest. (NEC Avenue) (Japan)                                                                                           ✗      ✗     ✗
Atlas, The - Renaissance Voyager (Artdink) (Japan)                                                                                             ✗      ✗     ✗
Aurora Quest - Otaku no Seiza in Another World (Pack-In-Video) (Japan)                                                                         ✗      ✗     ✗
Avenger (Sin Nihon Laser Soft - Telenet) (Japan)                                                                                               ✗      ✗     ✗
Babel (Telenet) (Japan)                                                                                                                        ✗      ✗     ✗
Baby Jo - The Super Hero (Micro World) (Japan)                                                                                                 ✗      ✗     ✗
Bakuden - Unbalance Zone (Japan)                                                                                                               ✗      ✗     ✗
Bakuretsu Hunter - Duo Comic (Hudson - Media Works) (Japan)                                                                                    ✗      ✗     ✗
Bakushou Yoshimoto Shinkigeki (Hudson) (Japan)                                                                                                 ✗      ✗     ✗
Bakushou Yoshimoto Shinkigeki (Japan) (FABT)                                                                                                   ✗      ✗     ✗
Basted (AIC - NEC Avenue) (Japan)                                                                                                              ✗      ✗     ✗
Basted (Japan)                                                                                                                                 ✗      -     ✗
Bazaaru de Gozaru no Game De Gozaru (NEC) (Japan)                                                                                              ✗      ✗     ✗
Beyond Shadowgate (Turbo Technologies - Viacom) (USA)                                                                                          ✗      ✗     ✗
Bikini Girls (199x) (Excite) (USA)                                                                                                             ✗      ✗     ✗
Bikini Girls (USA) (Unl)                                                                                                                       ✗      ✗     ✗
Bikkuriman Daijikai (Hudson) (Japan)                                                                                                           ✗      ✗     ✗
Bishoujo Janshi Idol Pai (Japan) (Unl)                                                                                                         ✗      ✗     ✗
Bishoujo Janshi Idol Pie (Games Express) (Japan)[req. Games Express CD Card]                                                                   ✗      ✗     ✗
Bishoujo Senshi Sailor Moon (Banpresto) (Japan)                                                                                                ✗      ✗     ✗
