NEC - PC-FX Missing

Boxarts  16/121  13.22%
Snaps    13/121  10.74%
Titles   13/121  10.74%
Total    42/363  11.57%

Name                                                                                                     Boxart  Snap  Title
Aa! Megami-sama (Japan) (Disc 1)                                                                            ✗      ✗     ✗
Aa! Megami-sama (Japan) (Disc 2)                                                                            ✗      ✗     ✗
Aa! Megami-sama! (NEC Home Electronics) (Japan) (Disk 1 of 2)[FXNHE742]                                     ✗      ✗     ✗
Aa! Megami-sama! (NEC Home Electronics) (Japan) (Disk 2 of 2)[FXNHE742]                                     ✗      ✗     ✗
Akazukin Cha Cha - Osawagase! Panic Race! (NEC Home Electronics) (Japan)[FXNHE630]                          ✗      ✗     ✗
Akazukin ChaCha - Osawagase! Panic Race! (Japan)                                                            ✗      ✗     ✗
Albaria no Otome (Japan)                                                                                    ✗      ✗     ✗
Amateur Teikyou CD-ROM (Japan) (DOS-V-you) (NEC PC-FXGA)                                                    ✗      ✗     ✗
Amateur Teikyou CD-ROM (Japan) (NEC PC-FXGA)                                                                ✗      ✗     ✗
Angelique - Tenkuu No Requim (NEC Home Electronics) (Japan)[FXNHE846]                                       ✗      ✗     ✗
Angelique Special (NEC Home Electronics) (Japan)[FXNHE514]                                                  ✗      ✗     ✗
Angelique Special 2 (Japan)                                                                                 ✗      ✗     ✗
Angelique Special 2 (NEC Home Electronics) (Japan)[FXNHE633]                                                ✗      ✗     ✗
Anime Freak FX Volume 1 (NEC Home Electronics) (Japan)[FXNHE510]                                            ✗      ✗     ✗
Anime Freak FX Volume 2 (NEC Home Electronics) (Japan)[FXNHE513]                                            ✗      ✗     ✗
Anime Freak FX Volume 4 (NEC Home Electronics) (Japan)[FXNHE636]                                            ✗      ✗     ✗
Anime Freak FX Volume 5 (NEC Home Electronics) (Japan) (Disc 1 of 2)[FXNHE738]                              ✗      ✗     ✗
Anime Freak FX Volume 5 (NEC Home Electronics) (Japan) (Disc 2 of 2)[FXNHE738]                              ✗      ✗     ✗
Anime Freak FX Volume 6 (NEC Home Electronics) (Japan) (Disc 1 of 2)[FXNHE845]                              ✗      ✗     ✗
Anime Freak FX Volume 6 (NEC Home Electronics) (Japan) (Disc 2 of 2)[FXNHE845]                              ✗      ✗     ✗
