Nintendo - Family Computer Disk System Missing

Boxarts   48/298  16.11%
Snaps    158/298  53.02%
Titles   159/298  53.36%
Total    365/894  40.83%

Name                                                                                      Boxart  Snap  Title
Adian no Tsue (Japan)                                                                        ✗      ✓     ✓
Adian no Tsue (Japan) (Beta)                                                                 ✗      ✗     ✗
Aki to Tsukasa no Fushigi no Kabe (Japan) (Unl)                                              ✗      ✓     ✓
Akuu Senki Raijin (Japan) (Disk Writer) [b]                                                  ✗      ✗     ✗
Aliens - Alien 2 (Japan) (Proto) [b]                                                         ✗      ✓     ✓
All Night Nippon Super Mario Brothers (Japan) (Promotion Card)                               ✗      ✓     ✓
Apple Town Monogatari - Little Computer People (Japan)                                       ✗      ✓     ✓
Armana no Kiseki (Japan)                                                                     ✗      ✓     ✓
Aspic - Majaou no Noroi (Japan)                                                              ✗      ✓     ✓
Backgammon (Japan) [b]                                                                       ✗      ✗     ✗
Bakutoushi Patton-kun (Japan)                                                                ✗      ✗     ✗
Baseball (Japan)                                                                             ✗      ✗     ✗
Big Challenge! Dogfight Spirit (Japan) [b]                                                   ✗      ✗     ✗
Big Challenge! Go! Go! Bowling (Japan)                                                       ✗      ✓     ✓
Big Challenge! Gun Fighter (Japan)                                                           ✗      ✓     ✓
Big Challenge! Juudou Senshuken (Japan)                                                      ✗      ✓     ✓
Bio Miracle Bokutte Upa (Japan)                                                              ✗      ✓     ✓
Bishoujo Alien Battle (Japan) (Alt 1) (Unl)                                                  ✗      ✗     ✗
Bishoujo Hanafuda Club Vol.1 - Oichokabu Hen (Japan) (Unl)                                   ✗      ✓     ✓
Bishoujo Hanafuda Club Vol.2 - Koikoi Bakappana Hen (Japan) (Unl)                            ✗      ✓     ✓
Bishoujo Kachinuki Renju - Gomoku Narabe (Japan) (Unl)                                       ✗      ✓     ✓
Bishoujo Mahjong Club (Japan) (Unl)                                                          ✗      ✓     ✓
Bishoujo Sexy Puzzle (Japan) (Unl)                                                           ✗      ✓     ✓
Bishoujo Shashinkan - Moving School (Japan) (Unl)                                            ✗      ✓     ✓
Bishoujo Shashinkan - Studio Cut (Japan) (Unl)                                               ✗      ✓     ✓
Bodycon Quest I - Abakareshi Musume Tachi (Japan) (Disk 2) (Unl)                             ✗      ✗     ✗
Bomber Man (Japan) (Disk Writer) [b]                                                         ✗      ✗     ✗
Breeder (Japan) [b]                                                                          ✗      ✗     ✗
Bubble Bobble (Japan) [b]                                                                    ✗      ✗     ✗
BurgerTime (Japan) (Disk Writer) [b]                                                         ✗      ✗     ✗
Casino de Pink (Japan) (Unl) [b]                                                             ✗      ✗     ✗
Cleopatra no Mahou (Japan) [b]                                                               ✗      ✗     ✗
Clu Clu Land (Japan) (Disk Writer) [b]                                                       ✗      ✗     ✗
Dandy - Zeuon no Fukkatsu (Japan) [b]                                                        ✗      ✗     ✗
Dead Zone (Japan)                                                                            ✓      ✗     ✗
Dead Zone (Japan) (Beta)                                                                     ✗      ✗     ✗
Dig Dug (Japan) (Disk Writer) [b]                                                            ✗      ✗     ✗
Dig Dug II (Japan) (Disk Writer) [b]                                                         ✗      ✗     ✗
Disk Hacker - Version 1.0 (Japan) (Unl)                                                      ✗      ✓     ✓
Disk Hacker - Version 1.2 (Japan) (Unl)                                                      ✗      ✓     ✓
Disk Hacker - Version 1.3 (Japan) (Unl)                                                      ✗      ✓     ✓
Disk Hacker II - Copy Plus 3 (Japan) (Unl)                                                   ✗      ✓     ✓
Disk Keeper (Japan) (Unl)                                                                    ✗      ✓     ✓
Donkey Kong (Japan) (Disk Writer)                                                            ✗      ✓     ✓
Donkey Kong Jr. (Japan) (Disk Writer)                                                        ✗      ✓     ✓
Doremikko (Japan) [b]                                                                        ✗      ✗     ✗
Dr. Chaos - Jigoku no Tobira (Japan)                                                         ✗      ✗     ✗
Dracula II - Noroi no Fuuin (Japan)                                                          ✗      ✓     ✓
Druid - Kyoufu no Tobira (Japan)                                                             ✗      ✓     ✓
Egger Land - Souzou e no Tabidachi (Japan) (Disk Writer) [b]                                 ✗      ✗     ✗
Electrician (Japan)                                                                          ✗      ✓     ✓
Emi-chan no Moero Yakyuuken! (Japan) (Unl)                                                   ✗      ✓     ✓
Exciting Basket (Japan)                                                                      ✗      ✓     ✓
Fairy Pinball - Yousei Tachi no Pinball (Japan) (Alt 1) (Unl)                                ✗      ✗     ✗
Fairytale (Japan) [b]                                                                        ✗      ✗     ✗
Famicom Grand Prix - F1 Race (Japan)                                                         ✗      ✗     ✗
Famicom Grand Prix II - 3D Hot Rally (Japan)                                                 ✗      ✓     ✓
Famicom Grand Prix II - 3D Hot Rally (Japan) (Alt 1)                                         ✗      ✗     ✗
Famicom Mukashibanashi - Shin Onigashima - Kouhen (Japan)                                    ✗      ✗     ✗
Famicom Mukashibanashi - Shin Onigashima - Zenpen (Japan) [b]                                ✗      ✗     ✗
Famicom Mukashibanashi - Yuuyuuki - Kouhen (Japan)                                           ✗      ✗     ✗
Famicom Mukashibanashi - Yuuyuuki - Zenpen (Japan)                                           ✗      ✗     ✗
Famicom Tantei Club - Kieta Koukeisha - Kouhen (Japan)                                       ✗      ✗     ✗
Famicom Tantei Club - Kieta Koukeisha - Zenpen (Japan)                                       ✗      ✗     ✗
Famicom Tantei Club Part II - Ushiro ni Tatsu Shoujo - Kouhen (Japan) [b]                    ✗      ✗     ✗
Famicom Tantei Club Part II - Ushiro ni Tatsu Shoujo - Zenpen (Japan) [b]                    ✗      ✗     ✗
Family Composer (Japan) [b]                                                                  ✗      ✗     ✗
Famimaga Disk Vol. 1 - Hong Kong (Japan) [b]                                                 ✗      ✗     ✗
Famimaga Disk Vol. 2 - Panic Space (Japan) (Disk Writer) [b]                                 ✗      ✗     ✗
Famimaga Disk Vol. 3 - All 1 (Japan) (Disk Writer) [b]                                       ✗      ✗     ✗
Famimaga Disk Vol. 4 - Clox (Japan) (Disk Writer) [b]                                        ✗      ✗     ✗
Famimaga Disk Vol. 5 - Puyo Puyo (Japan) (Disk Writer) [b]                                   ✗      ✗     ✗
Famimaga Disk Vol. 6 - Janken Disk Jou (Japan) (Disk Writer) [b]                             ✗      ✗     ✗
Final Commando - Akai Yousai (Japan)                                                         ✗      ✓     ✓
Fire Bam (Japan)                                                                             ✗      ✗     ✗
Fire Rock (Japan)                                                                            ✗      ✓     ✓
FMC Disk Card Checker Ver 1.3 (Japan) (Rev 2) (Developer Card)                               ✗      ✓     ✓
Fruits Mahjong 1 - Disk 1 - Mahjong Game Hontai (Japan) (Unl)                                ✗      ✓     ✓
Fruits Mahjong 1 - Disk 2 - Dai H Taikai (Japan) (Unl)                                       ✗      ✗     ✗
Fruits Mahjong 2 - Disk 1 - Tokimeki Gals (Japan) (Unl)                                      ✗      ✓     ✓
Fruits Mahjong 2 - Disk 2 - Yonin to Dai H Taikai (Japan) (Unl)                              ✗      ✓     ✓
