Nintendo - Game Boy Advance Missing

Boxarts  2014/3330  60.48%
Snaps    3226/3330  96.88%
Titles   3217/3330  96.61%
Total    8457/9990  84.65%

Name                                                                                                                                                   Boxart  Snap  Title
007 - Everything or Nothing (Japan)                                                                                                                       ✗      -     -
007 - Everything or Nothing (USA, Europe) (En,Fr,De)                                                                                                      -      -     -
007 - NightFire (USA, Europe) (En,Fr,De)                                                                                                                  -      -     -
2 Disney Games - Disney Sports - Football + Disney Sports - Skateboarding (Europe) (En,Fr,De,Es,It)                                                       ✗      -     -
2 Disney Games - Lilo _ Stitch 2 + Peter Pan - Return to Neverland (Europe) (En,Fr,De,Es+En,Fr,De,Es,It,Nl)                                               ✗      -     -
2 Game Pack! - Hot Wheels - Stunt Track Challenge + Hot Wheels - World Race (USA, Europe)                                                                 ✗      -     -
2 Game Pack! - Matchbox Missions - Emergency Response + Air, Land and Sea Rescue (USA)                                                                    ✗      -     -
2 Game Pack! - Matchbox Missions - Emergency Response _ Air, Land and Sea Rescue (Europe) (En,Fr,De,Es,It)                                                ✗      -     -
2 Game Pack! - Uno + Skip-Bo (USA)                                                                                                                        -      -     -
2 Game Pack! - Uno _ Skip-Bo (Europe) (En,Fr,De,Es,It)                                                                                                    -      -     -
2 Games in 1 - Alla Ricerca di Nemo + Gli Incredibili - Una 'Normale' Famiglia di Supereroi (Italy) (Es,It+It)                                            ✗      -     -
2 Games in 1 - Bionicle + Knights' Kingdom (Europe) (En,Fr,De,Da+En,De)                                                                                   ✗      -     -
2 Games in 1 - Brother Bear + The Lion King (Europe) (En,Fr,De,Es,It,Nl,Sv,Da)                                                                            ✗      -     -
2 Games in 1 - Buscando a Nemo + Los Increibles (Spain) (Es,It+Es)                                                                                        ✗      -     -
2 Games in 1 - Cartoon Network Block Party + Cartoon Network Speedway (USA)                                                                               ✗      -     -
2 Games in 1 - Columns Crown + ChuChu Rocket! (Europe) (En+En,Ja,Fr,De,Es)                                                                                ✗      -     -
