Nintendo - Game Boy Missing

Boxarts  1061/1611  65.86%
Snaps    1566/1611  97.21%
Titles   1565/1611  97.14%
Total    4192/4833  86.74%

Name                                                                                            Boxart  Snap  Title
3 Choume no Tama - Tama and Friends - 3 Choume Obake Panic!! (Japan)                               ✗      ✓     ✓
3-pun Yosou - Umaban Club (Japan)                                                                  ✗      ✓     ✓
4 in 1 (Europe) (4B-001, Sachen-Commin) (Unl)                                                      ✗      ✗     ✗
4 in 1 (Europe) (4B-002, Sachen) (Unl)                                                             ✗      ✓     ✓
4 in 1 (Europe) (4B-004, Sachen-Commin) (Unl)                                                      ✗      ✗     ✗
4 in 1 (Europe) (4B-005, Sachen-Commin) (Unl)                                                      ✗      ✗     ✗
4 in 1 (Europe) (4B-006, Sachen) (Unl)                                                             ✗      ✗     ✗
4 in 1 (Europe) (4B-007, Sachen) (Unl)                                                             ✗      ✗     ✗
4 in 1 (Europe) (4B-008, Sachen) (Unl)                                                             ✗      ✗     ✗
4 in 1 (Europe) (4B-009, Sachen) (Unl)                                                             ✗      ✗     ✗
4 in 1 (Taiwan) (En,Zh) (4B-003, Sachen-Commin) (Unl)                                              ✗      ✗     ✗
4-in-1 Fun Pak (Japan)                                                                             ✓      ✓     ✓
4-in-1 Fun Pak (USA, Europe)                                                                       ✓      ✓     ✓
4-in-1 Fun Pak Volume II (USA, Europe)                                                             ✓      ✓     ✓
A-mazing Tater (USA)                                                                               ✓      ✓     ✓
Aa Harimanada (Japan)                                                                              ✗      ✓     ✓
Addams Family, The - Pugsley's Scavenger Hunt (USA, Europe)                                        ✓      ✓     ✓
Addams Family, The (Europe) (En,Fr,De)                                                             ✓      ✓     ✓
Addams Family, The (Japan)                                                                         ✓      ✓     ✓
Addams Family, The (USA)                                                                           ✓      ✓     ✓
Adventure Island (USA, Europe)                                                                     ✓      ✓     ✓
Adventure Island II - Aliens in Paradise (USA, Europe)                                             ✓      ✓     ✓
Adventures of Lolo (Europe) (SGB Enhanced)                                                         ✓      ✓     ✓
Adventures of Pinocchio, The (Unknown) (Proto)                                                     ✗      ✓     ✓
Adventures of Rocky and Bullwinkle and Friends, The (USA)                                          ✓      ✓     ✓
Adventures of Star Saver, The (USA, Europe)                                                        ✓      ✓     ✓
Aero Star (Japan)                                                                                  ✓      ✓     ✓
Aerostar (USA, Europe)                                                                             ✓      ✓     ✓
After Burst (Japan)                                                                                ✗      ✓     ✓
Agro Soar (Australia)                                                                              ✓      ✓     ✓
Akazukin Chacha (Japan) (SGB Enhanced)                                                             ✗      ✓     ✓
Akumajou Dracula - Shikkoku Taru Zensoukyoku - Dark Night Prelude (Japan) (SGB Enhanced)           ✓      ✓     ✓
Akumajou Special - Boku Dracula-kun (Japan)                                                        ✓      ✓     ✓
Aladdin (Europe) (SGB Enhanced)                                                                    ✓      ✓     ✓
Aladdin (USA) (SGB Enhanced)                                                                       ✓      ✓     ✓
Alfred Chicken (Europe)                                                                            ✓      ✓     ✓
Alfred Chicken (Japan) (SGB Enhanced)                                                              ✓      ✓     ✓
Alfred Chicken (USA)                                                                               ✓      ✓     ✓
Alien 3 (Japan)                                                                                    ✓      ✓     ✓
Alien 3 (USA, Europe)                                                                              ✓      ✓     ✓
Alien Olympics (Europe)                                                                            ✓      ✓     ✓
Alien vs Predator - The Last of His Clan (USA)                                                     ✓      ✓     ✓
Alien vs Predator (Japan)                                                                          ✓      ✓     ✓
All-Star Baseball 99 (USA)                                                                         ✗      ✓     ✓
Alleyway (World)                                                                                   ✓      ✓     ✓
Altered Space - A 3-D Alien Adventure (Europe)                                                     ✓      ✓     ✓
Altered Space - A 3-D Alien Adventure (Japan)                                                      ✓      ✓     ✓
Altered Space - A 3-D Alien Adventure (USA)                                                        ✓      ✓     ✓
Amazing Penguin (USA, Europe)                                                                      ✓      ✓     ✓
Amazing Spider-Man, The (USA, Europe)                                                              ✓      ✓     ✓
America Oudan Ultra Quiz (Japan)                                                                   ✗      ✓     ✓
America Oudan Ultra Quiz Part 2 (Japan)                                                            ✗      ✓     ✓
America Oudan Ultra Quiz Part 3 - Champion Taikai (Japan)                                          ✗      ✓     ✓
America Oudan Ultra Quiz Part 4 (Japan)                                                            ✗      ✓     ✓
Amida (Japan)                                                                                      ✗      ✓     ✓
Animal Breeder (Japan) (SGB Enhanced)                                                              ✗      ✓     ✓
Animal Breeder 2 (Japan) (SGB Enhanced)                                                            ✗      ✓     ✓
Animaniacs (Europe) (SGB Enhanced)                                                                 ✓      ✓     ✓
Animaniacs (USA) (SGB Enhanced)                                                                    ✓      ✓     ✓
Another Bible (Japan) (SGB Enhanced)                                                               ✗      ✓     ✓
Aoki Densetsu Shoot! (Japan) (SGB Enhanced)                                                        ✗      ✓     ✓
Arcade Classic No. 1 - Asteroids _ Missile Command (USA, Europe) (SGB Enhanced)                    ✓      ✓     ✓
Arcade Classic No. 2 - Centipede _ Millipede (USA, Europe) (SGB Enhanced)                          ✓      ✓     ✓
Arcade Classic No. 3 - Galaga _ Galaxian (Europe) (SGB Enhanced)                                   ✓      ✓     ✓
Arcade Classic No. 3 - Galaga _ Galaxian (USA) (SGB Enhanced)                                      ✓      ✓     ✓
Arcade Classic No. 4 - Defender _ Joust (USA, Europe) (SGB Enhanced)                               ✓      ✓     ✓
Arcade Classics - Battlezone _ Super Breakout (USA, Europe) (SGB Enhanced)                         ✓      ✓     ✓
Aretha (Japan)                                                                                     ✗      ✓     ✓
Aretha II (Japan)                                                                                  ✗      ✓     ✓
Aretha III (Japan)                                                                                 ✗      ✓     ✓
Asmik-kun World 2 (Japan)                                                                          ✗      ✓     ✓
Asterix _ Obelix (Europe) (En,Es) (SGB Enhanced)                                                   ✓      ✓     ✓
Asterix _ Obelix (Europe) (Fr,De) (SGB Enhanced)                                                   ✓      ✓     ✓
Asterix (Europe) (En,Fr,De,Es,It)                                                                  ✓      ✓     ✓
Asteroids (USA, Europe)                                                                            ✓      ✓     ✓
Astro Rabby (Japan)                                                                                ✗      ✓     ✓
Atomic Punk (USA)                                                                                  ✓      ✓     ✓
Attack of the Killer Tomatoes (Japan)                                                              ✓      ✓     ✓
Attack of the Killer Tomatoes (USA, Europe)                                                        ✓      ✓     ✓
Avenging Spirit (USA, Europe)                                                                      ✓      ✓     ✓
Ayakashi no Shiro (Japan)                                                                          ✗      ✓     ✓
B.C. Kid (Europe)                                                                                  ✓      ✓     ✓
B.C. Kid 2 (Europe) (SGB Enhanced)                                                                 ✓      ✓     ✓
Baby T-Rex (Europe)                                                                                ✓      ✓     ✓
Bakenou TV '94 (Japan) (SGB Enhanced)                                                              ✗      ✓     ✓
Bakenou V3 (Japan)                                                                                 ✗      ✓     ✓
Bakuchou Retrieve Master (Japan) (SGB Enhanced)                                                    ✗      ✓     ✓
Bakuchou Retsuden Shou - Hyper Fishing (Japan) (SGB Enhanced)                                      ✗      ✓     ✓
Bakuretsu Senshi Warrior (Japan)                                                                   ✓      ✓     ✓
Balloon Kid (USA, Europe)                                                                          ✓      ✓     ✓
Bamse (Sweden)                                                                                     ✓      ✓     ✓
Banishing Racer (Japan)                                                                            ✗      ✓     ✓
Barbie - Game Girl (USA, Europe)                                                                   ✓      ✓     ✓
Bart no Survival Camp (Japan)                                                                      ✓      ✓     ✓
Bart Simpson's Escape from Camp Deadly (USA, Europe)                                               ✓      ✓     ✓
Baseball (World)                                                                                   ✓      ✓     ✓
Baseball Kids (Japan)                                                                              ✓      ✓     ✓
Bases Loaded for Game Boy (USA)                                                                    ✓      ✓     ✓
Bass Fishing Tatsujin Techou (Japan)                                                               ✗      ✓     ✓
Bataille Navale (France) (En,Fr,De,Es)                                                             ✓      ✓     ✓
Batman - Return of the Joker (Japan)                                                               ✓      ✓     ✓
Batman - Return of the Joker (USA, Europe)                                                         ✓      ✓     ✓
Batman - The Animated Series (USA, Europe)                                                         ✓      ✓     ✓
Batman - The Video Game (World)                                                                    ✓      ✓     ✓
Batman Forever (Japan)                                                                             ✓      ✓     ✓
Batman Forever (USA, Europe)                                                                       ✓      ✓     ✓
Battle Arena Toshinden (Europe) (SGB Enhanced)                                                     ✓      ✓     ✓
Battle Arena Toshinden (USA) (SGB Enhanced)                                                        ✓      ✓     ✓
Battle Bull (Japan)                                                                                ✓      ✓     ✓
Battle Bull (USA)                                                                                  ✓      ✓     ✓
Battle Crusher (Japan) (SGB Enhanced)                                                              ✗      ✓     ✓
Battle Dodge Ball (Japan)                                                                          ✗      ✓     ✓
Battle of Kingdom (Japan)                                                                          ✗      ✓     ✓
Battle of Olympus, The (Europe) (En,Fr,De,Es,It)                                                   ✓      ✓     ✓
Battle Pingpong (Japan)                                                                            ✗      ✓     ✓
Battle Space (Japan)                                                                               ✗      ✓     ✓
Battle Unit Zeoth (Japan)                                                                          ✓      ✓     ✓
Battle Unit Zeoth (USA, Europe)                                                                    ✓      ✓     ✓
BattleCity (Japan)                                                                                 ✗      ✓     ✓
