Nintendo - GameCube Missing

Boxarts  116/2761  4.20%
Snaps      1/2761  0.04%
Titles     3/2761  0.11%
Total    120/8283  1.45%

Name                                                                                                                                            Boxart  Snap  Title
007 - Agent im Kreuzfeuer (Germany)                                                                                                                ✗      ✗     ✗
007 - Agent Under Fire (Europe)                                                                                                                    ✗      ✗     ✗
007 - Agent Under Fire (USA) (v1.00)                                                                                                               ✗      ✗     ✗
007 - Agent Under Fire (USA) (v1.01)                                                                                                               ✗      ✗     ✗
007 - Alles oder Nichts (Germany)                                                                                                                  ✗      ✗     ✗
007 - Bons Baisers de Russie (France)                                                                                                              ✗      ✗     ✗
007 - Espion pour Cible (France)                                                                                                                   ✗      ✗     ✗
007 - Everything or Nothing (Europe) (En,It,Nl,Sv)                                                                                                 ✗      ✗     ✗
007 - Everything or Nothing (Japan)                                                                                                                ✗      ✗     ✗
007 - Everything or Nothing (USA)                                                                                                                  ✗      ✗     ✗
007 - From Russia with Love (Europe)                                                                                                               ✗      ✗     ✗
007 - From Russia with Love (USA)                                                                                                                  ✗      ✗     ✗
007 - Liebesgruesse aus Moskau (Germany)                                                                                                           ✗      ✗     ✗
007 - Nightfire (Europe) (En,It,Nl,Sv)                                                                                                             ✗      ✗     ✗
007 - Nightfire (France)                                                                                                                           ✗      ✗     ✗
007 - Nightfire (Germany)                                                                                                                          ✗      ✗     ✗
007 - Nightfire (Spain)                                                                                                                            ✗      ✗     ✗
007 - Nightfire (USA)                                                                                                                              ✗      ✗     ✗
007 - Quitte ou Double (France)                                                                                                                    ✗      ✗     ✗
007 - Todo o Nada (Spain)                                                                                                                          ✗      ✗     ✗
007_ Everything or Nothing (USA)                                                                                                                   ✗      ✗     ✗
007_ From Russia With Love (USA)                                                                                                                   ✗      ✗     ✗
007_ NightFire (USA)                                                                                                                               ✗      ✗     ✗
1080 Avalanche (Europe) (En,Fr,De,Es,It)                                                                                                           ✗      ✗     ✗
1080 Avalanche (USA)                                                                                                                                      ✗     ✗
1080 Silver Storm (Japan)                                                                                                                          ✗      ✗     ✗
1080° Avalanche (Europe)                                                                                                                           ✗      ✗     ✗
1080° Avalanche (USA)                                                                                                                              ✗      ✗     ✗
1080° Silver Storm (Japan)                                                                                                                         ✗      ✗     ✗
