Nintendo - Nintendo 3DS Missing

Boxarts  180/2076  8.67%
Snaps    111/2076  5.35%
Titles   105/2076  5.06%
Total    396/6228  6.36%

Name                                                                                                                                                        Boxart  Snap  Title
100% Pascal Sensei - Kanpeki Paint Bombers (Japan)                                                                                                             ✗      ✗     ✗
12-Sai. Honto no Kimochi (Japan)                                                                                                                               ✗      ✗     ✗
12-Sai. Koisuru Diary (Japan)                                                                                                                                  ✗      ✗     ✗
12-Sai. Torokeru Puzzle Futari no Harmony (Japan)                                                                                                              ✗      ✗     ✗
2in1 - Life with Horses 3D + My Baby Pet Hotel 3D (Europe) (En,Fr,De,Es,It,Nl)                                                                                 ✗      ✗     ✗
2in1 - My Vet Practice 3D - In the Country + My Baby Pet Hotel 3D (Europe) (En,Fr,De,Es,It,Nl)                                                                 ✗      ✗     ✗
2in1 Horses 3D - My Foal 3D + My Riding Stables 3D - Rivals in the Saddle (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da)                                                ✗      ✗     ✗
2in1 Horses 3D Vol.2 - Rivals in the Saddle and Jumping for the Team 3D (Europe) (En,Fr,De,Es,It)                                                              ✗      ✗     ✗
2in1 Horses 3D Vol.3 - My Riding Stables 3D - Jumping for the Team and My Western Horse 3D (Europe) (En,Fr,De,It,Nl)                                           ✗      ✗     ✗
35 Classic Games (Europe) (En,Fr,Es,It)                                                                                                                        ✗      ✗     ✗
3D Game Collection - 55-en-1 (France)                                                                                                                          ✗      ✗     ✗
3D Game Collection - 55-in-1 (Europe)                                                                                                                          ✗      ✗     ✗
3D Game Collection - 55-in-1 (Germany) (Fr,De)                                                                                                                 ✗      ✗     ✗
3D MahJongg (Europe) (En,Fr,De,Nl)                                                                                                                             ✗      ✗     ✗
3in1 Horses - My Riding Stables 3D - Jumping for the Team + Riding Star 3D + My Western Horse 3D (Europe) (En,Fr,De,Es,It,Nl)                                  ✗      ✗     ✗
4 Elements (Europe) (En,Fr,De,Nl)                                                                                                                              ✗      ✗     ✗
50 Classic Games (Europe) (En,Fr,Es,It)                                                                                                                        ✗      ✗     ✗
50 Classic Games 3D (Europe) (En,Fr,De,Es,It,Nl)                                                                                                               ✗      ✗     ✗
50 Classic Games 3D (USA) (En,Fr,Es)                                                                                                                           ✗      ✗     ✗
7th Dragon III Code - VFD (Europe)                                                                                                                             -      ✗     ✗
7th Dragon III Code - VFD (Japan)                                                                                                                              -      ✗     ✗
7th Dragon III Code - VFD (USA)                                                                                                                                -      -     -
A-Ressha de Ikou 3D (Japan)                                                                                                                                    ✗      ✗     ✗
A-Ressha de Ikou 3D NEO (Japan)                                                                                                                                ✗      ✗     ✗
AKB48+Me (Japan)                                                                                                                                               ✗      ✗     ✗
AR Games (Europe) (En,Fr,De,Es,It) (Demo) (Kiosk)                                                                                                              ✗      ✗     ✗
Ace Combat - Assault Horizon Legacy (Europe) (En,Fr,De,Es,It)                                                                                                  ✗      ✗     ✗
Ace Combat - Assault Horizon Legacy (USA) (En,Fr,Es)                                                                                                           ✗      ✗     ✗
Ace Combat - Assault Horizon Legacy+ (Europe) (En,Fr,De,Es,It)                                                                                                 ✗      ✗     ✗
Ace Combat - Assault Horizon Legacy+ (USA) (En,Fr,Es)                                                                                                          -      ✗     ✗
Ace Combat 3D - Cross Rumble (Japan)                                                                                                                           ✗      ✗     ✗
Ace Combat 3D - Cross Rumble+ (Japan)                                                                                                                          ✗      ✗     ✗
Acrylic Palette - Irodori Cafe - Cheers (Japan)                                                                                                                ✗      ✗     ✗
Adventure Time - Explore the Dungeon because I DON'T KNOW! (Europe) (En,Fr,De,Es,It)                                                                           ✗      ✗     ✗
Adventure Time - Explore the Dungeon because I DON'T KNOW! (USA)                                                                                               ✗      ✗     ✗
Adventure Time - Finn _ Jake Investigations (Europe) (En,Fr,De,Es,It)                                                                                          ✗      ✗     ✗
Adventure Time - Finn _ Jake Investigations (USA)                                                                                                              ✗      ✗     ✗
Adventure Time - Hey Ice King! Why'd You Steal Our Garbage!! (USA)                                                                                             -      ✗     ✗
Adventure Time - Hey Ice King! Why'd You Steal Our Garbage!! (USA) (Rev 1)                                                                                     ✗      ✗     ✗
Adventure Time - Nameless Oukoku no Sannin no Princess (Japan)                                                                                                 ✗      ✗     ✗
Adventure Time - The Secret of the Nameless Kingdom (Europe)                                                                                                   ✗      ✗     ✗
Adventure Time - The Secret of the Nameless Kingdom (USA)                                                                                                      ✗      ✗     ✗
Adventures of Tintin, The - The Game (USA) (En,Fr,Es,Pt)                                                                                                       ✗      ✗     ✗
Adventures of Tintin, The - The Secret of the Unicorn (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi,Ca)                                                              ✗      ✗     ✗
Aikatsu Stars! My Special Appeal (Japan)                                                                                                                       ✗      ✗     ✗
Aikatsu! 2-ri no My Princess (Japan)                                                                                                                           ✗      ✗     ✗
Aikatsu! 365-nichi no Idol Days (Japan)                                                                                                                        -      -     -
Aikatsu! Cinderella Lesson (Japan)                                                                                                                             ✗      ✗     ✗
Aikatsu! My No.1 Stage! (Japan)                                                                                                                                ✗      ✗     ✗
Alien Chaos 3D (USA)                                                                                                                                           ✗      ✗     ✗
All Kamen Rider - Rider Revolution (Japan)                                                                                                                     ✗      ✗     ✗
Alliance Alive, The (Japan)                                                                                                                                    ✗      ✗     ✗
Alliance Alive, The (USA)                                                                                                                                      -      ✗     ✗
Amazing Spider-Man 2, The (Europe) (En,Fr,De,Es,It)                                                                                                            ✗      ✗     ✗
Amazing Spider-Man 2, The (USA)                                                                                                                                ✗      ✗     ✗
Amazing Spider-Man, The (Europe) (En,Es,It)                                                                                                                    ✗      ✗     ✗
Amazing Spider-Man, The (Europe) (Fr,De)                                                                                                                       ✗      ✗     ✗
Amazing Spider-Man, The (USA) (En,Fr,Es)                                                                                                                       ✗      ✗     ✗
American Mensa Academy (USA)                                                                                                                                   ✗      ✗     ✗
Andro Dunos 2 (Europe)                                                                                                                                         ✗      ✗     ✗
Andro Dunos 2 (USA)                                                                                                                                            ✗      ✗     ✗
Angler's Club - Ultimate Bass Fishing 3D (Europe) (En,Fr,Es)                                                                                                   ✗      ✗     ✗
Angry Birds Star Wars (Europe) (En,Fr,De,Es,It)                                                                                                                ✗      ✗     ✗
Angry Birds Star Wars (USA) (En,Fr,Es,Pt)                                                                                                                      ✗      ✗     ✗
Angry Birds Trilogy (Europe) (En,Fr,De,Es,It)                                                                                                                  ✗      ✗     ✗
Angry Birds Trilogy (Europe) (En,Fr,De,Es,It) (Rev 1)                                                                                                          ✗      ✗     ✗
Angry Birds Trilogy (USA) (En,Fr)                                                                                                                              ✗      ✗     ✗
Animal Crossing - Happy Home Designer (Europe) (En,Fr,De,Es,It)                                                                                                ✗      ✗     ✗
Animal Crossing - Happy Home Designer (USA) (En,Fr,Es)                                                                                                         ✗      ✗     ✗
Animal Crossing - Happy Home Designer (USA) (En,Fr,Es) (Rev 1)                                                                                                 ✗      ✗     ✗
Animal Crossing - New Leaf (Europe) (En,Fr,De,Es,It)                                                                                                           ✗      ✗     ✗
Animal Crossing - New Leaf (USA) (En,Fr,Es)                                                                                                                    -      ✗     ✗
Animal Crossing - New Leaf - Welcome Amiibo (Europe) (En,Fr,De,Es,It)                                                                                          ✗      ✗     ✗
Animal Crossing - New Leaf - Welcome Amiibo (USA)                                                                                                              ✗      ✗     ✗
Animal Hospital (Europe) (En,Fr,De,Es,It,Nl)                                                                                                                   ✗      ✗     ✗
Animal Resort - Dobutsuen o Tsukurou!! (Japan)                                                                                                                 ✗      ✗     ✗
Anpanman to Asobo - New Aiueo Kyoushitsu (Japan)                                                                                                               ✗      ✗     ✗
Anpanman to Touch de Waku Waku Training (Japan)                                                                                                                ✗      ✗     ✗
Ansatsu Kyoushitsu - Assassin Ikusei Keikaku!! (Japan)                                                                                                         ✗      ✗     ✗
Ansatsu Kyoushitsu - Koro-sensei Daihouimou!! (Japan)                                                                                                          -      -     -
Arcade Classics 3D (Europe) (En,Fr,De,Es,It,Nl)                                                                                                                ✗      ✗     ✗
Are You Smarter than a 5th Grader (USA)                                                                                                                        ✗      ✗     ✗
Armed Blue Gunvolt - Striker Pack (Japan)                                                                                                                      ✗      ✗     ✗
Around the World with Hello Kitty _ Friends (Europe) (En,Fr,De,Es,It)                                                                                          ✗      ✗     ✗
Around the World with Hello Kitty _ Friends (Europe) (En,Sv,No,Da,Fi)                                                                                          ✗      ✗     ✗
Art Academy - Lessons for Everyone (USA) (En,Fr,Es)                                                                                                            -      ✗     ✗
Asonde Shogi ga Tsuyokunaru! Ginsei Shogi DX (Japan)                                                                                                           ✗      ✗     ✗
Asphalt 3D (Europe) (En,Fr,De,Es,It)                                                                                                                           -      ✗     ✗
Asphalt 3D (USA) (En,Fr,Es)                                                                                                                                    ✗      ✗     ✗
Asphalt 3D (USA) (En,Fr,Es) (Demo) (Kiosk)                                                                                                                     ✗      ✗     ✗
Asphalt 3D - Nitro Racing (Japan)                                                                                                                              ✗      ✗     ✗
Asterix - The Mansions of the Gods (Europe) (En,Fr,De,Es,It,Nl)                                                                                                ✗      ✗     ✗
Atelier Deco La Doll Collection (Japan)                                                                                                                        ✗      ✗     ✗
Atlantic Quest (Europe) (En,Fr,De,Es,It,Nl)                                                                                                                    ✗      ✗     ✗
Atooi Collection (USA)                                                                                                                                         ✗      ✗     ✗
Azada (Europe) (En,Fr,De,Nl)                                                                                                                                   ✗      ✗     ✗
Azito 3D (Japan)                                                                                                                                               ✗      ✗     ✗
Azure Striker Gunvolt - Striker Pack (USA)                                                                                                                     -      ✗     ✗
Bandai Namco Games Presents J Legend Retsuden (Japan)                                                                                                          ✗      ✗     ✗
Barbie - Fun _ Fashion Dogs (Europe) (En,Fr,De,Es,It,Nl)                                                                                                       ✗      ✗     ✗
