Nintendo - Nintendo 64

Name                                                                                 Boxart  Snap  Title
1080 Snowboarding (E) (M4) [!]                                                            ✗     ✗      ✗
1080 Snowboarding (E) (M4) [b1]                                                           ✗     ✗      ✗
1080 Snowboarding (E) (M4) [b1][f2] (NTSC)                                                ✗     ✗      ✗
1080 Snowboarding (E) (M4) [f1]                                                           ✗     ✗      ✗
1080 Snowboarding (E) (M4) [f2] (NTSC)                                                    ✗     ✗      ✗
1080 Snowboarding (JU) (M2) [!]                                                           ✗     ✗      ✗
1080 Snowboarding (JU) (M2) [b1]                                                          ✗     ✗      ✗
1080 Snowboarding (JU) (M2) [b2]                                                          ✗     ✗      ✗
1080 Snowboarding (JU) (M2) [b3]                                                          ✗     ✗      ✗
1080 Snowboarding (JU) (M2) [b4]                                                          ✗     ✗      ✗
1080 Snowboarding (JU) (M2) [b5]                                                          ✗     ✗      ✗
1080 Snowboarding (JU) (M2) [b6]                                                          ✗     ✗      ✗
1080 Snowboarding (JU) (M2) [b7]                                                          ✗     ✗      ✗
1080 Snowboarding (JU) (M2) [b8]                                                          ✗     ✗      ✗
1080 Snowboarding (JU) (M2) [b9]                                                          ✗     ✗      ✗
1080 Snowboarding (JU) (M2) [ba]                                                          ✗     ✗      ✗
1080 Snowboarding (JU) (M2) [f1] (DS-1)                                                   ✗     ✗      ✗
1080 Snowboarding (JU) (M2) [f2] (PAL)                                                    ✗     ✗      ✗
1080 Snowboarding (JU) (M2) [f2][b1]                                                      ✗     ✗      ✗
1080 Snowboarding (JU) (M2) [f3][t1]                                                      ✗     ✗      ✗
1080 Snowboarding (JU) (M2) [f3][t2] (All Levels)                                         ✗     ✗      ✗
1080 Snowboarding (JU) (M2) [f4] (PAL-Z64)                                                ✗     ✗      ✗
1080 Snowboarding (JU) (M2) [f5] (SRAM)                                                   ✗     ✗      ✗
1080 Snowboarding (JU) (M2) [h1C]                                                         ✗     ✗      ✗
1080 Snowboarding (JU) (M2) [h2C]                                                         ✗     ✗      ✗
64 de Hakken!! Tamagotchi Minna de Tamagotchi World (J) [!]                               ✗     ✗      ✗
64 de Hakken!! Tamagotchi Minna de Tamagotchi World (J) [b1]                              ✗     ✗      ✗
64 de Hakken!! Tamagotchi Minna de Tamagotchi World (J) [h1C]                             ✗     ✗      ✗
64 de Hakken!! Tamagotchi Minna de Tamagotchi World (J) [h2C]                             ✗     ✗      ✗
64 de Hakken!! Tamagotchi Minna de Tamagotchi World (J) [o1]                              ✗     ✗      ✗
64 Hanafuda - Tenshi no Yakusoku (J) [!]                                                  ✗     ✗      ✗
64 Oozumou (J) [!]                                                                        ✗     ✗      ✗
64 Oozumou (J) [b1]                                                                       ✗     ✗      ✗
64 Oozumou (J) [b2]                                                                       ✗     ✗      ✗
64 Oozumou (J) [b3]                                                                       ✗     ✗      ✗
64 Oozumou 2 (J) [!]                                                                      ✗     ✗      ✗
64 Trump Collection - Alice no Wakuwaku Trump World (J) [!]                               ✗     ✗      ✗
64 Trump Collection - Alice no Wakuwaku Trump World (J) [h1C]                             ✗     ✗      ✗
Action Replay Pro 64 V3.0 (Unl) [b1]                                                      ✗     ✗      ✗
Action Replay Pro 64 V3.0 (Unl) [f1]                                                      ✗     ✗      ✗
Action Replay Pro 64 V3.0 (Unl)                                                           ✗     ✗      ✗
Action Replay Pro 64 V3.3 (Unl)                                                           ✗     ✗      ✗
AeroFighters Assault (E) (M3) [!]                                                         ✗     ✗      ✗
AeroFighters Assault (E) (M3) [f1] (NTSC)                                                 ✗     ✗      ✗
AeroFighters Assault (E) (M3) [o1]                                                        ✗     ✗      ✗
AeroFighters Assault (U) [!]                                                              ✗     ✗      ✗
AeroFighters Assault (U) [b1]                                                             ✗     ✗      ✗
AeroFighters Assault (U) [b2]                                                             ✗     ✗      ✗
AeroFighters Assault (U) [b3]                                                             ✗     ✗      ✗
AeroFighters Assault (U) [f1] (PAL)                                                       ✗     ✗      ✗
AeroFighters Assault (U) [h1C]                                                            ✗     ✗      ✗
AeroFighters Assault (U) [h2C]                                                            ✗     ✗      ✗
AeroFighters Assault (U) [h3C]                                                            ✗     ✗      ✗
Sonic Wings Assault (J) [!]                                                               ✗     ✗      ✗
AeroGauge (E) (M3) [!]                                                                    ✗     ✗      ✗
