Nintendo - Nintendo DS (Download Play) (BETA)

Name                                                                                                                                                                               Boxart  Snap  Title
100 Classic Book Collection - Romeo and Juliet (Europe) (Demo) (Multiboot, Nintendo Channel)                                                                                          ✗      ✗     ✗
42 All-Time Classics - Checkers (Europe) (Demo) (Multiboot, Download Station)                                                                                                         ✗      ✗     ✗
42 All-Time Classics - Checkers (Europe) (Demo) (Multiboot, Nintendo Channel)                                                                                                         ✗      ✗     ✗
42 All-Time Classics - Darts (Europe) (Demo) (Kiosk,Multiboot, Download Station)                                                                                                      ✗      ✗     ✗
42 All-Time Classics - Texas Hold'Em (Europe) (Demo) (Kiosk,Multiboot, Download Station)                                                                                              ✗      ✗     ✗
Ace Attorney Investigations - Miles Edgeworth (Europe) (Demo) (Multiboot, Nintendo Channel)                                                                                           ✗      ✗     ✗
Ace Attorney Investigations - Miles Edgeworth (USA) (Demo) (Multiboot,Nintendo Channel)                                                                                               ✗      ✗     ✗
Advance Wars - Days of Ruin - Video 1 (USA) (Demo) (Multiboot,Download Station)                                                                                                       ✗      ✗     ✗
Advance Wars - Days of Ruin - Video 2 (USA) (Demo) (Multiboot,Download Station)                                                                                                       ✗      ✗     ✗
Advance Wars - Dual Strike (USA) (Demo) (Kiosk,Multiboot,Download Station)                                                                                                            ✗      ✗     ✗
America's Test Kitchen - Let's Get Cooking - Featured Recipe - Chocolate Pots de Creme (USA) (Demo) (Multiboot,Nintendo Channel)                                                      ✗      ✗     ✗
America's Test Kitchen - Let's Get Cooking - Featured Recipe - Chocolate Pots de Creme (USA) (Demo) (Multiboot,Nintendo Channel) (Smaller)                                            ✗      ✗     ✗
America's Test Kitchen - Let's Get Cooking - Featured Recipe - Roasted Red Potatoes (USA) (Multiboot Demo) (DS Download Station)                                                      ✗      ✗     ✗
America's Test Kitchen - Let's Get Cooking - Featured Recipe - Roasted Red Potatoes (USA) (Demo) (Multiboot,Nintendo Channel)                                                         ✗      ✗     ✗
Apollo Justice - Ace Attorney (USA) (Demo) (Multiboot,Download Station)                                                                                                               ✗      ✗     ✗
Arkanoid DS (USA) (Demo) (Multiboot,Download Station)                                                                                                                                 ✗      ✗     ✗
Bakugan - Battle Brawlers (USA) (Multiboot Demo) (DS Download Station)                                                                                                                ✗      ✗     ✗
Bakugan - Battle Brawlers (USA) (Demo) (Multiboot,Nintendo Channel)                                                                                                                   ✗      ✗     ✗
Battle of Giants - Mutant Insects (USA) (Demo) (Multiboot,Nintendo Channel)                                                                                                           ✗      ✗     ✗
Battle of Giants - Mutant Insects (USA) (En,Fr,Es) (Demo) (Kiosk,Multiboot,Download Station)                                                                                          ✗      ✗     ✗
Bee Movie Game - Video (USA) (Demo) (Kiosk,Multiboot,Download Station)                                                                                                                ✗      ✗     ✗
Big Brain Academy (Europe) (Demo) (Multiboot,Nintendo Channel)                                                                                                                        ✗      ✗     ✗
Big Brain Academy (USA) (Multiboot Demo) (DS Download Station)                                                                                                                        ✗      ✗     ✗
Big Brain Academy (Europe) (Multiboot Demo) (DS Download Station)                                                                                                                     ✗      ✗     ✗
Big Brain Academy (Netherlands) (Multiboot Demo) (DS Download Station)                                                                                                                ✗      ✗     ✗
Big Brain Academy (Germany ) (Multiboot Demo) (DS Download Station)                                                                                                                   ✗      ✗     ✗
Big Brain Academy (Spain ) (Multiboot Demo) (DS Download Station)                                                                                                                     ✗      ✗     ✗
Big Brain Academy (Italy) (Multiboot Demo) (DS Download Station)                                                                                                                      ✗      ✗     ✗
Brain Age - Train Your Brain in Minutes a Day! (USA) (Demo) (Multiboot,Download Station Vol. 1)                                                                                       ✗      ✗     ✗
Brain Age - Train Your Brain in Minutes a Day! (USA) (Multiboot Demo)                                                                                                                 ✗      ✗     ✗
Brain Age - Train Your Brain in Minutes a Day! (USA) (Demo) (Multiboot,Nintendo Channel)                                                                                              ✗      ✗     ✗
Brain Age 2 - More Training in Minutes a Day! (USA) (Multiboot Demo) (DS Download Station)                                                                                            ✗      ✗     ✗
Brain Age 2 - More Training in Minutes a Day! (USA) (Demo) (Multiboot,Nintendo Channel)                                                                                               ✗      ✗     ✗
Cake Mania (USA) (Multiboot Demo) (DS Download Station)                                                                                                                               ✗      ✗     ✗
Cake Mania 2 (USA) (Multiboot Demo) (DS Download Station)                                                                                                                             ✗      ✗     ✗
Carnival Games (USA) (Multiboot Demo) (DS Download Station)                                                                                                                           ✗      ✗     ✗
Cars - Race-O-Rama (USA) (Demo) (Multiboot,Nintendo Channel)                                                                                                                          ✗      ✗     ✗
Cars - Race-O-Rama (Europe) (Demo) (Multiboot,Nintendo Channel)                                                                                                                       ✗      ✗     ✗
Cars - Race-O-Rama (Europe) (Demo) (Multiboot,Nintendo Channel,Alt)                                                                                                                   ✗      ✗     ✗
Castlevania - Portrait of Ruin - Preview Trailer (USA) (Multiboot Demo) (DS Download Station)                                                                                         ✗      ✗     ✗
Cerebrale Academie (France) (Multiboot Demo) (DS Download Station)                                                                                                                    ✗      ✗     ✗
Charlotte's Web (USA) (Multiboot Demo) (DS Download Station)                                                                                                                          ✗      ✗     ✗
Chou Shittou Caduceus (Japan) (Demo) (Kiosk,Multiboot,Unknown Japan Download Station)                                                                                                 ✗      ✗     ✗
Clubhouse Games - Darts (USA) (Demo) (Multiboot,Download Station Vol. 3)                                                                                                              ✗      ✗     ✗
Clubhouse Games - Turncoat (USA) (Multiboot Demo) (DS Download Station)                                                                                                               ✗      ✗     ✗
Combat of Giants - Dragons (Europe) (Demo) (Multiboot,Nintendo Channel)                                                                                                               ✗      ✗     ✗
Combat of Giants - Mutant Insects (Europe) (Demo) (Multiboot,Nintendo Channel)                                                                                                        ✗      ✗     ✗
Contra 4 (USA) (Multiboot Demo) (DS Download Station)                                                                                                                                 ✗      ✗     ✗
Cookie & Cream (USA) (Multiboot Demo) (DS Download Station)                                                                                                                           ✗      ✗     ✗
Cooking Mama - Salisbury Steak (USA) (Multiboot Demo) (DS Download Station)                                                                                                           ✗      ✗     ✗
Cooking Mama 2 - Dinner with Friends - Make An Apple Pie (USA) (Multiboot Demo) (DS Download Station)                                                                                 ✗      ✗     ✗
Cooking Mama 3 (Japan) (Demo) (Multiboot,Nintendo Channel)                                                                                                                            ✗      ✗     ✗
Cooking Mama 3 - Let's Make Marshmallows (Europe) (Demo) (Multiboot,Nintendo Channel)                                                                                                 ✗      ✗     ✗
