Nintendo - Nintendo Entertainment System Missing

Boxarts  1940/2878  67.41%
Snaps    2629/2878  91.35%
Titles   2627/2878  91.28%
Total    7196/8634  83.34%

Name                                                                                          Boxart  Snap  Title
1991 Du Ma Racing (Asia) (Ja) (Unl)                                                              ✗      ✗     ✗
1991 Du Ma Racing (Asia) (Unl)                                                                   ✗      ✓     ✓
2010 - Street Fighter (Japan)                                                                    ✓      ✗     ✗
25th Anniversary Super Mario Bros. (Europe) (Promo, Virtual Console)                             ✗      ✗     ✗
3 in 1 Supergun (Asia) (Ja) (Unl)                                                                ✗      ✗     ✗
3-D Block (Asia) (Hwang Shinwei) (Unl)                                                           ✗      ✓     ✓
3-D Block (Asia) (Ja) (Hwang Shinwei) (Unl)                                                      ✗      ✗     ✗
3-D Block (Asia) (Ja) (RCM Group) (Unl)                                                          ✗      ✗     ✗
3-D Block (Asia) (RCM Group) (Unl)                                                               ✗      ✓     ✓
Adan y Eva (Spain) (Gluk Video) (Unl)                                                            ✗      ✗     ✗
Airball (Unknown) (Proto 1)                                                                      ✓      ✓     ✗
Airball (Unknown) (Proto 2)                                                                      ✓      ✓     ✗
Alfombra Magica, La (Spain) (Gluk Video) (Unl)                                                   ✗      ✗     ✗
Alfombra Magica, La (Spain) (Rev 1) (Gluk Video)                                                 ✗      ✗     ✗
Alfombra Magica, La (Spain) (Rev 1) (Gluk Video) (Unl)                                           ✗      ✗     ✗
Arcadia VI (USA) (Proto)                                                                         ✗      ✓     ✓
ASO - Armored Scrum Object (Japan) (En) (Sample)                                                 ✗      ✗     ✗
Auto-Upturn (Asia) (Ja) (PAL) (Unl)                                                              ✗      ✗     ✗
AV Dragon Mahjang (Japan) (Unl)                                                                  ✗      ✓     ✓
AV Hanafuda Club (Japan) (Unl)                                                                   ✗      ✓     ✓
AV Kyuukyoku Mahjong 2 (Asia) (Ja) (Unl)                                                         ✗      ✗     ✗
AV Kyuukyoku Mahjong 2 (Asia) (Unl)                                                              ✗      ✓     ✓
AV Mahjong Club (Asia) (Ja) (Unl)                                                                ✗      ✗     ✗
AV Mahjong Club (Asia) (Unl)                                                                     ✗      ✓     ✓
AV Mahjong Club (Japan) (Unl)                                                                    ✗      ✓     ✓
AV Super Real Pachinko (Japan) (Unl)                                                             ✗      ✗     ✗
Bard's Tale, The - Tales of the Unknown (USA) (Beta 1)                                           ✓      ✗     ✗
Bard's Tale, The - Tales of the Unknown (USA) (Beta 2)                                           ✓      ✗     ✗
Bard's Tale, The (Japan) (Sample)                                                                ✗      ✗     ✗
Baseball (USA) (GameCube Edition)                                                                ✓      ✗     ✗
Batman - Return of the Joker (USA) (Beta)                                                        ✓      ✗     ✗
Batman - The Video Game (USA) (Beta 1)                                                           ✓      ✗     ✗
Batman - The Video Game (USA) (Beta 2)                                                           ✓      ✗     ✗
BB Car (Unknown) (Unl)                                                                           ✗      ✓     ✓
