Nintendo - Nintendo Wii (DLC)

Boxarts  0/2864  0.00%
Snaps    0/2864  0.00%
Titles   0/2864  0.00%
Total    0/8592  0.00%

Name                                                                                                                     Boxart  Snap  Title
1 Nuke! Dasshutsu Game - My Home Hen (Japan) (WiiWare)                                                                      ✗      ✗     ✗
101-in-1 Explosive Megamix (Europe) (WiiWare)                                                                               ✗      ✗     ✗
101-in-1 Explosive Megamix (USA) (WiiWare)                                                                                  ✗      ✗     ✗
1080 Snowboarding (Europe) (N64) (Virtual Console)                                                                          ✗      ✗     ✗
1080 Snowboarding (Japan) (N64) (Virtual Console)                                                                           ✗      ✗     ✗
1080 Snowboarding (USA) (N64) (Virtual Console)                                                                             ✗      ✗     ✗
1942 (Europe) (Arcade) (Virtual Console)                                                                                    ✗      ✗     ✗
1942 (Japan) (Arcade) (Virtual Console)                                                                                     ✗      ✗     ✗
1942 (USA) (Arcade) (Virtual Console)                                                                                       ✗      ✗     ✗
2 Fast 4 Gnomz (USA) (WiiWare)                                                                                              ✗      ✗     ✗
2020 Super Baseball (USA) (NG) (Virtual Console)                                                                            ✗      ✗     ✗
25th Super Mario Bros. (Japan) (Promo) (NES) (Virtual Console)                                                              ✗      ✗     ✗
3 Degrees Celcius (Japan) (WiiWare)                                                                                         ✗      ✗     ✗
3-2-1, Rattle Battle! (Europe) (WiiWare)                                                                                    ✗      ✗     ✗
3-2-1, Rattle Battle! (USA) (WiiWare)                                                                                       ✗      ✗     ✗
3D Pixel Racing (Europe) (WiiWare)                                                                                          ✗      ✗     ✗
3D Pixel Racing (USA) (WiiWare)                                                                                             ✗      ✗     ✗
5 Arcade Gems (Europe) (WiiWare)                                                                                            ✗      ✗     ✗
5 Arcade Gems (USA) (WiiWare)                                                                                               ✗      ✗     ✗
5 Spots Party (Europe) (WiiWare)                                                                                            ✗      ✗     ✗
5 Spots Party (USA) (WiiWare)                                                                                               ✗      ✗     ✗
5-in-1 Solitaire (USA) (WiiWare)                                                                                            ✗      ✗     ✗
530 Eco Shooter (Japan) (WiiWare)                                                                                           ✗      ✗     ✗
81diver Wii (Japan) (WiiWare)                                                                                               ✗      ✗     ✗
Aa! Mitsuketa! Item Sagashi Game (Japan) (WiiWare)                                                                          ✗      ✗     ✗
Actionloop Twist (Europe) (WiiWare)                                                                                         ✗      ✗     ✗
ActRaiser (Europe) (SNES) (Virtual Console)                                                                                 ✗      ✗     ✗
ActRaiser (France) (SNES) (Virtual Console)                                                                                 ✗      ✗     ✗
ActRaiser (Germany) (SNES) (Virtual Console)                                                                                ✗      ✗     ✗
ActRaiser (Japan) (SNES) (Virtual Console)                                                                                  ✗      ✗     ✗
ActRaiser (USA) (SNES) (Virtual Console)                                                                                    ✗      ✗     ✗
Adventure Island - The Beginning (Europe) (WiiWare)                                                                         ✗      ✗     ✗
Adventure Island - The Beginning (USA) (WiiWare)                                                                            ✗      ✗     ✗
Adventure Island (Europe) (NES) (Virtual Console)                                                                           ✗      ✗     ✗
Adventure Island (USA) (NES) (Virtual Console)                                                                              ✗      ✗     ✗
Adventure Island II (Europe) (NES) (Virtual Console)                                                                        ✗      ✗     ✗
Adventure Island II (USA) (SNES) (Virtual Console)                                                                          ✗      ✗     ✗
Adventure on Lost Island - Hidden Object Game (Europe) (WiiWare)                                                            ✗      ✗     ✗
Adventure on Lost Island - Hidden Object Game (USA) (WiiWare)                                                               ✗      ✗     ✗
Adventures of Lolo (Europe) (NES) (Virtual Console)                                                                         ✗      ✗     ✗
Adventures of Lolo (Japan) (NES) (Virtual Console)                                                                          ✗      ✗     ✗
Adventures of Lolo (USA) (NES) (Virtual Console)                                                                            ✗      ✗     ✗
Adventures of Lolo 2 (Europe) (NES) (Virtual Console)                                                                       ✗      ✗     ✗
Adventures of Lolo 2 (USA) (NES) (Virtual Console)                                                                          ✗      ✗     ✗
Aero Guitar (Japan) (DLC) (WiiWare)                                                                                         ✗      ✗     ✗
Aero Guitar (Japan) (WiiWare)                                                                                               ✗      ✗     ✗
