Nintendo - Pokemon Mini

Name                                                             Boxart  Snap  Title
Lunch Time (USA) (GameCube)                                         ✓      ✓     ✓
Pichu Bros. Mini (Japan)                                            ✓      ✓     ✓
Pichu Bros. Mini - Hoppip's Jump Match (Japan) (Preview)            ✓      ✓     ✓
Pichu Bros. Mini - Netsukikyuu (Japan) (Preview)                    ✓      ✓     ✓
Pichu Bros. Mini - Skateboard (Japan) (Preview)                     ✓      ✓     ✓
Pokemon Anime Card Daisakusen (Japan)                               ✓      ✓     ✓
Pokemon Party Mini (USA)                                            ✓      ✓     ✓
Pokemon Party Mini (Europe)                                         ✓      ✓     ✓
Pokemon Party Mini (Japan)                                          ✓      ✗     ✗
Pokemon Party Mini - Baseline Judge (Europe) (GameCube)             ✓      ✓     ✓
Pokemon Party Mini - Baseline Judge (Japan) (GameCube)              ✓      ✓     ✓
Pokemon Party Mini - Baseline Judge (USA) (GameCube)                ✓      ✓     ✓
Pokemon Party Mini - Chansey's Dribble (Europe) (GameCube)          ✓      ✓     ✓
Pokemon Party Mini - Pikachu's Rocket Start (Europe) (GameCube)     ✓      ✓     ✓
Pokemon Party Mini - Ricochet Dribble (Japan) (GameCube)            ✓      ✓     ✓
Pokemon Party Mini - Ricochet Dribble (USA) (GameCube)              ✓      ✓     ✓
Pokemon Party Mini - Rocket Start (USA) (GameCube)                  ✓      ✓     ✓
Pokemon Party Mini - Slowking's Judge (Europe) (GameCube)           ✓      ✓     ✓
Pokemon Pinball Mini (USA) (GameCube Preview)                       ✓      ✓     ✓
Pokemon Pinball Mini (USA, Europe)                                  ✓      ✗     ✗
Pokemon Pinball Mini (Japan) (Preview)                              ✓      ✓     ✓
Pokemon Pinball Mini (Japan)                                        ✓      ✓     ✓
Pokemon Puzzle Collection (France)                                  ✓      ✗     ✗
Pokemon Puzzle Collection (USA) (GameCube Preview)                  ✓      ✓     ✓
Pokemon Puzzle Collection (USA, Europe)                             ✓      ✗     ✗
Pokemon Puzzle Collection (Japan) (GameCube)                        ✓      ✓     ✓
Pokemon Puzzle Collection (Japan)                                   ✓      ✓     ✓
Pokemon Puzzle Collection (Germany) (GameCube Preview)              ✓      ✓     ✓
Pokemon Puzzle Collection (Germany)                                 ✓      ✓     ✓
Pokemon Puzzle Collection (France) (GameCube Preview)               ✓      ✓     ✓
Pokemon Puzzle Collection Vol. 2 (Japan)                            ✓      ✓     ✓
Pokemon Race Mini (Japan)                                           ✓      ✓     ✓
Pokemon Race Mini (Japan) (Preview)                                 ✓      ✓     ✓
Pokemon Shock Tetris (Japan)                                        ✓      ✓     ✓
Pokemon Sodateyasan Mini (Japan)                                    ✓      ✓     ✓
Pokemon Tetris (Europe) (En,Ja,Fr)                                  ✓      ✓     ✓
Pokemon Zany Cards (USA, Europe)                                    ✓      ✗     ✗
Pokemon Zany Cards (Germany)                                        ✓      ✓     ✓
Pokemon Zany Cards (France)                                         ✓      ✓     ✓
Snorlax's Lunch Time (Europe) (GameCube)                            ✓      ✓     ✓
Snorlax's Lunch Time (Japan) (GameCube)                             ✓      ✓     ✓
Togepi no Daibouken (Japan)                                         ✓      ✓     ✓
Togepi no Daibouken (Japan) (Preview)                               ✓      ✓     ✓
