Nintendo - Super Nintendo Entertainment System Missing

Boxarts   3324/3453  96.26%
Snaps     3037/3453  87.95%
Titles    3037/3453  87.95%
Total    9398/10359  90.72%

Name                                                                              Boxart  Snap  Title
3 Jigen Kakutou Ballz (Japan) (Sample)                                               ✓      ✗     ✗
Acrobat Mission (Japan) (En)                                                         ✓      ✗     ✗
ActRaiser (USA) (Arcade)                                                             ✓      ✗     ✗
Addams Family, The (USA) (Arcade)                                                    ✓      ✗     ✗
Aging Cassette (Japan)                                                               ✗      ✓     ✓
Akagawa Jirou - Majotachi no Nemuri (Japan)                                          ✓      ✗     ✗
Akagawa Jirou - Majotachi no Nemuri (Japan) (Rev 1) (NP)                             ✓      ✗     ✗
Andre Agassi Tennis (Japan) (En)                                                     ✓      ✗     ✗
Aoki Densetsu Shoot! (Japan) (Beta)                                                  ✓      ✗     ✗
Apocalypse II (Europe) (Proto)                                                       ✗      ✓     ✓
Arabian Nights - Sabaku no Seirei Ou (Japan) (Beta)                                  ✓      ✗     ✗
Aretha (Japan) (Rev 1) (NP)                                                          ✗      ✗     ✗
Aretha II - Ariel no Fushigi na Tabi (Japan) (Beta 1)                                ✓      ✗     ✗
Aretha II - Ariel no Fushigi na Tabi (Japan) (Beta 2)                                ✓      ✗     ✗
Arkanoid - Doh It Again (Japan) (En)                                                 ✓      ✗     ✗
Atlas, The - Renaissance Voyager (Japan) (Rev 1) (NP)                                ✗      ✗     ✗
Barbie Vacation Adventure (USA) (Proto)                                              ✗      ✓     ✓
Barkley no Power Dunk (Japan) (En)                                                   ✓      ✗     ✗
Bass Masters Classic - Pro Edition (Europe)                                          ✓      ✗     ✗
Bass Masters Classic - Pro Edition (USA)                                             ✓      ✗     ✗
Bass Masters Classic (Japan)                                                         ✓      ✗     ✗
Bass Masters Classic (USA)                                                           ✓      ✗     ✗
Batman (USA) (Proto) [b]                                                             ✗      ✗     ✗
Batman Forever (Japan) (En)                                                          ✓      ✗     ✗
Batman Returns (Japan) (En)                                                          ✓      ✗     ✗
Battle Blaze (Japan) (En)                                                            ✓      ✗     ✗
Battle Grand Prix (Japan) (En)                                                       ✓      ✗     ✗
Beethoven's 2nd (USA) (Beta) (Build Date_ 1993-09-13)                                ✗      ✗     ✗
BioMetal (Japan) (En)                                                                ✓      ✗     ✗
Bishoujo Senshi Sailor Moon SuperS - Fuwafuwa Panic (Japan)                          ✓      ✗     ✗
Bishoujo Senshi Sailor Moon SuperS - Zenin Sanka!! Shuyaku Soudatsusen (Japan)       ✓      ✗     ✗
BlaZeon (Japan) (En)                                                                 ✓      ✗     ✗
Bobby's World (USA) (Proto)                                                          ✗      ✓     ✓
Bounty Sword (Japan) (Beta)                                                          ✓      ✗     ✗
BS-X - Sore wa Namae o Nusumareta Machi no Monogatari (Japan) (Rev 1)                ✗      ✓     ✓
Caravan Shooting Collection (Japan) (En)                                             ✓      ✗     ✗
Carrier Aces (Japan) (En)                                                            ✓      ✗     ✗
Cassette Kensaki - NUS-you S Cassette (Japan) (En)                                   ✗      ✗     ✗
Chaos Seed - Fuusui Kairouki (Japan)                                                 ✓      ✗     ✗
Chavez (USA) (Es)                                                                    ✓      ✗     ✗
Chavez II (USA) (Es)                                                                 ✓      ✗     ✗
Chibi Maruko-chan - Mezase! Minami no Island!! (Japan) (Sample)                      ✓      ✗     ✗
Choplifter III - Rescue-Survive (Japan) (En)                                         ✓      ✗     ✗
Choplifter III - Rescue-Survive (USA) (Beta) [b]                                     ✗      ✗     ✗
Chou Gojira - Super Godzilla (Japan)                                                 ✓      ✗     ✗
Chou Gojira - Super Godzilla (Japan) (Rev 1)                                         ✓      ✗     ✗
Chou Makaimura (Japan)                                                               ✓      ✗     ✗
Clock Tower (Japan) (Beta)                                                           ✓      ✗     ✗
Columns (Japan) (NP)                                                                 ✗      ✓     ✓
Contra III - The Alien Wars (USA) (Beta)                                             ✓      ✗     ✗
Contra IV - The Alien Wars (USA) (Beta)                                              ✓      ✗     ✗
Contra Spirits (Japan) (Demo)                                                        ✓      ✗     ✗
Daffy Duck - The Marvin Missions (USA) (Sample)                                      ✓      ✗     ✗
Daibakushou Jinsei Gekijou - Zukkoke Salaryman Hen (Japan) (Rev 1) (NP)              ✓      ✗     ✗
Darius Force (Japan) (En)                                                            ✓      ✗     ✗
Dark Kingdom (Japan) (Beta)                                                          ✓      ✗     ✗
David Crane's Amazing Tennis (USA) (Arcade)                                          ✓      ✗     ✗
Death and Return of Superman, The (USA) (Rev 1)                                      ✓      ✗     ✗
Demon's Blazon - Makaimura Monshou Hen (Japan)                                       ✓      ✗     ✗
Demon's Blazon - Makaimura Monshou Hen (Japan) (Sample)                              ✓      ✗     ✗
Denz Traffic Panic (Japan) (Beta)                                                    ✗      ✗     ✗
Derby Jockey 2 (Japan) (Rev 1)                                                       ✗      ✗     ✗
Dimension-Force (Japan) (En)                                                         ✓      ✗     ✗
Dokapon 3-2-1 - Arashi o Yobu Yuujou (Japan) (Rev 1)                                 ✓      ✗     ✗
Doom (Japan) (En)                                                                    ✓      ✗     ✗
Doom Troopers - Mutant Chronicles (USA)                                              ✓      ✗     ✗
Doraemon - Nobita to Yousei no Kuni (Japan) (Rev 1)                                  ✓      ✗     ✗
Down the World - Mervil's Ambition (Japan) (Sample)                                  ✓      ✗     ✗
Downtown - Nekketsu Baseball Monogatari - Yakyuu de Shoubu da! Kunio-kun (Japan)     ✓      ✗     ✗
Dr. Mario (Japan) (En) (NP)                                                          ✓      ✗     ✗
Dragon's Magic (Japan) (En)                                                          ✓      ✗     ✗
Dream TV (USA) (Beta 1)                                                              ✓      ✗     ✗
Dream TV (USA) (Beta 2)                                                              ✓      ✗     ✗
DSP1 Tech Demo (USA) (Demo)                                                          ✗      ✗     ✗
Earthworm Jim (Europe) (GamesMaster Special Edition)                                 ✓      ✗     ✗
Estpolis Denki (Japan) (Rev 1)                                                       ✓      ✗     ✗
Eurit (USA) (Proto)                                                                  ✗      ✓     ✓
Exhaust Heat (Japan) (En)                                                            ✓      ✗     ✗
Exhaust Heat II - F1 Driver e no Michi (Japan)                                       ✓      ✗     ✗
F-15 Super Strike Eagle (Japan) (En)                                                 ✓      ✗     ✗
F-Zero (Japan) (En)                                                                  ✓      ✗     ✗
Falcon (USA) (Proto)                                                                 ✗      ✗     ✗
Famicom Bunko - Hajimari no Mori (Japan) (NP)                                        ✗      ✓     ✓
Famicom Tantei Club Part II - Ushiro ni Tatsu Shoujo (Japan) (NP)                    ✗      ✓     ✓
Famicom Tantei Club Part II - Ushiro ni Tatsu Shoujo (Japan) (Rev 1) (NP)            ✗      ✓     ✓
FIFA - A Caminho Da Copa 98 (Brazil) (En,Fr,De,Es,It,Sv)                             ✓      ✗     ✗
FIFA - Road to World Cup 98 (Europe) (En,Fr,De,Es,It,Sv)                             ✓      ✗     ✗
Finalset (Japan) (Beta)                                                              ✓      ✗     ✗
Firearm (USA) (Proto)                                                                ✗      ✗     ✗
Firemen, The (Europe) (Beta)                                                         ✓      ✗     ✗
Fireteam Rogue (USA) (Proto 1)                                                       ✓      ✗     ✗
Fireteam Rogue (USA) (Proto 2)                                                       ✓      ✗     ✗
Flintstones, The - The Treasure of Sierra Madrock (USA) (Beta)                       ✓      ✗     ✗
Foreman for Real (Japan) (En)                                                        ✓      ✗     ✗
Frank Thomas Big Hurt Baseball (Japan) (En)                                          ✓      ✗     ✗
Gakkou de Atta Kowai Hanashi (Japan) (Rev 1) (NP)                                    ✗      ✗     ✗
Galaxy Wars (Japan) (En)                                                             ✓      ✗     ✗
Game Genie (USA) (Alt 1) (Unl) [b]                                                   ✗      ✗     ✗
Game Genie (USA) (Unl) [b]                                                           ✗      ✗     ✗
Game Genie (USA) (v2.0) (Unl)                                                        ✗      ✓     ✓
Game Saver (Europe) (v1.6) (Unl)                                                     ✗      ✓     ✓
Game Saver (Europe) (v1.7) (Unl)                                                     ✗      ✓     ✓
Ganbare Goemon - Yuki Hime Kyuushutsu Emaki (Japan) (Rev 1)                          ✓      ✗     ✗
Ganbare Goemon 3 - Shishi Juurokubee no Karakuri Manjigatame (Japan) (Rev 1)         ✓      ✗     ✗
