Nintendo - Wii

Boxarts  165/1231  13.40%
Snaps    0/1231     0.00%
Titles   0/1231     0.00%
Total    165/3693   4.47%

Name                                                                                            Boxart  Snap  Title
007 - Quantum of Solace (USA) (En,Fr)                                                              ✗      ✗     ✗
2010 FIFA World Cup South Africa (Europe) (En,Nl)                                                  ✗      ✗     ✗
2010 FIFA World Cup South Africa (Europe) (Es,It)                                                  ✗      ✗     ✗
2010 FIFA World Cup South Africa (Europe) (Fr,De)                                                  ✗      ✗     ✗
428 - Fuusa Sareta Shibuya de (Japan)                                                              ✗      ✗     ✗
ABC Wipeout - The Game (USA)                                                                       ✗      ✗     ✗
Action Girlz Racing (Europe)                                                                       ✗      ✗     ✗
AFL (Australia)                                                                                    ✗      ✗     ✗
Alan Hansen's Sports Challenge (Europe) (En,Fr,De,Es,It)                                           ✗      ✗     ✗
Alien Syndrome (Europe) (En,Fr,De,Es,It)                                                           ✗      ✗     ✗
Alien Syndrome (USA)                                                                               ✓      ✗     ✗
Aliens in the Attic (Europe) (En,Fr,De,Es,It)                                                      ✗      ✗     ✗
All Star Cheer Squad (USA)                                                                         ✗      ✗     ✗
All Star Cheer Squad 2 (USA)                                                                       ✗      ✗     ✗
All Star Cheerleader (Europe) (En,Fr,De,Es)                                                        ✗      ✗     ✗
All Star Cheerleader 2 (Europe, Australia)                                                         ✗      ✗     ✗
All Star Karate (Europe) (En,Fr,De,Es,It,Nl)                                                       ✗      ✗     ✗
Alone in the Dark (Europe) (En,Fr,De,Es,It)                                                        ✗      ✗     ✗
Alone in the Dark (USA) (En,Fr,Es)                                                                 ✗      ✗     ✗
Alvin and the Chipmunks - The Squeakquel (USA)                                                     ✓      ✗     ✗
Alvin and the Chipmunks (USA) (En,Fr)                                                              ✗      ✗     ✗
Amazing Spider-Man, The (USA) (En,Fr,Es)                                                           ✗      ✗     ✗
America's Next Top Model (USA)                                                                     ✓      ✗     ✗
AMF Bowling - Pinbusters! (Europe) (En,Fr,De,Es,It)                                                ✗      ✗     ✗
AMF Bowling - Pinbusters! (USA)                                                                    ✗      ✗     ✗
Angry Birds Star Wars (USA) (En,Fr,Es,Pt)                                                          ✗      ✗     ✗
Angry Birds Trilogy (USA) (En,Fr)                                                                  ✗      ✗     ✗
Animal Crossing - City Folk (USA) (En,Fr,Es)                                                       ✗      ✗     ✗
Animal Crossing - Let's Go to the City (Europe) (En,Fr,De,Es,It) (v1.00)                           ✗      ✗     ✗
Animal Crossing - Let's Go to the City (Europe) (En,Fr,De,Es,It) (v1.01)                           ✗      ✗     ✗
Anno - Create a New World (Europe) (En,Fr,De,Es,It)                                                ✗      ✗     ✗
Another Code R - A Journey into Lost Memories (Europe) (En,Fr,De,Es,It)                            ✗      ✗     ✗
Another Code R - Kioku no Tobira (Japan)                                                           ✗      ✗     ✗
Ant Bully, The (Europe) (En,Fr,De,Es,It)                                                           ✗      ✗     ✗
Aqua Panic! (Europe) (En,Fr,De,Es,It,Nl)                                                           ✗      ✗     ✗
Arc Rise Fantasia (Japan)                                                                          ✗      ✗     ✗
Arc Rise Fantasia (USA)                                                                            ✓      ✗     ✗
Are You Smarter Than a 5th Grader - Game Time (USA)                                                ✓      ✗     ✗
Are You Smarter Than a 5th Grader - Make the Grade (USA)                                           ✗      ✗     ✗
Army Men - Soldiers of Misfortune (Europe) (En,Fr,De,Es,It,Nl)                                     ✗      ✗     ✗
Ashes Cricket 2009 (Europe)                                                                        ✗      ✗     ✗
Asterix at the Olympic Games (Europe) (En,Fr,De,Es,It,Nl)                                          ✗      ✗     ✗
Astro Boy - The Video Game (USA) (En,Fr,Es)                                                        ✗      ✗     ✗
Avatar - The Last Airbender - Into the Inferno (USA)                                               ✗      ✗     ✗
Baby and Me (Europe) (En,Fr,De,Es,It)                                                              ✗      ✗     ✗
Babysitting Mama (USA)                                                                             ✓      ✗     ✗
Back to the Future - The Game (USA) (En,Fr,De)                                                     ✗      ✗     ✗
Backyard Baseball '10 (USA)                                                                        ✗      ✗     ✗
Bakugan - Battle Brawlers - Toys'R'Us Edition (USA) (En,Fr)                                        ✗      ✗     ✗
Bakugan - Battle Brawlers (Europe) (En,Fr,De,Es,It,Nl,Sv)                                          ✗      ✗     ✗
Bakugan - Battle Brawlers (USA) (En,Fr)                                                            ✗      ✗     ✗
Balls of Fury (Europe) (En,Fr,De,Es,It)                                                            ✗      ✗     ✗
