Philips - CD-i Missing

Boxarts  0/1828  0.00%
Snaps    0/1828  0.00%
Titles   0/1828  0.00%
Total    0/5484  0.00%

Name                                                                                                                       Boxart  Snap  Title
1993 CD-i Awards (USA)                                                                                                        ✗      ✗     ✗
1994 CD-i Awards (USA)                                                                                                        ✗      ✗     ✗
1995 - All the News and Views (UK)                                                                                            ✗      ✗     ✗
1995 CD-i Awards (USA)                                                                                                        ✗      ✗     ✗
1996 Awards - International CD-i Association (USA)                                                                            ✗      ✗     ✗
2 Unlimited - Beyond Limits (Europe)                                                                                          ✗      ✗     ✗
3rd Degree (USA)                                                                                                              ✗      ✗     ✗
7th Guest, The (Europe) (Disc 1) (The Game)                                                                                   ✗      ✗     ✗
7th Guest, The (Europe) (Disc 1) (The Game) (EDC)                                                                             ✗      ✗     ✗
7th Guest, The (France) (Disc 1) (Le Jeu)                                                                                     ✗      ✗     ✗
7th Guest, The (France) (Disc 1) (Le Jeu) (Rev 1)                                                                             ✗      ✗     ✗
7th Guest, The (Germany) (Disc 1) (Das Spiel)                                                                                 ✗      ✗     ✗
7th Guest, The (Germany) (Disc 1) (Das Spiel) (Rev 1)                                                                         ✗      ✗     ✗
7th Guest, The (USA) (Beta)                                                                                                   ✗      ✗     ✗
7th Guest, The (USA) (Disc 1) (The Game)                                                                                      ✗      ✗     ✗
ACC'94 - Les Meilleurs Moments d'Atlanta (France)                                                                             ✗      ✗     ✗
ACT College Search '92, The (USA)                                                                                             ✗      ✗     ✗
ADI - Accompagnement Scolaire - Francais-Maths CE2 (France)                                                                   ✗      ✗     ✗
ADI Francais-Maths 4eme (France)                                                                                              ✗      ✗     ✗
ADI Francais-Maths 5eme (France)                                                                                              ✗      ✗     ✗
ADI Francais-Maths CE1 (France)                                                                                               ✗      ✗     ✗
ADI Francais-Maths CM1 (France)                                                                                               ✗      ✗     ✗
ADI Francais-Maths CM2 (France)                                                                                               ✗      ✗     ✗
ADI Spielerisch Lernen - Mathe Klasse 3+4 (Germany)                                                                           ✗      ✗     ✗
AFT-IFTIM Transport Multimodal - Version 1 (France)                                                                           ✗      ✗     ✗
AIDS Awareness Disc, The (USA)                                                                                                ✗      ✗     ✗
ASICS Interactive Catalogue on CD-I 1995 (Europe)                                                                             ✗      ✗     ✗
ATMS Pilot Disc - Architecture for Modular Technical Systems (Europe)                                                         ✗      ✗     ✗
AVM - FMV-Demo-Disk (Netherlands)                                                                                             ✗      ✗     ✗
Aalborg Tekniske Skole (Denmark)                                                                                              ✗      ✗     ✗
Aanvullende Examenvragen - December 1998 - Personenauto (Netherlands)                                                         ✗      ✗     ✗
Abrunhosa _ Bandemonio (Portugal)                                                                                             ✗      ✗     ✗
Accelerator (Europe)                                                                                                          ✗      ✗     ✗
Addams Family, The (USA) (Disc 1)                                                                                             ✗      ✗     ✗
Addams Family, The (USA) (Disc 2)                                                                                             ✗      ✗     ✗
Adjustable Bed, The (Europe)                                                                                                  ✗      ✗     ✗
Adventure of the Space Ship Beagle, The (Japan)                                                                               ✗      ✗     ✗
Affaire Morlov, L' (Europe) (En,Fr)                                                                                           ✗      ✗     ✗
Agreed! (UK)                                                                                                                  ✗      ✗     ✗
Aida - Home Cinema Sound Demonstration Disc (Europe) (En,Fr,De,Nl)                                                            ✗      ✗     ✗
Albero Azzurro, L' (Italy)                                                                                                    ✗      ✗     ✗
Albero Azzurro, L' (Italy) (Beta)                                                                                             ✗      ✗     ✗
Aldosterone - Un Toxique Cardiovasculaire (France)                                                                            ✗      ✗     ✗
Alfapet (Sweden)                                                                                                              ✗      ✗     ✗
Alice au Pays des Merveilles (France)                                                                                         ✗      ✗     ✗
Alice in Wonderland (Europe)                                                                                                  ✗      ✗     ✗
Alice in Wonderland (Netherlands)                                                                                             ✗      ✗     ✗
Alice in Wonderland (USA)                                                                                                     ✗      ✗     ✗
Alien Gate (Europe) (Rev 2)                                                                                                   ✗      ✗     ✗
Alien Gate (Europe) (Rev 3)                                                                                                   ✗      ✗     ✗
Alien Gate (Europe) (Rev 4)                                                                                                   ✗      ✗     ✗
Alien Gate (USA)                                                                                                              ✗      ✗     ✗
Alien Gate (USA) (Rev 1)                                                                                                      ✗      ✗     ✗
All the Fun of the Fair - Engels voor Kinderen (Netherlands)                                                                  ✗      ✗     ✗
Allerheiligen Schaffhausen - Vom Kloster zum Museum (Switzerland)                                                             ✗      ✗     ✗
Alles over CD-i (Netherlands) (Dealer-versie) (Apr-Mei 1995)                                                                  ✗      ✗     ✗
Alles over CD-i (Netherlands) (Dealer-versie) (Aug-Sept 1994)                                                                 ✗      ✗     ✗
Alles over CD-i (Netherlands) (Thuis-versie) (Apr-Mei 1995)                                                                   ✗      ✗     ✗
Alles over CD-i (Netherlands) (Thuis-versie) (Aug-Sept 1994)                                                                  ✗      ✗     ✗
Ameropa Buchungssystem, Das - Juli 1996 (Germany)                                                                             ✗      ✗     ✗
Amsterdam Airport Schiphol (Netherlands)                                                                                      ✗      ✗     ✗
Amsterdam ArenA - Tour d'ArenA (Netherlands)                                                                                  ✗      ✗     ✗
Amsterdam Auto Rai (Netherlands)                                                                                              ✗      ✗     ✗
Amsterdamse Effectenbeurs, De (Netherlands)                                                                                   ✗      ✗     ✗
Ange et le Demon, L' (France)                                                                                                 ✗      ✗     ✗
Angebote Bahn-Flug (Germany)                                                                                                  ✗      ✗     ✗
Animal Communities (USA)                                                                                                      ✗      ✗     ✗
Animal Communities (USA) (Alt)                                                                                                ✗      ✗     ✗
Animal Life in a Tidepool (USA)                                                                                               ✗      ✗     ✗
Anne Willan Presents the Food of France (Europe)                                                                              ✗      ✗     ✗
Anne Willan Presents the Food of France (USA)                                                                                 ✗      ✗     ✗
Anne Willan Presents the Food of France (USA) (Beta)                                                                          ✗      ✗     ✗
Anniversary - Yuki Saito (Japan)                                                                                              ✗      ✗     ✗
AntiStatic (Europe)                                                                                                           ✗      ✗     ✗
Antonio Vega - Oceano del Sol (Spain)                                                                                         ✗      ✗     ✗
Appraisal Interview, The (UK) (Disc 1)                                                                                        ✗      ✗     ✗
Appraisal Interview, The (UK) (Disc 2)                                                                                        ✗      ✗     ✗
Apprentice, The (Europe)                                                                                                      ✗      ✗     ✗
Apprentice, The (USA)                                                                                                         ✗      ✗     ✗
Arcade Classics (Europe)                                                                                                      ✗      ✗     ✗
Archeon CD-i Quiz (Netherlands)                                                                                               ✗      ✗     ✗
Arik Brauer - Von Haus zu Haus (Austria)                                                                                      ✗      ✗     ✗
Around Atlanta (Europe) (Fr,Nl)                                                                                               ✗      ✗     ✗
Around Atlanta - The Olympic City (Europe) (En,De)                                                                            ✗      ✗     ✗
Around Hollywood (Germany) (En,De)                                                                                            ✗      ✗     ✗
Art of Performing, The (Netherlands)                                                                                          ✗      ✗     ✗
Art of the Czars, The (USA)                                                                                                   ✗      ✗     ✗
