RCA - Studio II Missing

Boxarts  3/17  17.65%
Snaps    3/17  17.65%
Titles   3/17  17.65%
Total    9/51  17.65%

Name                                                           Boxart  Snap  Title
Concentration Match (Europe)                                      ✗      ✗     ✗
Demonstration Cartridge (USA)                                     ✗      ✗     ✗
Grand Pack (Europe)                                               ✗      ✗     ✗
Pinball (Europe)                                                  ✗      ✗     ✗
Speedway + Tag (Europe)                                           ✗      ✗     ✗
Star Wars (Europe)                                                ✗      ✗     ✗
TV Arcade I - Space War (USA)                                     -      -     -
TV Arcade II - Fun with Numbers (USA)                             ✗      ✗     ✗
TV Arcade III - Tennis + Squash (USA)                             -      -     -
TV Arcade IV - Baseball (USA)                                     -      -     -
TV Arcade Series - Gunfighter + Moonship Battle (USA, Europe)     ✗      ✗     ✗
TV Arcade Series - Speedway + Tag (USA)                           ✗      ✗     ✗
TV Casino Series - Blackjack (USA)                                ✗      ✗     ✗
TV Casino Series - TV Bingo (USA, Europe)                         ✗      ✗     ✗
TV Mystic Series - Biorhythm (USA, Europe)                        ✗      ✗     ✗
TV School House I (USA)                                           ✗      ✗     ✗
TV School House II - Math Fun (USA, Europe)                       ✗      ✗     ✗
