ScummVM Missing

Boxarts   31/3874  0.80%
Snaps     24/3874  0.62%
Titles    24/3874  0.62%
Total    79/11622  0.68%

Name                                                                                                                                                            Boxart  Snap  Title
+= 3_ A Logical Adventure (Multi-OS)                                                                                                                               ✗      ✗     ✗
1 1_2 Ritter_ Auf der Suche nach der hinreißenden Herzelinde (Windows_German)                                                                                      ✗      ✗     ✗
1 1_2 Ritter_ Auf der Suche nach der hinreißenden Herzelinde {Полтора рыцаря_ В поисках похищенной принцессы Херцелинды}(Windows_Russian)                          ✗      ✗     ✗
11th Hour, The_ The Sequel to 'The 7th Guest' (DOS)                                                                                                                ✗      ✗     ✗
11th Hour, The_ The Sequel to 'The 7th Guest' (DOS_French)                                                                                                         ✗      ✗     ✗
11th Hour, The_ The Sequel to 'The 7th Guest' (DOS_German)                                                                                                         ✗      ✗     ✗
11th Hour, The_ The Sequel to 'The 7th Guest' (Windows)                                                                                                            ✗      ✗     ✗
11th Hour, The_ The Sequel to 'The 7th Guest' _Making Of_(DOS)                                                                                                     ✗      ✗     ✗
11th Hour, The_ The Sequel to 'The 7th Guest' _Making Of_(Macintosh)                                                                                               ✗      ✗     ✗
13th Disciple, The (DOS_Fanmade)                                                                                                                                   ✗      ✗     ✗
1893_ A World's Fair Mystery (Multi-OS)                                                                                                                            ✗      ✗     ✗
2 Player Demo (DOS_Fanmade)                                                                                                                                        ✗      ✗     ✗
2044_ Space Troopers (Multi-OS)                                                                                                                                    ✗      ✗     ✗
3 Skulls of the Toltecs (DOS)                                                                                                                                      ✗      ✗     ✗
3rd Floor (Macintosh)                                                                                                                                              ✗      ✗     ✗
404_ Life Not Found (Multi-OS)                                                                                                                                     ✗      ✗     ✗
69,105 Keys (Multi-OS)                                                                                                                                             ✗      ✗     ✗
7th Guest, The (Apple iOS_Russian)                                                                                                                                 ✗      ✗     ✗
7th Guest, The (DOS)                                                                                                                                               ✗      ✗     ✗
7th Guest, The (DOS_Russian)                                                                                                                                       ✗      ✗     ✗
7th Guest, The (Macintosh)                                                                                                                                         ✗      ✗     ✗
9_05  (Multi-OS)                                                                                                                                                   ✗      ✗     ✗
A Bloody Life (Multi-OS)                                                                                                                                           ✗      ✗     ✗
A Crimson Spring (Multi-OS)                                                                                                                                        ✗      ✗     ✗
A Long Drink (Multi-OS)                                                                                                                                            ✗      ✗     ✗
A.J.'s World of Discovery (DOS)                                                                                                                                    ✗      ✗     ✗
AAS Masters, in Which All is Revealed (Multi-OS)                                                                                                                   ✗      ✗     ✗
ADI 2 (DOS_Spanish)                                                                                                                                                ✗      ✗     ✗
AGI Contest 1 Template (DOS_Fanmade)                                                                                                                               ✗      ✗     ✗
AGI Contest 2 Template (DOS_Fanmade)                                                                                                                               ✗      ✗     ✗
AGI Demo _Demo 1_(DOS)                                                                                                                                             ✗      ✗     ✗
AGI Demo _Demo 2_(Apple IIgs)                                                                                                                                      ✗      ✗     ✗
AGI Demo _Demo 2_(DOS)                                                                                                                                             ✗      ✗     ✗
AGI Demo _Demo 2_(Tandy_DOS)                                                                                                                                       ✗      ✗     ✗
AGI Demo _Demo 3_(DOS)                                                                                                                                             ✗      ✗     ✗
AGI Demo_ Kings Quest III _ Space Quest I (DOS)                                                                                                                    ✗      ✗     ✗
AGI Mouse Demo (DOS_Fanmade)                                                                                                                                       ✗      ✗     ✗
AGI Mouse Demo 2 (DOS_Fanmade)                                                                                                                                     ✗      ✗     ✗
AGI Piano (DOS_Fanmade)                                                                                                                                            ✗      ✗     ✗
AGI Quest I_ The Computer Game (DOS_Fanmade)                                                                                                                       ✗      ✗     ✗
AGI Quest I_ The Computer Game (DOS_Fanmade_Spanish)                                                                                                               ✗      ✗     ✗
AGI Tetris (DOS)                                                                                                                                                   ✗      ✗     ✗
AGI Tetris (DOS_Fanmade)                                                                                                                                           ✗      ✗     ✗
AGI Tetris (DOS_Fanmade_Spanish)                                                                                                                                   ✗      ✗     ✗
AGI Tetris (DOS_Spanish)                                                                                                                                           ✗      ✗     ✗
AGI Trek (DOS_Fanmade)                                                                                                                                             ✗      ✗     ✗
AGI256 Demo (DOS_Fanmade)                                                                                                                                          ✗      ✗     ✗
AGI256-2 Demo (DOS_Fanmade)                                                                                                                                        ✗      ✗     ✗
AMBER_ Journeys Beyond (Windows)                                                                                                                                   ✗      ✗     ✗
ASCII Cars!!! A Game of Racing with the Imagination (Multi-OS)                                                                                                     ✗      ✗     ✗
Aayela_ An Interactive Vision (Multi-OS)                                                                                                                           ✗      ✗     ✗
Abalánzate (Multi-OS_Spanish)                                                                                                                                      ✗      ✗     ✗
Above and Beyond! (Multi-OS)                                                                                                                                       ✗      ✗     ✗
Above the Waves (Windows)                                                                                                                                          ✗      ✗     ✗
Abrah_ El huérfano del espacio (DOS_Fanmade_Spanish)                                                                                                               ✗      ✗     ✗
Abrah_ L'Orphelin de l'Espace (DOS_Fanmade_French)                                                                                                                 ✗      ✗     ✗
Absence of Law, The (Multi-OS)                                                                                                                                     ✗      ✗     ✗
Abyss, The (Multi-OS)                                                                                                                                              ✗      ✗     ✗
Accuse (Multi-OS)                                                                                                                                                  ✗      ✗     ✗
Acheton (Multi-OS)                                                                                                                                                 ✗      ✗     ✗
Acidopolis (DOS_Fanmade)                                                                                                                                           ✗      ✗     ✗
Acorn Court, The (Multi-OS)                                                                                                                                        ✗      ✗     ✗
Across the Stars (Multi-OS)                                                                                                                                        ✗      ✗     ✗
Across the Stars_ Invisiclues (Multi-OS)                                                                                                                           ✗      ✗     ✗
Act of Misdirection, The (Multi-OS)                                                                                                                                ✗      ✗     ✗
Actual Destination (Windows)                                                                                                                                       ✗      ✗     ✗
Ad Verbum (Multi-OS)                                                                                                                                               ✗      ✗     ✗
Adibou 2 (DOS_French)                                                                                                                                              ✗      ✗     ✗
Adibou 2 (DOS_German)                                                                                                                                              ✗      ✗     ✗
