Sega - Game Gear Missing

Boxarts    286/511  55.97%
Snaps      371/511  72.60%
Titles     371/511  72.60%
Total    1028/1533  67.06%

Name                                                                                Boxart  Snap  Title
5 in One FunPak (USA)                                                                  ✗      ✗     ✗
Aa Harimanada (Japan)                                                                  -      -     -
Addams Family, The (World)                                                             -      -     -
Adventures of Batman _ Robin, The (USA, Europe)                                        -      -     -
Aerial Assault (Japan) (Rev 1)                                                         -      -     -
Aerial Assault (World)                                                                 -      -     -
Aladdin (Japan)                                                                        -      -     -
Aladdin (USA, Europe, Brazil)                                                          ✗      ✗     ✗
Alien 3 (Japan)                                                                        -      -     -
Alien 3 (USA, Europe)                                                                  -      -     -
Alien Syndrome (Europe)                                                                ✗      ✗     ✗
Alien Syndrome (Japan)                                                                 -      -     -
Andre Agassi Tennis (USA)                                                              -      -     -
Andre Agassi Tennis (USA) (Beta)                                                       ✗      ✗     ✗
Arcade Classics (USA)                                                                  -      -     -
Arch Rivals - The Arcade Game (USA)                                                    ✗      ✗     ✗
Arena - Maze of Death ~ Arena (USA, Europe)                                            ✗      ✗     ✗
Ariel the Little Mermaid (USA, Europe, Brazil)                                         ✗      ✗     ✗
Arliel - Crystal Densetsu (Japan)                                                      -      -     -
Asterix and the Great Rescue (Europe) (En,Fr,De,Es,It)                                 -      -     -
Asterix and the Great Rescue (USA)                                                     -      -     -
Asterix and the Secret Mission (Europe) (En,Fr,De)                                     -      -     -
Ax Battler - A Legend of Golden Axe (USA, Europe, Brazil) (Beta) (1991-08-10)          ✗      ✗     ✗
Ax Battler - A Legend of Golden Axe ~ Golden Axe (USA, Europe, Brazil)                 ✗      ✗     ✗
Ax Battler - Golden Axe Densetsu (Japan)                                               -      -     -
Ayrton Senna's Super Monaco GP II (Japan)                                              -      -     -
Ayrton Senna's Super Monaco GP II (USA, Europe, Brazil)                                ✗      ✗     ✗
Ayrton Senna's Super Monaco GP II (USA, Europe, Brazil) (Beta)                         ✗      ✗     ✗
Baku Baku Animal (Europe)                                                              -      -     -
Baku Baku Animal (USA)                                                                 -      -     -
Baku Baku Animal - Sekai Shiikugakari Senshu-ken (Japan)                               -      -     -
Barbie Super Model (USA) (Proto)                                                       ✗      ✗     ✗
Bare Knuckle II ~ Streets of Rage 2 ~ Streets of Rage II (World)                       -      -     -
Bare Knuckle ~ Streets of Rage (World)                                                 -      -     -
Batman Forever (World)                                                                 -      -     -
Batman Returns (World)                                                                 -      -     -
Batter Up (USA)                                                                        ✗      ✗     ✗
Battleship - The Classic Naval Combat Game (USA)                                       ✗      ✗     ✗
Battletoads (Japan, Europe)                                                            -      -     -
Battletoads (USA)                                                                      -      -     -
Beavis and Butt-Head (USA, Europe)                                                     -      -     -
Beavis and Butt-Head (USA, Europe) (Beta)                                              -      -     -
Berenstain Bears' Camping Adventure, The (USA)                                         -      -     -
Berlin no Kabe (Japan)                                                                 -      -     -
Bishoujo Senshi Sailor Moon S (Japan)                                                  -      -     -
Bonkers Wax Up! (USA, Europe)                                                          -      -     -
Bram Stoker's Dracula (Europe)                                                         -      -     -
Bram Stoker's Dracula (USA)                                                            -      -     -
Bubble Bobble (USA)                                                                    ✗      ✗     ✗
Bubble Bobble (USA) (Beta)                                                             ✗      ✗     ✗
Bugs Bunny in Double Trouble (USA, Europe)                                             -      -     -
Bust-A-Move (USA)                                                                      ✗      ✗     ✗
Buster Ball (Japan)                                                                    -      -     -
Buster Fight (Japan)                                                                   -      -     -
CJ Elephant Fugitive (USA, Europe)                                                     ✗      ✗     ✗
CJ Elephant Fugitive (USA, Europe) (Beta)                                              ✗      ✗     ✗
Caesars Palace (USA)                                                                   -      -     -
Captain America and the Avengers (USA)                                                 ✗      ✗     ✗
Car Licence (Japan)                                                                    ✗      -     -
Casino FunPak (USA)                                                                    ✗      ✗     ✗
Castle of Illusion Starring Mickey Mouse (USA, Europe, Brazil)                         ✗      ✗     ✗
Cave Dude (USA) (Proto)                                                                ✗      ✗     ✗
Chakan (USA, Europe)                                                                   -      -     -
Championship Hockey (Europe)                                                           -      -     -
Chase H.Q. (USA)                                                                       ✗      ✗     ✗
Cheese Cat-Astrophe Starring Speedy Gonzales (USA, Europe) (En,Fr,De,Es)               ✗      ✗     ✗
Chessmaster, The (USA, Europe, Brazil)                                                 ✗      ✗     ✗
Chicago Syndicate (USA, Brazil)                                                        ✗      ✗     ✗
Choplifter III (USA)                                                                   -      -     -
Chuck Rock (World)                                                                     -      -     -
Chuck Rock (World) (Beta)                                                              -      -     -
Chuck Rock II - Son of Chuck (Europe, Brazil)                                          ✗      ✗     ✗
Chuck Rock II - Son of Chuck (USA)                                                     -      -     -
Cliffhanger (USA)                                                                      -      -     -
Clutch Hitter (USA)                                                                    -      -     -
Coca-Cola Kid (Japan)                                                                  -      -     -
Columns (Japan) (En)                                                                   -      -     -
Columns (Japan) (En) (Rev 1)                                                           -      -     -
Columns (USA, Europe, Brazil)                                                          ✗      ✗     ✗
Cool Spot (Europe)                                                                     -      -     -
Cool Spot (USA)                                                                        -      -     -
Cosmic Spacehead (USA, Europe)                                                         ✗      ✗     ✗
Crayon Shin-chan - Taiketsu! Kantam Panic!! (Japan)                                    -      -     -
Crazy Faces (Europe) (Proto)                                                           ✗      ✗     ✗
Crystal Warriors (USA, Europe)                                                         -      -     -
CutThroat Island (USA)                                                                 ✗      ✗     ✗
CutThroat Island (USA) (Beta)                                                          ✗      ✗     ✗
Daffy Duck in Hollywood (Europe, Brazil) (En,Fr,De,Es,It)                              ✗      ✗     ✗
David Robinson's Supreme Court (USA) (Auto Demo)                                       ✗      ✗     ✗
Deep Duck Trouble Starring Donald Duck (USA, Europe)                                   -      -     -
Defenders of Oasis (USA, Europe)                                                       -      -     -
Defenders of Oasis (USA, Europe) (Beta)                                                -      -     -
Desert Speedtrap Starring Road Runner and Wile E. Coyote (Europe) (En,Fr,De,Es,It)     -      -     -
Desert Speedtrap Starring Road Runner and Wile E. Coyote (USA, Brazil)                 ✗      ✗     ✗
Desert Strike (Europe) (En,Fr,De,Es)                                                   -      -     -
Desert Strike - Return to the Gulf (USA)                                               -      -     -
Devilish (Europe, Brazil)                                                              ✗      ✗     ✗
Devilish (Japan)                                                                       -      -     -
Devilish (USA)                                                                         -      -     -
Donald Duck no 4-Tsu no Hihou (Japan)                                                  -      -     -
Donald Duck no Lucky Dime (Japan)                                                      -      -     -
Donald no Magical World (Japan) (En,Ja)                                                -      -     -
Doraemon - Noranosuke no Yabou (Japan)                                                 -      -     -
Doraemon - Waku Waku Pocket Paradise (Japan)                                           ✗      -     -
Double Dragon (USA, Europe)                                                            -      -     -
Double Dragon (USA, Europe) (Beta)                                                     -      -     -
Dr. Franken (Europe) (Proto)                                                           ✗      ✗     ✗
Dr. Robotnik's Mean Bean Machine (USA, Europe)                                         -      -     -
Dragon - The Bruce Lee Story (Europe)                                                  -      -     -
Dragon - The Bruce Lee Story (Europe) (Beta)                                           ✗      ✗     ✗
Dragon - The Bruce Lee Story (USA)                                                     -      -     -
Dragon Crystal (USA, Europe)                                                           -      -     -
Dragon Crystal - Tsurani no Meikyuu (Japan)                                            -      -     -
Dropzone (Europe)                                                                      -      -     -
Dunk Kids (Japan)                                                                      -      -     -
Dynamite Headdy (Japan)                                                                -      -     -
Dynamite Headdy (USA, Europe)                                                          -      -     -
Earthworm Jim (Europe)                                                                 -      -     -
Earthworm Jim (USA)                                                                    -      -     -
Ecco - The Tides of Time (USA, Europe)                                                 -      -     -
Ecco the Dolphin (Japan)                                                               ✗      -     -
Ecco the Dolphin (USA, Europe, Brazil)                                                 ✗      ✗     ✗
Ecco the Dolphin II (Japan)                                                            -      -     -
Empire Syndicate (USA, Brazil) (Beta)                                                  ✗      ✗     ✗
Ernie Els Golf (Europe) (En,Fr,De,Es,It)                                               -      -     -
Eternal Legend - Eien no Densetsu (Japan)                                              -      -     -
Evander Holyfield's 'Real Deal' Boxing (USA, Europe)                                   -      -     -
Excellent Dizzy Collection, The (Europe)                                               -      -     -
F-15 Strike Eagle (USA, Europe)                                                        -      -     -
F1 - World Championship Edition (Europe)                                               ✗      -     -
F1~ Formula One (USA, Europe)                                                          ✗      ✗     ✗
FIFA International Soccer (Japan)                                                      -      -     -
FIFA International Soccer (USA, Europe)                                                -      -     -
FIFA Soccer 96 (USA, Europe) (En,Fr,De,Es)                                             -      -     -
Faceball 2000 (Japan)                                                                  ✗      -     -
Factory Panic (Europe, Brazil)                                                         ✗      ✗     ✗
Fantastic Dizzy (Europe) (En,Fr,De,Es,It)                                              -      -     -
Fantasy Zone (USA, Brazil)                                                             ✗      ✗     ✗
Fantasy Zone Gear ~ Fantasy Zone (Japan, Europe)                                       ✗      ✗     ✗
Fatal Fury Special (Europe)                                                            -      -     -
Fatal Fury Special (USA)                                                               -      -     -
Foreman for Real (Japan, USA)                                                          ✗      ✗     ✗
Frank Thomas Big Hurt Baseball (USA)                                                   -      -     -
Fray - Shugyou Hen (Japan)                                                             -      -     -
Fred Couples Golf (Japan)                                                              ✗      ✗     ✗
Fred Couples Golf (USA)                                                                ✗      ✗     ✗
Frogger (USA) (Proto)                                                                  -      -     -
From TV Animation Slam Dunk - Shouri e no Starting 5 (Japan)                           ✗      ✗     ✗
G-LOC - Air Battle (Japan)                                                             ✗      -     -
G-LOC - Air Battle (Japan) (Rev 1)                                                     ✗      -     -
G-LOC - Air Battle (USA, Europe, Brazil)                                               ✗      ✗     ✗
G-Sonic ~ Sonic Blast (World)                                                          -      -     -
GG Aleste (Japan)                                                                      ✗      -     -
GG Aleste II ~ Power Strike II (Japan, Europe)                                         -      -     -
GG Portrait - Pai Chen (Japan)                                                         ✗      -     -
GG Portrait - Yuuki Akira (Japan)                                                      ✗      -     -
GG Shinobi ~ Shinobi (World) (Rev 1)                                                   ✗      ✗     ✗
GG Shinobi, The (Japan)                                                                -      -     -
GP Rider (Japan)                                                                       -      -     -
GP Rider (World)                                                                       ✗      ✗     ✗
GP Rider (World) (Beta) (1994-01-04)                                                   ✗      ✗     ✗
Galaga '91 (Japan)                                                                     ✗      -     -
Galaga 2 (Europe)                                                                      ✗      -     -
Gamble Panic (Japan)                                                                   ✗      -     -
Gambler Jiko Chuushinha (Japan)                                                        ✗      -     -
Ganbare Gorby! (Japan)                                                                 -      -     -
Garfield - Caught in the Act (USA, Europe)                                             -      -     -
Garou Densetsu Special (Japan)                                                         -      -     -
Gear Stadium (Japan)                                                                   -      -     -
Gear Stadium Heiseiban (Japan)                                                         ✗      -     -
Gear Works (USA)                                                                       -      -     -
George Foreman's KO Boxing (USA, Europe)                                               -      -     -
Global Gladiators (Europe)                                                             ✗      ✗     ✗
Gojira - Kaijuu Daishingeki (Japan)                                                    ✗      -     -
Greendog - The Beached Surfer Dude! (USA, Brazil)                                      ✗      ✗     ✗
Griffin (Japan)                                                                        -      -     -
Gunstar Heroes (Japan)                                                                 -      -     -
Halley Wars (Japan)                                                                    -      -     -
Halley Wars (USA, Europe, Brazil)                                                      ✗      ✗     ✗
Head Buster (Japan)                                                                    ✗      -     -
Heavy Weight Champ (Japan)                                                             -      -     -
Home Alone (USA, Europe, Brazil)                                                       ✗      ✗     ✗
Honoo no Toukyuuji - Dodge Danpei (Japan)                                              ✗      -     -
Hook (Europe)                                                                          -      -     -
Hook (USA)                                                                             -      -     -
Hurricanes (Europe)                                                                    -      -     -
Hyokkori Hyoutan-jima - Hyoutan-jima no Daikoukai (Japan)                              ✗      -     -
Hyper Pro Yakyuu '92 (Japan)                                                           ✗      -     -
In the Wake of Vampire (Japan)                                                         -      -     -
Incredible Crash Dummies, The ~ Crash Dummy - Slick Bouya no Daichousen (World)        ✗      ✗     ✗
Incredible Hulk, The (USA, Europe)                                                     -      -     -
Indiana Jones and the Last Crusade (USA, Europe)                                       -      -     -
Iron Man X-O Manowar in Heavy Metal (USA)                                              ✗      ✗     ✗
Itchy _ Scratchy Game, The (USA, Europe)                                               -      -     -
J.League GG Pro-Striker '94 (Japan)                                                    ✗      ✗     ✗
J.League Soccer - Dream Eleven (Japan)                                                 ✗      -     -
James Bond 007 - The Duel (Europe)                                                     -      -     -
James Pond 3 - Operation Starfi5h (Europe)                                             -      -     -
James Pond II - Codename RoboCod (Europe)                                              -      -     -
James Pond II - Codename RoboCod (USA)                                                 -      -     -
Jang Pung II (Korea) (Unl)                                                             ✗      -     -
Jeopardy! (USA)                                                                        -      -     -
Jeopardy! - Sports Edition (USA)                                                       ✗      ✗     ✗
Joe Montana Football (Japan)                                                           -      -     -
Joe Montana Football (USA, Europe)                                                     -      -     -
Journey from Darkness - Strider Returns (USA, Europe)                                  -      -     -
Judge Dredd (USA, Europe)                                                              -      -     -
Junction (Japan) (En)                                                                  -      -     -
Junction (USA)                                                                         -      -     -
Jungle Book, The (Europe)                                                              -      -     -
Jungle Book, The (USA)                                                                 -      -     -
Jungle Strike (USA)                                                                    ✗      -     -
Jurassic Park (Japan)                                                                  -      -     -
Jurassic Park (USA, Europe, Brazil)                                                    ✗      ✗     ✗
Kaitou Saint Tail (Japan)                                                              ✗      -     -
Kawasaki Superbike Challenge (Europe)                                                  ✗      ✗     ✗
Kawasaki Superbike Challenge (USA)                                                     ✗      ✗     ✗
Kenyuu Densetsu Yaiba (Japan)                                                          -      -     -
Kick _ Rush (Japan)                                                                    ✗      -     -
Kinetic Connection (Japan)                                                             ✗      -     -
Kishin Douji Zenki (Japan)                                                             -      -     -
Klax (USA, Europe)                                                                     -      -     -
Krusty's Fun House (USA, Europe)                                                       -      -     -
Kuni-chan no Game Tengoku (Japan)                                                      ✗      -     -
Kuni-chan no Game Tengoku Part 2 (Japan)                                               ✗      -     -
Land of Illusion Starring Mickey Mouse (USA, Europe, Brazil)                           ✗      ✗     ✗
Last Action Hero (USA)                                                                 -      -     -
Legend of Illusion Starring Mickey Mouse (USA, Europe)                                 -      -     -
Lemmings (World)                                                                       -      -     -
Lemmings (World) (Beta)                                                                -      -     -
Lemmings 2 - The Tribes (Europe) (Proto)                                               ✗      ✗     ✗
Lion King, The (Europe)                                                                -      -     -
Lion King, The (Japan)                                                                 -      -     -
Lion King, The (USA)                                                                   -      -     -
Lost World, The - Jurassic Park (USA)                                                  -      -     -
Lucky Dime Caper Starring Donald Duck, The (USA, Europe, Brazil)                       ✗      ✗     ✗
Lunar - Sanposuru Gakuen (Japan)                                                       -      -     -
