Sega - Mega-CD - Sega CD Missing

Boxarts    439/917  47.87%
Snaps      489/917  53.33%
Titles     489/917  53.33%
Total    1417/2751  51.51%

Name                                                                                                                   Boxart  Snap  Title
3 Ninjas Kick Back (USA)                                                                                                  -      -     -
A-Rank Thunder - Tanjou-hen (Japan)                                                                                       -      -     -
A-Rank Thunder Tanjouhen (Japan)                                                                                          ✗      -     -
A-X-101 (USA)                                                                                                             ✗      ✗     ✗
AH-3 Thunderstrike (USA)                                                                                                  -      -     -
AH3 - Thunderstrike (USA)                                                                                                 -      -     -
AX-101 (Japan)                                                                                                            -      -     -
AX-101 (USA)                                                                                                              -      -     -
Adventures of Batman _ Robin, The (Europe)                                                                                ✗      ✗     ✗
Adventures of Batman _ Robin, The (USA)                                                                                   -      -     -
Adventures of Batman and Robin, The (Europe)                                                                              -      -     -
Adventures of Batman and Robin, The (USA)                                                                                 -      -     -
Adventures of Willy Beamish, The (Dynamix) (USA)                                                                          ✗      ✗     ✗
Adventures of Willy Beamish, The (Dynamix) (USA)[CDAC-036400 1]                                                           ✗      ✗     ✗
Adventures of Willy Beamish, The (USA) (Alt)                                                                              -      -     -
After Armageddon Gaiden - Majuu Toushouden Eclipse (Japan)                                                                -      -     -
After Burner III (Europe)                                                                                                 -      -     -
After Burner III (Japan)                                                                                                  -      -     -
After Burner III (USA)                                                                                                    -      -     -
Aisle Lord (Japan)                                                                                                        -      -     -
Alshark (Japan)                                                                                                           -      -     -
Amazing Spider-Man vs. The Kingpin, The (Europe)                                                                          -      -     -
Amazing Spider-Man vs. The Kingpin, The (USA)                                                                             -      -     -
Amazing Spider-Man vs. The Kingpin, The (USA) (Rev 1)                                                                     -      -     -
Amazing Spider-Man vs. The Kingpin, The (USA)[CDAC-047100 6]                                                              ✗      ✗     ✗
Amazing Spider-Man vs. The Kingpin, The Rev 19930825 (USA)                                                                ✗      ✗     ✗
Amazing Spider-Man vs. The Kingpin, The Rev 19931109 (USA)                                                                ✗      ✗     ✗
Amazing Spider-man vs. The Kingpin, The (Europe)                                                                          ✗      ✗     ✗
Android Assault - The Revenge of Bari-Arm (USA)                                                                           -      -     -
Anett Futatabi (Japan)                                                                                                    -      -     -
Annett Futatabi (Japan)                                                                                                   -      -     -
Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan)                                                                     -      -     -
Aoki Ookami to Shiroki Mejika - Genchou Hishi (KOEI) (Japan)                                                              ✗      ✗     ✗
Aoki Ookami to Shiroki Mejika - Genchou Hishi (Koei) (Japan)                                                              ✗      ✗     ✗
Arcus I, II, III (Japan)                                                                                                  -      -     -
Arcus I-II-III (JP-KR) (ja)                                                                                               ✗      ✗     ✗
Arcus I-II-III (Japan)                                                                                                    ✗      -     -
Arislan Senki - The Heroic Legend of Arslan (Japan)                                                                       ✗      -     -
Arslan Senki (Japan)                                                                                                      -      -     -
BC Racers (Core Design) (Europe) (M3)                                                                                     ✗      ✗     ✗
