Sega - SG-1000 Missing

Boxarts   80/207  38.65%
Snaps    203/207  98.07%
Titles    92/207  44.44%
Total    375/621  60.39%

Name                                                                    Boxart  Snap  Title
007 James Bond (Japan) (Othello Multivision)                               -      -     -
007 James Bond (Japan) (Othello Multivision) (Alt)                         ✗      -     ✗
007 James Bond (Taiwan) (Othello Multivision) (Unl)                        ✗      -     ✗
Bank Panic (Japan)                                                         -      -     -
Bank Panic (Taiwan) (Unl)                                                  ✗      -     ✗
Black Onyx, The (Japan)                                                    -      -     -
Bomb Jack (Japan, Australia) (Ja)                                          -      -     -
Bomb Jack (Korea) (En) (English Logo) (Unl)                                ✗      -     ✗
Bomb Jack (Korea) (En) (Korean Logo) (Unl)                                 ✗      -     ✗
Bomb Jack (Taiwan) (Chinese Logo) (Unl)                                    ✗      -     ✗
Bomb Jack (Taiwan) (English Logo) (Unl)                                    ✗      -     ✗
Bomberman Special (Taiwan) (Chinese Logo) (Unl)                            ✗      -     ✗
Bomberman Special (Taiwan) (English Logo) (Unl)                            ✗      -     ✗
Borderline (Japan, Europe, Australia, New Zealand) (En)                    -      -     -
C_So! (Japan)                                                              -      -     -
C_So! (Taiwan) (Unl)                                                       ✗      -     ✗
Cabbage Patch Kids (Taiwan) (Unl)                                          ✗      -     ✗
Castle, The (Japan)                                                        -      -     -
Castle, The (Taiwan) (Unl)                                                 ✗      -     ✗
Chack'n Pop (Japan)                                                        -      -     -
Chack'n Pop (Taiwan) (Unl)                                                 ✗      -     ✗
Challenge Derby (Japan) (Othello Multivision)                              ✗      -     -
Challenge Derby (Japan) (Rev 1) (Othello Multivision)                      ✗      -     -
Challenge Derby (Japan) (Rev 1) (Othello Multivision) (Alt)                ✗      -     ✗
Champion Baseball (Japan)                                                  -      -     -
Champion Baseball (Japan, Australia, New Zealand) (Ja)                     -      -     -
Champion Baseball (Taiwan) (Unl)                                           ✗      -     ✗
Champion Billiards (Japan)                                                 -      -     -
Champion Billiards (Taiwan) (Unl)                                          ✗      -     ✗
Champion Boxing (Japan) (Rev 1)                                            -      -     -
Champion Boxing (Japan, New Zealand) (Ja)                                  -      -     -
Champion Boxing (Taiwan) (Unl)                                             ✗      -     ✗
Champion Golf (Japan) (Rev 1)                                              -      -     -
Champion Golf (Japan, Europe, Australia, New Zealand) (Ja)                 -      -     -
Champion Golf (Korea) (En) (Unl)                                           ✗      -     ✗
Champion Ice Hockey (Japan)                                                -      -     -
Champion Ice Hockey (Korea) (En) (Unl)                                     ✗      -     ✗
Champion Ice Hockey (Taiwan) (Unl)                                         ✗      -     ✗
Champion Kendou (Japan)                                                    -      -     -
Champion Kendou (Taiwan) (Unl)                                             ✗      -     ✗
Champion Pro Wrestling (Japan)                                             -      -     -
Champion Soccer (Japan, Europe) (Ja)                                       -      -     -
Champion Soccer (Taiwan) (Unl)                                             ✗      -     ✗
Champion Tennis (Japan, Europe, Australia, New Zealand) (Ja)               -      -     -
Championship Lode Runner (Japan, Australia) (Ja)                           -      -     -
Championship Lode Runner (Taiwan) (Unl)                                    ✗      -     ✗
Choplifter (Japan, Australia) (Ja)                                         -      -     -
Choplifter (Japan, Australia) (Ja) (Beta)                                  ✗      -     ✗
Choplifter (Korea) (En) (Unl)                                              ✗      -     ✗
Choplifter (Taiwan) (Chinese Logo) (Unl)                                   ✗      -     ✗
Choplifter (Taiwan) (English Logo) (Unl)                                   ✗      -     ✗
Choplifter (Taiwan) (No Logo) (Unl)                                        ✗      -     ✗
Circus Charlie (Korea) (Unl)                                               ✗      -     ✗
Circus Charlie (Taiwan) (Unl)                                              ✗      -     ✗
Complete Arcade Pack Collection, The (New Zealand) (SF-7000)               ✗      ✗     ✗
Congo Bongo (Japan)                                                        -      -     -
Congo Bongo (Japan, Europe) (Ja) (Rev 1) (Alt)                             ✗      -     ✗
Congo Bongo (Japan, Europe, Australia, New Zealand) (En) (Rev 1)           -      -     -
Congo Bongo (Taiwan) (Unl)                                                 ✗      -     ✗
Doki Doki Penguin Land (Japan)                                             -      -     -
Doki Doki Penguin Land (Taiwan) (Unl)                                      ✗      -     ✗
Dragon Wang (Japan)                                                        -      -     -
Dragon Wang (Japan) (Rev 1)                                                -      -     -
Dragon Wang (Taiwan) (Chinese Logo) (Unl)                                  ✗      -     ✗
Dragon Wang (Taiwan) (English Logo) (Unl)                                  ✗      -     ✗
Drol (Japan, Australia) (Ja)                                               -      -     -
Drol (Korea) (Unl)                                                         ✗      -     ✗
Drol (Taiwan) (Unl)                                                        ✗      -     ✗
Elevator Action (Japan)                                                    -      -     -
Elevator Action (Taiwan) (Unl)                                             ✗      -     ✗
Exerion (Japan, Europe, Australia, New Zealand) (En)                       -      -     -
Exerion (Korea) (Unl)                                                      ✗      -     ✗
Exerion (Taiwan) (Unl)                                                     ✗      -     ✗
Flicky (Japan) (Rev 1)                                                     -      -     -
Flicky (Japan, New Zealand) (Ja)                                           -      -     -
Flicky (Taiwan) (Unl)                                                      ✗      -     ✗
GP World (Japan)                                                           -      -     -
GP World (Japan) (Rev 1)                                                   ✗      -     -
GP World (Taiwan) (Unl)                                                    ✗      -     ✗
Girl's Garden (Japan, Australia) (Ja)                                      ✗      -     -
Girl's Garden (Taiwan) (Unl)                                               ✗      -     ✗
Golgo 13 (Japan)                                                           -      -     -
Gulkave (Japan)                                                            -      -     -
Gulkave (Korea) (Unl)                                                      ✗      -     ✗
Guzzler (Japan) (Othello Multivision)                                      -      -     -
Guzzler (Taiwan) (Othello Multivision) (Unl)                               ✗      -     ✗
H.E.R.O. (Japan)                                                           -      -     -
H.E.R.O. (Taiwan) (Chinese Logo) (Unl)                                     ✗      -     ✗
H.E.R.O. (Taiwan) (English Logo) (Unl)                                     ✗      -     ✗
Hang On II (Japan, Australia) (Ja)                                         -      -     -
Hang On II (Taiwan) (Chinese Logo) (Unl)                                   ✗      -     ✗
Hang On II (Taiwan) (English Logo) (Unl)                                   ✗      -     ✗
Home Mahjong (Japan)                                                       -      -     -
Home Mahjong (Japan) (Rev 1)                                               -      -     -
Home Mahjong (Taiwan) (Unl)                                                ✗      -     ✗
Hustle Chumy (Japan)                                                       -      -     -
Hustle Chumy (Taiwan) (Unl)                                                ✗      -     ✗
Hyper Sports (Japan)                                                       -      -     -
Hyper Sports (Korea) (Unl)                                                 ✗      -     ✗
Hyper Sports (Taiwan) (Unl)                                                ✗      -     ✗
Hyper Sports 2 (Taiwan) (Unl)                                              ✗      -     ✗
I.Q. (Korea) (Unl)                                                         ✗      -     ✗
Kamikaze (France) (En) (SF-7000) (Unl)                                     ✗      ✗     ✗
King's Valley (Taiwan) (Unl)                                               ✗      -     ✗
Knightmare (Taiwan) (Unl)                                                  ✗      -     ✗
Legend of Kage, The (Taiwan) (Unl)                                         ✗      ✗     ✗
Lode Runner (Japan, Europe, Australia) (En)                                -      -     -
Lode Runner (Korea) (Unl)                                                  ✗      -     ✗
Lode Runner (Taiwan) (Unl)                                                 ✗      -     ✗
Magical Kid Wiz (Taiwan) (Unl)                                             ✗      -     ✗
Magical Tree (Taiwan) (Unl)                                                ✗      -     ✗
Mahjong (Japan)                                                            -      -     -
Mahjong (Japan) (Rev 1)                                                    -      -     -
Mahjong (Taiwan) (Unl)                                                     ✗      -     ✗
Monaco GP (Japan) (Rev 1)                                                  -      -     -
Monaco GP (Japan, Europe) (Ja) (Rev 2)                                     ✗      -     -
Monaco GP (Japan, Europe, Australia, New Zealand) (Ja)                     ✗      -     -
Monaco GP (Taiwan) (Unl)                                                   ✗      -     ✗
N-Sub (Japan) (Alt)                                                        ✗      -     ✗
N-Sub (Japan, Europe, Australia, New Zealand) (Ja)                         ✗      -     -
N-Sub (Taiwan) (Unl)                                                       ✗      -     ✗
Ninja Princess (Japan, Australia) (Ja)                                     -      -     -
Ninja Princess (Taiwan) (Unl)                                              ✗      -     ✗
Okamoto Ayako no Match Play Golf (Japan) (Othello Multivision)             -      -     -
Okamoto Ayako no Match Play Golf (Japan) (Rev 1) (Othello Multivision)     ✗      -     -
Okamoto Ayako no Match Play Golf (Taiwan) (Othello Multivision) (Unl)      ✗      -     ✗
Orguss (Japan, Europe, Australia, New Zealand) (En)                        -      -     -
Othello (Japan)                                                            -      -     -
Othello (Taiwan) (Unl)                                                     ✗      -     ✗
