Sega - Saturn

Boxarts   229/4451  5.14%
Snaps     229/4451  5.14%
Titles    228/4451  5.12%
Total    686/13353  5.14%

Name                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      Boxart  Snap  Title
2do Aru Koto ha Sando R (JP) - _#65298;_#24230;_#12354;_#12427;_#12371;_#12392;_#12399;_#12469;_#12531;_#12489;_#12450;_#12540;_#12523;                                                                                                                                                                                                                                                                                                                                                                      ✗      ✗     ✗
2do Aru Koto ha Sando R (Satakore) (JP) - _#65298;_#24230;_#12354;_#12427;_#12371;_#12392;_#12399;_#12469;_#12531;_#12489;_#12450;_#12540;_#12523;_#12288;_#65288;_#12469;_#12479;_#12467;_#12524;_#65289;                                                                                                                                                                                                                                                                                                   ✗      ✗     ✗
2do Aru Koto wa Sando R (Japan)                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ✗      ✗     ✗
2Tax Gold (Japan)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ✗      ✓     ✓
2Tax Gold (JP) - _#12491;_#12479;_#12483;_#12463;_#12473;_#12468;_#12540;_#12523;_#12489;                                                                                                                                                                                                                                                                                                                                                                                                                    ✗      ✗     ✗
3 Free Games With Purchase of Sega Saturn (US)                                                                                                                                                                                                                                                                                                                                                                                                                                                               ✗      ✗     ✗
3D Baseball - The Majors (Japan)                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ✗      ✗     ✗
3D Baseball (US)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ✗      ✗     ✗
3D Baseball (USA)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ✓      ✓     ✓
3D Baseball (USA) (DW0842)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ✗      ✗     ✗
3D Lemmings (EU)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ✗      ✗     ✗
3D Lemmings (EUR) (DW0361)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ✗      ✗     ✗
