Sharp - X1 Missing

Boxarts  0/229  0.00%
Snaps    0/229  0.00%
Titles   0/229  0.00%
Total    0/687  0.00%

Name                                                                                           Boxart  Snap  Title
15 Puzzles (1983) (Apollo Technica) (Japan)[Req HuBasic]                                          ✗      ✗     ✗
177 (Macadamia)                                                                                   ✗      ✗     ✗
198X-nen (198x) (Kiya Overseas Industries) (Japan)[Req HuBasic]                                   ✗      ✗     ✗
2001 - An Adventure Story (1983) (TecnoSoft) (Japan)[Req HuBasic]                                 ✗      ✗     ✗
3-D Golf Simulation (198x) (T_E Soft) (Japan)[Req HuBasic]                                        ✗      ✗     ✗
3D Bomberman (1983) (Hudson Soft) (Japan)                                                         ✗      ✗     ✗
4th Unit, The (19xx) (Data West) (Disk 1 of 2)                                                    ✗      ✗     ✗
4th Unit, The (19xx) (Data West) (Disk 2 of 2)                                                    ✗      ✗     ✗
Ancient Ys Vanished Omen (Falcom) (Disk 1 of 2)                                                   ✗      ✗     ✗
Ancient Ys Vanished Omen (Falcom) (Disk 2 of 2)                                                   ✗      ✗     ✗
Ankokujou - Dark Castle of Lukteu (Enix - Random House) (Japan)                                   ✗      ✗     ✗
Armored Soldier, The (198x) (Genesis Soft) (Japan)                                                ✗      ✗     ✗
Atama no taisou (198x) (Hudson Soft) (Japan)[Req HuBasic]                                         ✗      ✗     ✗
Bat (198x) (Dentaro) (Japan)                                                                      ✗      ✗     ✗
Bat (198x) (Dentaro) (Japan) (Alt 1)                                                              ✗      ✗     ✗
Bishoujo shashinkan - Studio Cut (Hard)                                                           ✗      ✗     ✗
Black Onyx, The (BPS) (Japan)                                                                     ✗      ✗     ✗
Bokosuka Wars (1983) (ASCII) (Japan)                                                              ✗      ✗     ✗
Bomberman (1983) (Hudson Soft) (Japan)                                                            ✗      ✗     ✗
Bousou Tokkyuu SOS (Japan) (En)                                                                   ✗      ✗     ✗
Brain Breaker (Enix)                                                                              ✗      ✗     ✗
Bu U Ma + Black Onyx + Thunderforce (19xx) (-)                                                    ✗      ✗     ✗
Bu u ma (Mukau - Pax Softnica) (Japan)                                                            ✗      ✗     ✗
Cannon Ball (1983) (Hudson Soft) (Japan)                                                          ✗      ✗     ✗
Cannon Ball (Japan)                                                                               ✗      ✗     ✗
Cannonball Run 2 (Japan)                                                                          ✗      ✗     ✗
Castle Excellent (1985-12) (ASCII) (Japan)                                                        ✗      ✗     ✗
Castle, The (1985-06) (ASCII) (Japan)                                                             ✗      ✗     ✗
Castle, The (1985-06) (ASCII) (Japan) (Alt 1)                                                     ✗      ✗     ✗
Cepton (1983) (Formal Soft) (Japan)                                                               ✗      ✗     ✗
Chack'n Pop (Nidecom - Carry Lab) (Japan)[LOAD+RUN]                                               ✗      ✗     ✗
Champion Pro Wrestling Special (Micronet) (Japan)                                                 ✗      ✗     ✗
