Sharp - X68000 Missing

Boxarts  1797/3271  54.94%
Snaps     152/3271   4.65%
Titles      1/3271   0.03%
Total    1950/9813  19.87%

Name                                                                                               Boxart  Snap  Title
15 Puzzle (Sygnas)                                                                                    ✗      ✗     ✗
177 (Macadamia)                                                                                       ✗      ✗     ✗
2096 AD (Home Data) (Disk 1 of 3) (Disk A)                                                            ✗      ✗     ✗
2096 AD (Home Data) (Disk 1 of 3) (Disk A) (Alt 1)                                                    ✗      ✗     ✗
2096 AD (Home Data) (Disk 2 of 3) (Disk B)                                                            ✗      ✗     ✗
2096 AD (Home Data) (Disk 2 of 3) (Disk B) (Alt 1)                                                    ✗      ✗     ✗
2096 AD (Home Data) (Disk 3 of 3) (Disk C)                                                            ✗      ✗     ✗
3 Danhenkei Meka Fuzzy (19xx) (Login) (Disk 1 of 2)                                                   ✗      ✗     ✗
3 Danhenkei Meka Fuzzy (19xx) (Login) (Disk 2 of 2)                                                   ✗      ✗     ✗
3 Meekaa (Youkan Soft)                                                                                ✗      ✗     ✗
37 Degrees C Kai No Bouken (19xx) (68 Bank)                                                           ✗      ✗     ✗
38 Man Kilo No Kokuu (System Sacom) (Disk 1 of 4)                                                     ✗      ✗     ✗
38 Man Kilo No Kokuu (System Sacom) (Disk 2 of 4)                                                     ✗      ✗     ✗
38 Man Kilo No Kokuu (System Sacom) (Disk 3 of 4)                                                     ✗      ✗     ✗
38 Man Kilo No Kokuu (System Sacom) (Disk 3 of 4) (Alt 1)                                             ✗      ✗     ✗
38 Man Kilo No Kokuu (System Sacom) (Disk 4 of 4)                                                     ✗      ✗     ✗
38 Man Kilo No Kokuu (System Sacom) (Disk 4 of 4) (Alt 1)                                             ✗      ✗     ✗
38-man Kilo no Kokuu - A Day in the Life of 2049 (System Sacom) (Japan) (Disk 1)                      ✗      ✗     ✗
38-man Kilo no Kokuu - A Day in the Life of 2049 (System Sacom) (Japan) (Disk 2)                      ✗      ✗     ✗
38-man Kilo no Kokuu - A Day in the Life of 2049 (System Sacom) (Japan) (Disk 3)                      ✗      ✗     ✗
38-man Kilo no Kokuu - A Day in the Life of 2049 (System Sacom) (Japan) (Disk 4)                      ✗      ✗     ✗
4th Unit Act 2, The (Data West) (Disk 1 of 3) (Disk A)                                                -      ✗     ✗
4th Unit Act 2, The (Data West) (Disk 1 of 3) (Disk A) (Alt 1)                                        -      ✗     ✗
4th Unit Act 2, The (Data West) (Disk 2 of 3) (Disk B)                                                -      ✗     ✗
4th Unit Act 2, The (Data West) (Disk 3 of 3) (Disk C)                                                -      ✗     ✗
4th Unit Act 3 Dual Target, The (Data West) (Disk 1 of 3) (Disk A)                                    -      ✗     ✗
4th Unit Act 3 Dual Target, The (Data West) (Disk 1 of 3) (Disk A) (Alt 1)                            -      ✗     ✗
4th Unit Act 3 Dual Target, The (Data West) (Disk 2 of 3) (Disk B)                                    -      ✗     ✗
4th Unit Act 3 Dual Target, The (Data West) (Disk 2 of 3) (Disk B) (Alt 1)                            -      ✗     ✗
4th Unit Act 3 Dual Target, The (Data West) (Disk 3 of 3) (Disk C)                                    -      ✗     ✗
4th Unit Act 4 Zero, The (Data West) (Disk 1 of 3) (Disk A)                                           -      ✗     ✗
4th Unit Act 4 Zero, The (Data West) (Disk 2 of 3) (Disk B)                                           -      ✗     ✗
4th Unit Act 4 Zero, The (Data West) (Disk 2 of 3) (Disk B) (Alt 1)                                   -      ✗     ✗
4th Unit Act 4 Zero, The (Data West) (Disk 3 of 3) (Disk C)                                           -      ✗     ✗
4th Unit Act 4 Zero, The (Data West) (Disk 3 of 3) (Disk C) (Alt 1)                                   -      ✗     ✗
4th Unit Act 5 D-Again, The (Data West) (Disk 1 of 4) (Disk A)                                        -      ✗     ✗
4th Unit Act 5 D-Again, The (Data West) (Disk 1 of 4) (Disk A) (Alt 1)                                -      ✗     ✗
4th Unit Act 5 D-Again, The (Data West) (Disk 2 of 4) (Disk B)                                        -      ✗     ✗
4th Unit Act 5 D-Again, The (Data West) (Disk 3 of 4) (Disk C)                                        -      ✗     ✗
4th Unit Act 5 D-Again, The (Data West) (Disk 3 of 4) (Disk C) (Alt 1)                                -      ✗     ✗
4th Unit Act 5 D-Again, The (Data West) (Disk 4 of 4) (Disk D)                                        -      ✗     ✗
4th Unit, The (Data West) (Disk 1 of 2) (Disk A)                                                      -      ✗     ✗
4th Unit, The (Data West) (Disk 1 of 2) (Disk A) (Alt 1)                                              -      ✗     ✗
4th Unit, The (Data West) (Disk 2 of 2) (Disk B)                                                      -      ✗     ✗
A Ressha De Ikou II (Artdink) (Disk 1 of 2)                                                           -      ✗     ✗
A Ressha De Ikou II (Artdink) (Disk 2 of 2)                                                           -      ✗     ✗
A Ressha De Ikou III (Artdink) (Disk 1 of 2)                                                          -      ✗     ✗
A Ressha De Ikou III (Artdink) (Disk 1 of 2) (Alt 1)                                                  -      ✗     ✗
A Ressha De Ikou III (Artdink) (Disk 2 of 2)                                                          -      ✗     ✗
A Ressha De Ikou III (Artdink) (Disk 2 of 2) (Alt 1)                                                  -      ✗     ✗
A Ressha De Ikou III (Artdink) (Disk 2 of 2) (Alt 3)                                                  -      ✗     ✗
A Ressha De Ikou III (Artdink) (Disk 2 of 2) (Alt 4)                                                  -      ✗     ✗
A Ressha De Ikou III (Artdink) (Disk 2 of 2) (Alt 5)                                                  -      ✗     ✗
A-Jax (Konami) (Disk 2 of 3) (Disk 1)                                                                 -      ✗     ✗
A-Jax (Konami) (Disk 3 of 3) (Disk 2)                                                                 -      ✗     ✗
Aakushu Youen No Jidai Wo Koete                                                                       -      ✗     ✗
Aakushu Youen No Jidai Wo Koete (Alt 1)                                                               -      ✗     ✗
Aakushu Youen No Jidai Wo Koete (Alt 2)                                                               -      ✗     ✗
Abunai Tengoku Densetsu (Alice Soft)                                                                  ✗      ✗     ✗
