Sinclair - ZX 81 Missing

Boxarts  0/1216  0.00%
Snaps    0/1216  0.00%
Titles   0/1216  0.00%
Total    0/3648  0.00%

Name                                                                             Boxart  Snap  Title
2D Labyrinth (19xx)(-)                                                              ✗      ✗     ✗
2D Labyrinth (19xx)(-)[a]                                                           ✗      ✗     ✗
3D 3D (1981)(DK'Tronics)                                                            ✗      ✗     ✗
3D Defender (19xx)(J.K. Greye Software)                                             ✗      ✗     ✗
3D Defender (19xx)(J.K. Greye Software)(nl)                                         ✗      ✗     ✗
3D Defender (19xx)(J.K. Greye Software)(nl)[a]                                      ✗      ✗     ✗
3D Defender (19xx)(J.K. Greye Software)[a]                                          ✗      ✗     ✗
3D Escape (19xx)(-)                                                                 ✗      ✗     ✗
3D Grand Prix (1982)(DK'Tronics)                                                    ✗      ✗     ✗
3D Grand Prix (1982)(DK'Tronics)[a2]                                                ✗      ✗     ✗
3D Grand Prix (1982)(DK'Tronics)[a]                                                 ✗      ✗     ✗
3D Highway Race (19xx)(Tarusoft)(de)                                                ✗      ✗     ✗
3D Highway Race (19xx)(Tarusoft)(nl)                                                ✗      ✗     ✗
3D Highway Race v1.0 (1983)(Thomas A. Runkler)(de)                                  ✗      ✗     ✗
3D Labyrinth (1983)(H. Stamm)                                                       ✗      ✗     ✗
3D Labyrinth (1983)(H. Stamm)[a2]                                                   ✗      ✗     ✗
3D Labyrinth (1983)(H. Stamm)[a]                                                    ✗      ✗     ✗
3D Labyrinth (19xx)(-)(de)                                                          ✗      ✗     ✗
3D Maze (19xx)(-)                                                                   ✗      ✗     ✗
3D Maze (19xx)(-)[a]                                                                ✗      ✗     ✗
3D Monster Labyrinth (19xx)(-)(de)                                                  ✗      ✗     ✗
3D Monster Maze (19xx)(J.K. Greye Software)                                         ✗      ✗     ✗
3D Monster Maze (19xx)(J.K. Greye Software)[a]                                      ✗      ✗     ✗
3D Netwerk (19xx)(-)                                                                ✗      ✗     ✗
3D Nought and Crosses (19xx)(-)                                                     ✗      ✗     ✗
3D Oxo (1984)(A.J. Heathcote)                                                       ✗      ✗     ✗
3D Rotatie (19xx)(Frank Moquette)(nl)                                               ✗      ✗     ✗
3D Tic-Tac-Toe (19xx)(-)                                                            ✗      ✗     ✗
3D Tic-Tac-Toe (19xx)(-)[a]                                                         ✗      ✗     ✗
3D-Mover (19xx)(-)                                                                  ✗      ✗     ✗
4472 Flying Scotsman (19xx)(-)                                                      ✗      ✗     ✗
4472 Flying Scotsman (19xx)(-)(nl)                                                  ✗      ✗     ✗
8 Way Scroll (19xx)(-)                                                              ✗      ✗     ✗
84 Caves, The (19xx)(-)                                                             ✗      ✗     ✗
84 Caves, The (19xx)(-)[a]                                                          ✗      ✗     ✗
