Sinclair - ZX Spectrum +3

Boxarts  0/130  0.00%
Snaps    0/130  0.00%
Titles   0/130  0.00%
Total    0/390  0.00%

Name                                                                               Boxart  Snap  Title
Action Force - International Heroes (Europe)                                          ✗      ✗     ✗
Action Force II - International Heroes (Europe)                                       ✗      ✗     ✗
Adidas Championship Tie Break (Europe)                                                ✗      ✗     ✗
Artura (Europe)                                                                       ✗      ✗     ✗
Badlands (Europe)                                                                     ✗      ✗     ✗
Beverly Hills Cop (Europe)                                                            ✗      ✗     ✗
Bloodwych (Europe)                                                                    ✗      ✗     ✗
Boggit, The - Bored Too (Europe)                                                      ✗      ✗     ✗
Book of the Dead (Europe)                                                             ✗      ✗     ✗
Buffalo Bill's Rodeo Games (Europe)                                                   ✗      ✗     ✗
Butcher Hill (Europe)                                                                 ✗      ✗     ✗
Carrier Command (Europe)                                                              ✗      ✗     ✗
Chicago 30's (Europe)                                                                 ✗      ✗     ✗
Combat School (Europe)                                                                ✗      ✗     ✗
Corruption (Europe)                                                                   ✗      ✗     ✗
Cybernoid - The Fighting Machine (Europe)                                             ✗      ✗     ✗
Cybernoid II - The Revenge (Europe)                                                   ✗      ✗     ✗
Dan Dare III - The Escape (Europe)                                                    ✗      ✗     ✗
Dark Fusion (Europe)                                                                  ✗      ✗     ✗
Deep, The (Europe)                                                                    ✗      ✗     ✗
Deflektor (Europe)                                                                    ✗      ✗     ✗
Dominator (Europe)                                                                    ✗      ✗     ✗
Echelon (Europe)                                                                      ✗      ✗     ✗
Erik - The Phantom of the Opera (Europe)                                              ✗      ✗     ✗
Escape From the Planet of the Robot Monsters (Europe)                                 ✗      ✗     ✗
Espionage - The Computer Game (Europe)                                                ✗      ✗     ✗
F-16 Combat Pilot (Europe)                                                            ✗      ✗     ✗
Federation (Europe)                                                                   ✗      ✗     ✗
Firefly (Europe)                                                                      ✗      ✗     ✗
Fish! (Europe)                                                                        ✗      ✗     ✗
Football Director II (Europe)                                                         ✗      ✗     ✗
Footballer of the Year 2 (Europe)                                                     ✗      ✗     ✗
Four Smash Hits From Hewson - Exolon + Zynaps + Rana Rama + Uridium Plus (Europe)     ✗      ✗     ✗
Garfield - Big, Fat, Hairy Deal (Europe)                                              ✗      ✗     ✗
Gary Lineker's Hot-Shot! (Europe)                                                     ✗      ✗     ✗
Gary Lineker's Superskills (Europe)                                                   ✗      ✗     ✗
Gary Lineker's Superstar Soccer (Europe)                                              ✗      ✗     ✗
Gauntlet (Europe)                                                                     ✗      ✗     ✗
Gauntlet II (Europe)                                                                  ✗      ✗     ✗
Gazza II (Europe)                                                                     ✗      ✗     ✗
Gazza's Super Soccer (Europe)                                                         ✗      ✗     ✗
Ghouls 'n' Ghosts (Europe)                                                            ✗      ✗     ✗
H.A.T.E. - Hostile All Terrain Encounter (Europe)                                     ✗      ✗     ✗
H.K.M. - Human Killing Machine (Europe)                                               ✗      ✗     ✗
Heroes of the Lance (Europe)                                                          ✗      ✗     ✗
HeroQuest (Europe)                                                                    ✗      ✗     ✗
Iron Lord (Europe)                                                                    ✗      ✗     ✗
Italia '90 - World Cup Soccer (Europe)                                                ✗      ✗     ✗
Ivan Ironman Stewart's Super Off Road (Europe)                                        ✗      ✗     ✗
J.R.R. Tolkien's War in Middle Earth (Europe)                                         ✗      ✗     ✗
Jack the Ripper (Europe)                                                              ✗      ✗     ✗
Kenny Dalglish Soccer Match (Europe)                                                  ✗      ✗     ✗
Kick Off (Europe)                                                                     ✗      ✗     ✗
Last Mohican, The (Europe)                                                            ✗      ✗     ✗
LED Storm - Lazer Enhanced Destruction (Europe)                                       ✗      ✗     ✗
Light Corridor, The (Europe)                                                          ✗      ✗     ✗
Loads of Midnight (Europe)                                                            ✗      ✗     ✗
Lone Wolf - The Mirror of Death (Europe)                                              ✗      ✗     ✗
Lotus Esprit Turbo Challenge (Europe)                                                 ✗      ✗     ✗
Magic Knight Trilogy - Finders Keepers + Spellbound + Knight Tyme (Europe)            ✗      ✗     ✗
Marauder (Europe)                                                                     ✗      ✗     ✗
Mask III - Venom Strikes Back (Europe)                                                ✗      ✗     ✗
Masters of the Universe - The Movie (Europe)                                          ✗      ✗     ✗
Mega-Apocalypse (Europe)                                                              ✗      ✗     ✗
Mickey Mouse (Europe)                                                                 ✗      ✗     ✗
Midnight Resistance (Europe)                                                          ✗      ✗     ✗
Monty Python's Flying Circus (Europe)                                                 ✗      ✗     ✗
Ninja Warriors, The (Europe)                                                          ✗      ✗     ✗
North Star (Europe)                                                                   ✗      ✗     ✗
Obliterator (Europe)                                                                  ✗      ✗     ✗
P-47 Thunderbolt (Europe)                                                             ✗      ✗     ✗
Pac-Land (Europe)                                                                     ✗      ✗     ✗
Pang (Europe)                                                                         ✗      ✗     ✗
Passing Shot (Europe)                                                                 ✗      ✗     ✗
Pawn, The (Europe)                                                                    ✗      ✗     ✗
PHM Pegasus - Patrol Hydrofoil Missile Craft Simulation (Europe)                      ✗      ✗     ✗
Pipe Mania (Europe)                                                                   ✗      ✗     ✗
Pirate 3+3 - Holiday in Sumaria + Call Me Psycho + Smash Out! (Europe)                ✗      ✗     ✗
Platoon (Europe)                                                                      ✗      ✗     ✗
Predator 2 (Europe)                                                                   ✗      ✗     ✗
Pro Tennis Tour (Europe)                                                              ✗      ✗     ✗
Question of Scruples, A - The Computer Edition (Europe)                               ✗      ✗     ✗
Question of Sport, A (Europe)                                                         ✗      ✗     ✗
R.B.I. Baseball Two (Europe)                                                          ✗      ✗     ✗
Rainbow Islands (Europe)                                                              ✗      ✗     ✗
Renegade (Europe)                                                                     ✗      ✗     ✗
Rex (Europe)                                                                          ✗      ✗     ✗
Road Blasters (Europe)                                                                ✗      ✗     ✗
RoboCop 2 (Europe)                                                                    ✗      ✗     ✗
Rock Star Ate My Hamster (Europe)                                                     ✗      ✗     ✗
Rolling Thunder (Europe)                                                              ✗      ✗     ✗
Run the Gauntlet (Europe)                                                             ✗      ✗     ✗
Saint and Greavsie (Europe)                                                           ✗      ✗     ✗
Scrabble Deluxe (Europe)                                                              ✗      ✗     ✗
ShootAcular Disk 2 - Combat Zone + Firestorm + Dead or Alive (Europe)                 ✗      ✗     ✗
SimCity (Europe)                                                                      ✗      ✗     ✗
Skateball (Europe)                                                                    ✗      ✗     ✗
Skull & Crossbones (Europe)                                                           ✗      ✗     ✗
Snoopy - The Cool Computer Game (Europe)                                              ✗      ✗     ✗
Soldier of Light (Europe)                                                             ✗      ✗     ✗
Space Crusade (Europe)                                                                ✗      ✗     ✗
SportAcular Disk 1 - Soccer Boss + Olympic Spectacular + Indoor Soccer (Europe)       ✗      ✗     ✗
Spy Who Loved Me, The (Europe)                                                        ✗      ✗     ✗
Stalingrad (Europe)                                                                   ✗      ✗     ✗
Star Wars (Europe)                                                                    ✗      ✗     ✗
Star Wars - Return of the Jedi (Europe)                                               ✗      ✗     ✗
StarGlider (Europe)                                                                   ✗      ✗     ✗
Starring Charlie Chaplin (Europe)                                                     ✗      ✗     ✗
