Sinclair - ZX Spectrum Missing

Boxarts  1490/2499  59.62%
Snaps    2417/2499  96.72%
Titles   2045/2499  81.83%
Total    5952/7497  79.39%

Name                                                                                                              Boxart  Snap  Title
10th Frame (US Gold Ltd)                                                                                             -      -     -
13 Rue del Percebe (Pepsi Soft)                                                                                      ✗      -     -
16-OS Puzzle (Laszlo Nyitrai)                                                                                        ✗      -     -
16K Superchess (CP Software)                                                                                         -      -     ✗
180 (CCS)                                                                                                            -      -     ✗
180 (Mastertronic Added Dimension)                                                                                   -      -     -
1942 Mission (CCS)                                                                                                   -      -     -
1960's Locospotter (Ashley Greenup)                                                                                  ✗      -     -
1984 (Incentive Software Ltd)                                                                                        -      -     -
1984 Locospotter (Ashley Greenup)                                                                                    ✗      -     -
1985 - The Day After (Mastertronic Ltd)                                                                              -      -     -
1994 - Ten Years After (Visions Software Factory Ltd)                                                                -      -     -
1994 Locospotter (Ashley Greenup)                                                                                    ✗      -     -
1999 (Summit Software [1])                                                                                           -      -     -
2 Player Soccer Squad (Cult Games)                                                                                   -      -     -
2003 (DK'Tronics Ltd)                                                                                                -      -     -
2007 - A Spectrum Oddyssey (Ancient Bits)                                                                            -      -     ✗
2088 (Zeppelin Games Ltd)                                                                                            -      -     -
2112 AD (Design Design Software)                                                                                     -      -     -
3 Deep Space (Postern Ltd)                                                                                           -      -     -
3-D Monster Chase (Romik Software)                                                                                   ✗      -     -
3D-Interceptor (Ventamatic)                                                                                          -      -     ✗
3D-Tanx (DK'Tronics Ltd)                                                                                             ✗      -     -
3DC (Hit-Pak)                                                                                                        ✗      -     -
4 Minute Warning (Magination Software)                                                                               ✗      -     -
720 Degrees (US Gold Ltd)                                                                                            -      -     -
747 Flight Simulator (D.A.C.C. Ltd)                                                                                  -      -     -
911 TS (Elite Systems Ltd)                                                                                           ✗      -     -
A-Maze (K'Soft Ltd)                                                                                                  -      -     -
A.R.C.O.S. (Kabuto Factory)                                                                                          ✗      -     -
A.T.A.C. (Gadtek Games)                                                                                              ✗      -     -
A.T.R.A.M (Websters Software)                                                                                        ✗      -     -
ACE (Cascade Games Ltd)                                                                                              -      -     ✗
ACE 2- The Ultimate Head to Head Conflict (Cascade Games Ltd)                                                        -      ✗     ✗
APB (Domark Ltd)                                                                                                     -      -     -
ATF (Digital Integration)                                                                                            -      -     -
Abadia del Crimen, La (Opera Soft S.A.)                                                                              ✗      -     -
AbcZX (Compiuter Soft)                                                                                               -      -     ✗
Abington                                                                                                             ✗      -     ✗
Abu Simbel Profanation (Dinamic Software)                                                                            ✗      -     -
Abyss (CCS)                                                                                                          -      -     -
Accelerator (Century City Software Ltd)                                                                              -      -     -
Ace Low (CCS)                                                                                                        -      -     ✗
Ace in the H.O.L.E. (Kayde Software Ltd)                                                                             -      -     ✗
Ace of Aces (US Gold Ltd)                                                                                            -      -     -
Achus Babilonia (Penazo Soft)                                                                                        ✗      -     -
Acolyte (Video Images)                                                                                               ✗      -     -
Acorn's Quest (AH Software)                                                                                          ✗      -     -
Acro Jet (MicroProse Software Ltd)                                                                                   -      -     -
Across the Ravine (Granada Publishing)                                                                               ✗      -     ✗
Action Biker (Mastertronic Ltd)                                                                                      -      -     -
Action Fighter (Firebird Software Ltd)                                                                               -      -     -
Action Force (Virgin Games Ltd)                                                                                      -      -     -
Action Force II (Virgin Games Ltd)                                                                                   -      -     -
Action Reflex (Mirrorsoft Ltd)                                                                                       -      -     -
Ad Astra (Gargoyle Games)                                                                                            -      -     -
Addams Family, The (Ocean Software Ltd)                                                                              -      -     -
Adder Attack (Mogul Communications Ltd)                                                                              -      -     -
Adidas Championship Football (Ocean Software Ltd)                                                                    -      -     -
Adidas Championship Tie-Break (Ocean Software Ltd)                                                                   -      -     -
Admiral Graf Spee (Temptation Software Ltd)                                                                          -      -     -
Adultia                                                                                                              ✗      -     -
Advanced Soccer Simulator (Mastertronic Plus)                                                                        -      -     -
Adventure (Micro Gold)                                                                                               ✗      -     -
Adventure 1 (Abersoft)                                                                                               -      -     -
Adventure 100 (Hyperion Software)                                                                                    ✗      -     ✗
Adventure 200 (Foilkade Ltd)                                                                                         ✗      -     ✗
Adventure 2001 (R. Tomlin)                                                                                           ✗      -     -
Adventure A- Planet of Death (Artic Computing Ltd)                                                                   ✗      ✗     ✗
Adventure B- Inca Curse (Artic Computing Ltd)                                                                        ✗      ✗     ✗
Adventure C- Ship of Doom (Artic Computing Ltd)                                                                      ✗      ✗     ✗
Adventure D- Espionage Island (Artic Computing Ltd)                                                                  ✗      ✗     ✗
Adventure E- Golden Apple (Artic Computing Ltd)                                                                      ✗      ✗     ✗
Adventure F- Eye of Bain (Artic Computing Ltd)                                                                       ✗      ✗     ✗
Adventure G- Ground Zero (Artic Computing Ltd)                                                                       ✗      ✗     ✗
Adventure Island (Contrast Software)                                                                                 ✗      -     -
Adventure Quest (Level 9 Computing Ltd)                                                                              -      -     ✗
Adventure in Bristol (Garry Lancaster)                                                                               -      -     -
Adventureland (Adventure International)                                                                              -      -     -
Adventurer's Nightmare (Wicosoft)                                                                                    ✗      -     -
Adventures in the Lost Valley (Mega-Soft [2])                                                                        ✗      -     -
Adventures of Barsak the Dwarf (Gilsoft International)                                                               -      -     -
Adventures of St. Bernard, The (Carnell Software Ltd)                                                                -      -     -
Adversary (unpublished)                                                                                              ✗      -     -
