Sony - PlayStation Portable (PSX2PSP) Missing

Boxarts   0/65  0.00%
Snaps     0/65  0.00%
Titles    0/65  0.00%
Total    0/195  0.00%

Name                                                       Boxart  Snap  Title
Alexi Lala's International Soccer (USA) (Unl)                 ✗      ✗     ✗
Anna Kournikova's Smash Court Tennis (Europe) (Unl)           ✗      ✗     ✗
Arc the Lad (Japan) (Unl)                                     ✗      ✗     ✗
Asteroids (USA) (Unl)                                         ✗      ✗     ✗
Battle Arena Toshinden 3 (USA) (Unl)                          ✗      ✗     ✗
Bio Hazard - Director's Cut (Japan) (Unl)                     ✗      ✗     ✗
Bubsy 3D (USA) (Unl)                                          ✗      ✗     ✗
Captain Rave (Japan) (Unl)                                    ✗      ✗     ✗
Cardinal Syn (USA) (Unl)                                      ✗      ✗     ✗
Chrono Cross (Europe) (Unl)                                   ✗      ✗     ✗
Circuit Breakers (Europe) (Unl)                               ✗      ✗     ✗
Cool Boarders (USA) (Unl)                                     ✗      ✗     ✗
Covert Ops - Nuclear Dawn (USA) (Unl)                         ✗      ✗     ✗
Crash Bandicoot (USA) (Unl)                                   ✗      ✗     ✗
Crash Bandicoot 3 - Warped (USA) (Unl)                        ✗      ✗     ✗
Diablo (USA) (Unl)                                            ✗      ✗     ✗
Digimon World (USA) (Unl)                                     ✗      ✗     ✗
Duke Nukem - Time to Kill (Europe) (Unl)                      ✗      ✗     ✗
Evil Dead - Hail to the King (USA) (Unl)                      ✗      ✗     ✗
Fade to Black (USA) (Unl)                                     ✗      ✗     ✗
Felony 11-79 (USA) (Unl)                                      ✗      ✗     ✗
Final Fantasy Anthology - Collector's Edition (USA) (Unl)     ✗      ✗     ✗
Final Fantasy IX (USA) (Unl)                                  ✗      ✗     ✗
Final Fantasy VIII (USA) (Unl)                                ✗      ✗     ✗
G-Police 2 - Weapons of Justice (USA) (Unl)                   ✗      ✗     ✗
Gran Turismo 2 (Europe) (Unl)                                 ✗      ✗     ✗
Gran Turismo 2 (USA) (Unl)                                    ✗      ✗     ✗
Grand Theft Auto (USA) (Unl)                                  ✗      ✗     ✗
In Cold Blood (USA) (Unl)                                     ✗      ✗     ✗
Jade Cocoon Legend of Tamamayu (USA) (Unl)                    ✗      ✗     ✗
Koudelka (USA) (Unl)                                          ✗      ✗     ✗
Langrisser I and II (Japan) (Unl)                             ✗      ✗     ✗
Legend of Dragoon (USA) (Unl)                                 ✗      ✗     ✗
M and M - Shell Shocked (USA) (Unl)                           ✗      ✗     ✗
MediEvil (USA) (Unl)                                          ✗      ✗     ✗
MegaMan X6 (USA) (Unl)                                        ✗      ✗     ✗
Metal Gear Solid (USA) (Unl)                                  ✗      ✗     ✗
Mission Impossible (World) (Unl)                              ✗      ✗     ✗
Monopoly (Europe) (En,Fr,De,Es,It) (Unl)                      ✗      ✗     ✗
Moon Remix - RPG Adventure (Japan) (Unl)                      ✗      ✗     ✗
Mortal Kombat - Special Forces (USA) (Unl)                    ✗      ✗     ✗
N20 (USA) (Unl)                                               ✗      ✗     ✗
Newman-Haas Racing (USA) (Unl)                                ✗      ✗     ✗
NFL Blitz 2001 (USA) (Unl)                                    ✗      ✗     ✗
NFL Xtreme (USA) (Unl)                                        ✗      ✗     ✗
Nightmare Creatures (USA) (Unl)                               ✗      ✗     ✗
Oddworld - Abe's Exodus (Europe) (Unl)                        ✗      ✗     ✗
Oddworld - Abe's Exodus (USA) (Unl)                           ✗      ✗     ✗
Parasite Eve (USA) (Unl)                                      ✗      ✗     ✗
Rayman (USA) (Unl)                                            ✗      ✗     ✗
ReLoaded (Europe) (Unl)                                       ✗      ✗     ✗
Resident Evil 2 (USA) (Unl)                                   ✗      ✗     ✗
Scooby Doo and the Cyber Chase (USA) (Unl)                    ✗      ✗     ✗
Star Gladiator - Episode 1 - Final Crusade (USA) (Unl)        ✗      ✗     ✗
Syphon Filter (USA) (Unl)                                     ✗      ✗     ✗
Syphon Filter 2 (USA) (Unl)                                   ✗      ✗     ✗
Tekken 2 (USA) (Unl)                                          ✗      ✗     ✗
Tenchu 2 (USA) (Unl)                                          ✗      ✗     ✗
Thunder Force 5 (USA) (Unl)                                   ✗      ✗     ✗
Tomb Raider 5 - Chronicles (USA) (Unl)                        ✗      ✗     ✗
Vagrant Story (Europe) (Unl)                                  ✗      ✗     ✗
Vagrant Story (France) (Unl)                                  ✗      ✗     ✗
Wu Tang - Shaolin Style (Europe) (Unl)                        ✗      ✗     ✗
Xenogears (Europe) (Unl)                                      ✗      ✗     ✗
Yu-Gi-Oh! - Forbidden Memories (USA) (Unl)                    ✗      ✗     ✗
