Sony - PlayStation Portable Vita

Name                                                                   Boxart  Snap  Title
Akiba Strip 2 (Korea)                                                     ✗      ✗     ✗
Army Corps of Hell (USA)                                                  ✗      ✗     ✗
Assassin's Creed III - Liberation (Europe) (En,Fr,De,Es,It,Nl,Ru)         ✗      ✗     ✗
Batman - Arkham Origins - Blackgate (Europe)                              ✗      ✗     ✗
Ben 10 - Galactic Racing (USA)                                            ✗      ✗     ✗
BlazBlue - Continuum Shift - EXTEND (USA)                                 ✗      ✗     ✗
Borderlands 2 (Europe) [b]                                                ✗      ✗     ✗
Call of Duty - Black Ops - Declassified (Europe)                          ✗      ✗     ✗
Child of Light (USA)                                                      ✓      ✗     ✗
Code - Realize - Guardian of Rebirth (USA)                                ✗      ✗     ✗
Criminal Girls - Invite Only (USA)                                        ✗      ✗     ✗
Danganronpa - Trigger Happy Havoc (USA)                                   ✗      ✗     ✗
Danganronpa 2 - Goodbye Despair (USA)                                     ✗      ✗     ✗
Dead or Alive - Xtreme 3 - Venus (Asia)                                   ✗      ✗     ✗
Dead or Alive 5 Plus (USA)                                                ✓      ✗     ✗
Disgaea 4 - A Promise Revisited (USA)                                     ✗      ✗     ✗
Disney Infinity - 2.0 Edition - Marvel Super Heroes (USA)                 ✗      ✗     ✗
Dragon Ball Z - Battle of Z (Europe)                                      ✗      ✗     ✗
Dungeon Hunter Alliance (Europe)                                          ✗      ✗     ✗
Dynasty Warriors Next (USA)                                               ✗      ✗     ✗
Everybody's Golf (Europe) (En,Fr,De,It)                                   ✗      ✗     ✗
F1 2011 (USA)                                                             ✗      ✗     ✗
F1 2011 (Europe) (En,Fr,De,Es,It,Pt,Sv,Fi)                                ✗      ✗     ✗
Fez (USA)                                                                 ✗      ✗     ✗
FIFA Football (Germany)                                                   ✗      ✗     ✗
FIFA Soccer (USA)                                                         ✗      ✗     ✗
FIFA Soccer 13 (USA)                                                      ✗      ✗     ✗
Final Fantasy X - HD Remaster (Europe) (En,Fr,De,Es,It) [b]               ✗      ✗     ✗
Final Fantasy X-2 - HD Remaster (Europe) (En,Fr,De,Es,It)                 ✗      ✗     ✗
Freedom Wars (USA)                                                        ✗      ✗     ✗
Gal Gun - Double Peace (Europe)                                           ✗      ✗     ✗
Gravity Rush (USA)                                                        ✓      ✗     ✗
Gravity Rush (Europe)                                                     ✗      ✗     ✗
Hot Shots Golf - World Invitational (USA)                                 ✗      ✗     ✗
Invizimals - The Alliance (Europe)                                        ✗      ✗     ✗
Invizimals - The Resistance (Europe)                                      ✗      ✗     ✗
J-Stars Victory Vs Plus (Europe)                                          ✗      ✗     ✗
Killzone - Mercenary (USA)                                                ✗      ✗     ✗
Killzone Mercenary (Europe) [b]                                           ✗      ✗     ✗
LEGO - The Hobbit (Europe)                                                ✗      ✗     ✗
LEGO Batman 2 - DC Super Heroes (Europe)                                  ✗      ✗     ✗
LEGO Batman 2 - DC Super Heroes (USA)                                     ✗      ✗     ✗
LEGO Harry Potter - Years 5-7 (USA)                                       ✗      ✗     ✗
LEGO Legends of Chima - Laval's Journey (USA)                             ✗      ✗     ✗
LEGO Movie Videogame, The (Europe)                                        ✗      ✗     ✗
LEGO Star Wars - The Force Awakens (USA)                                  ✗      ✗     ✗
LEGO The Lord of the Rings (USA)                                          ✗      ✗     ✗
Little Deviants (Europe)                                                  ✗      ✗     ✗
Little Deviants (USA)                                                     ✗      ✗     ✗
LittleBigPlanet PS Vita (USA)                                             ✗      ✗     ✗
LittleBigPlanet PS Vita (Europe)                                          ✗      ✗     ✗
Lumines - Electronic Symphony (Europe)                                    ✗      ✗     ✗
Lumines - Electronic Symphony (USA)                                       ✗      ✗     ✗
Metal Gear Solid HD Collection (USA)                                      ✗      ✗     ✗
