Sony - PlayStation Missing

Boxarts   8915/10737  83.03%
Snaps     9605/10737  89.46%
Titles    8669/10737  80.74%
Total    27189/32211  84.41%

Name                                                                                                                  Boxart  Snap  Title
'98 Koushien (Japan) (Demo)                                                                                              -      -     ✗
'98 Koushien - Koukou Yakyuu Simulation (Japan)                                                                          -      -     -
'99 Koushien (Japan)                                                                                                     -      -     -
'99 Koushien (Japan) (Demo)                                                                                              -      -     ✗
'Butagee' de Iinja Nai (Japan)                                                                                           -      -     -
0 kara no Mahjong - Mahjong Youchien Tamago-gumi (Japan)                                                                 -      -     -
0 kara no Shougi - Shougi Youchien Ayumi-gumi (Japan)                                                                    -      -     -
007 - Demain ne Meurt Jamais (France)                                                                                    -      -     -
007 - Der Morgen Stirbt Nie (Germany)                                                                                    -      -     -
007 - Die Welt Ist Nicht Genug (Germany)                                                                                 -      -     -
007 - El Mundo Nunca es Suficiente (Spain)                                                                               -      -     -
007 - Le Monde ne Suffit Pas (France)                                                                                    -      -     -
007 - The World Is Not Enough (Europe)                                                                                   -      -     -
007 - The World Is Not Enough (Sweden)                                                                                   -      -     -
007 - The World Is Not Enough (USA)                                                                                      -      -     -
007 - The World Is Not Enough (USA) (Beta)                                                                               ✗      -     ✗
007 - Tomorrow Never Dies (Europe)                                                                                       -      -     -
007 - Tomorrow Never Dies (Japan)                                                                                        -      -     -
007 - Tomorrow Never Dies (USA)                                                                                          -      -     -
007 Racing (Europe)                                                                                                      -      -     -
007 Racing (France)                                                                                                      -      -     -
007 Racing (Germany)                                                                                                     -      -     -
007 Racing (USA)                                                                                                         -      -     -
007 Racing (USA)[cr PDX][t +6 PDX][SLUS-01300]                                                                           ✗      ✗     ✗
1 on 1 (Japan)                                                                                                           -      -     -
1 on 1 (Japan) (Demo)                                                                                                    -      -     ✗
100 Man Yen Quiz Hunter (Japan)                                                                                          -      -     -
100% Star (Europe)                                                                                                       -      -     -
100% Star (France)                                                                                                       -      -     -
10101 - Will the Starship (Japan)                                                                                        -      -     -
10th Anniversary Memorial Save Data (Japan) (Disc 1) (PlayStation Taiou)                                                 -      -     ✗
16 Tales 1 (USA)                                                                                                         ✗      -     ✗
16 Tales 2 (USA)                                                                                                         ✗      -     -
16 Tales 3 (USA)                                                                                                         ✗      -     ✗
16 Tales 4 (USA)                                                                                                         ✗      -     ✗
19-ji 03-pun - Ueno-hatsu Yakou Ressha (Japan)                                                                           -      -     -
19-ji 03-pun - Ueno-hatsu Yakou Ressha (Japan) (Demo)                                                                    -      -     ✗
1Xtreme (USA)                                                                                                            -      -     -
20-seiki Striker Retsuden - The 20th Century's Real Strikers (Japan)                                                     -      -     -
2002 FIFA World Cup (Europe) (En,Sv)                                                                                     -      -     -
2002 FIFA World Cup (France)                                                                                             -      -     -
2002 FIFA World Cup (Germany)                                                                                            -      -     -
2002 FIFA World Cup (Italy)                                                                                              -      -     -
2002 FIFA World Cup (Spain)                                                                                              -      -     -
2002 FIFA World Cup (USA) (En,Es)                                                                                        -      -     -
2Xtreme (Europe)                                                                                                         -      -     -
2Xtreme (USA)                                                                                                            -      -     -
3, 2, 1, Smurf! My First Racing Game (Europe) (En,Fr,De,Es,It,Nl)                                                        -      -     -
3, 2, 1, Smurf! My First Racing Game (M6)[h STC][SLES-03120]                                                             ✗      ✗     ✗
360 Three Sixty (Europe) (En,Fr,De,Es,It,Sv)                                                                             -      -     -
3D Baseball (USA)                                                                                                        -      -     -
3D Baseball - The Majors (Japan)                                                                                         -      -     -
3D Kakutou Tkool (Japan)                                                                                                 -      -     -
3D Lemmings (Europe)                                                                                                     -      -     -
3D Lemmings (Japan)                                                                                                      -      -     -
3D Lemmings (USA)                                                                                                        -      -     -
3D Mission Shooting - Finalist (Japan)                                                                                   -      -     -
3D Shooting Tkool (Japan)                                                                                                -      -     -
3D-Kaleidoscope - Baby Universe (Japan)                                                                                  -      -     -
3Xtreme (USA)                                                                                                            -      -     -
3Xtreme (USA) (Demo)                                                                                                     ✗      -     ✗
3x3 Eyes - Kyuusei Koushu (Japan) (Disc 1)                                                                               -      -     -
3x3 Eyes - Kyuusei Koushu (Japan) (Disc 2)                                                                               -      -     -
3x3 Eyes - Tenrin'ou Genmu (Japan) (Disc 1)                                                                              -      -     -
3x3 Eyes - Tenrin'ou Genmu (Japan) (Disc 2)                                                                              -      -     -
3x3 Eyes - Tenrin'ou Genmu (Japan) (Disc 3)                                                                              -      -     -
4-4-2 Soccer (Europe) (En,Fr,De,Es)                                                                                      -      -     -
40 Winks (Europe)                                                                                                        -      -     -
40 Winks (Europe) (Demo)                                                                                                 -      -     ✗
40 Winks (Italy)                                                                                                         -      -     -
40 Winks (Spain)                                                                                                         -      -     -
40 Winks (USA)                                                                                                           -      -     -
4x4 World Trophy (Europe) (En,Fr,De,Es,It)                                                                               -      -     -
4x4 World Trophy (M5)[cr PDX][t +7 PDX][SLES-02017]                                                                      ✗      ✗     ✗
5 Star Racing (Europe)                                                                                                   -      -     -
50 por 15 - Quiere Ser Millonario (Spain)                                                                                -      -     -
70's Robot Anime - Geppy-X (Japan) (Demo)                                                                                ✗      -     ✗
70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan) (Disc 1)                                                    -      -     -
70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan) (Disc 2)                                                    -      -     -
70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan) (Disc 3)                                                    -      -     -
70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan) (Disc 4)                                                    -      -     -
A Ressha de Ikou 4 - Evolution (Japan)                                                                                   -      -     -
A Ressha de Ikou 4 - Evolution (Japan) (Gentei Set)                                                                      -      -     -
A Ressha de Ikou 4 - Evolution (Japan) (Rev 1)                                                                           -      -     -
A Ressha de Ikou 4 - Evolution Global (Japan) (En,Ja,Fr,De)                                                              -      -     -
A Ressha de Ikou 4 - Evolution Global (Japan) (En,Ja,Fr,De) (PlayStation the Best)                                       -      -     -
A Ressha de Ikou Z - Mezase! Tairiku Oudan (Japan)                                                                       -      -     -
A Sangre Fria (Spain) (Disc 1)                                                                                           -      -     -
A Sangre Fria (Spain) (Disc 2)                                                                                           -      -     -
A Sangue Freddo (Italy) (Disc 1)                                                                                         -      -     -
A Sangue Freddo (Italy) (Disc 2)                                                                                         -      -     -
A-Train - Trains, Power, Money (USA) (En,Ja,Fr,De)                                                                       -      -     -
A.IV - Evolution Global (Europe) (En,Ja,Fr,De)                                                                           ✗      -     -
A2 Racer - Europa Tour (Netherlands)                                                                                     -      -     -
A5 - A Ressha de Ikou 5 (Japan, Asia)                                                                                    ✗      ✗     ✗
AFL 99 (Australia)                                                                                                       -      -     -
AI Mahjong 2000 (Japan)                                                                                                  -      -     -
AI Mahjong Selection (Japan)                                                                                             -      -     -
AI Shougi (Japan)                                                                                                        -      -     -
AI Shougi 2 (Japan)                                                                                                      -      -     -
AI Shougi 2 Deluxe (Japan)                                                                                               -      -     -
AI Shougi Selection (Japan)                                                                                              -      -     -
ASCII Entertainment Demo CD (USA)                                                                                        ✗      ✗     ✗
ASCII Zanmai (Japan)                                                                                                     -      -     ✗
ATV - Quad Power Racing (Europe) (En,Fr,De)                                                                              -      -     -
ATV - Quad Power Racing (Japan)                                                                                          -      -     -
ATV - Quad Power Racing (USA)                                                                                            -      -     -
ATV Mania (Europe) (En,Fr,De,It)                                                                                         -      -     -
ATV Mania (USA)                                                                                                          -      -     -
ATV Racers (Europe)                                                                                                      -      -     -
ATV Racers (USA)                                                                                                         -      -     -
AbalaBurn (Japan)                                                                                                        -      -     -
Abe '99 (Japan) (Disc 1)                                                                                                 -      -     -
Abe '99 (Japan) (Disc 2)                                                                                                 -      -     -
Abe a GoGo (Japan)                                                                                                       -      -     -
Abe a GoGo (Japan) (Demo)                                                                                                ✗      -     ✗
Absolute Football (France) (En,Fr,De,Es,It,Pt)                                                                           -      -     -
Ace Combat (Japan)                                                                                                       -      -     -
Ace Combat 2 (Europe)                                                                                                    -      -     -
Ace Combat 2 (France)                                                                                                    -      -     -
Ace Combat 2 (Germany)                                                                                                   -      -     -
Ace Combat 2 (Japan)                                                                                                     -      -     ✗
Ace Combat 2 (Japan) (Rev 1)                                                                                             -      -     ✗
Ace Combat 2 (USA)                                                                                                       -      -     -
Ace Combat 3 - Electrosphere (Europe) (En,Fr,De,Es,It)                                                                   -      -     -
Ace Combat 3 - Electrosphere (Japan) (Disc 1)                                                                            -      -     -
Ace Combat 3 - Electrosphere (Japan) (Disc 2)                                                                            -      -     -
Ace Combat 3 - Electrosphere (Japan, Asia) (Disc 1) (Rev 1)                                                              -      -     -
Ace Combat 3 - Electrosphere (Japan, Asia) (Disc 2) (Rev 1)                                                              -      -     -
Ace Combat 3 - Electrosphere (USA)                                                                                       -      -     -
Ace Combat 3 - Electrosphere - Direct Audio with AppenDisc (Japan)                                                       -      -     -
Aces of the Air (USA)                                                                                                    -      -     -
Acid (Japan)                                                                                                             -      -     -
Acid (Japan) (Demo)                                                                                                      ✗      -     ✗
Acid (Japan) (Major Wave)                                                                                                -      -     -
Aconcagua (Japan) (Disc 1)                                                                                               -      -     -
Aconcagua (Japan) (Disc 2)                                                                                               -      -     -
Action Bass (Europe)                                                                                                     -      -     -
Action Bass (Japan)                                                                                                      -      -     -
Action Bass (USA)                                                                                                        -      -     -
Action Man - Destruction X (Europe) (En,Fr,De,Es,It)                                                                     -      -     -
Action Man - Mission Xtreme (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi)                                                     -      -     -
Action Man - Mission Xtreme (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi) (EDC)                                               -      -     -
Action Man - Operation Extreme (USA)                                                                                     -      -     -
Action Replay (Europe) (Unl)                                                                                             ✗      ✗     ✗
Action Replay 2 (France) (Disc 2) (Unl)                                                                                  ✗      ✗     ✗
Action Replay 2 - Bonus PSone Codes! (USA) (Disc 2) (Unl)                                                                ✗      ✗     ✗
Action Replay 2 - Bonus PSone Codes! (USA) (En,Fr,Es,Pt) (Disc 2) (Unl) (Rev 1)                                          ✗      ✗     ✗
Action Replay 2 Code Archive Disk (Germany) (Disc 2) (German Edition) (Unl)                                              ✗      ✗     ✗
Action Replay 2 V2 - Bonus PSone Codes (USA) (Disc 2) (Unl)                                                              ✗      ✗     ✗
Action Replay 2 Version 2.23 (Europe) (En,Fr,De,It) (Disc 2) (Bonus PSone Codes!) (Unl)                                  ✗      ✗     ✗
Action Replay CDX Version 3.3 (France) (Unl)                                                                             ✗      ✗     ✗
Action Replay Ultimate Codes for Final Fantasy Compilation Pack (USA) (Unl)                                              ✗      ✗     ✗
Action Replay for PSX _ PSone (USA) (Unl)                                                                                ✗      ✗     ✗
Activision Classics (USA)                                                                                                -      -     -
Actua Golf (Europe) (En,Fr,De)                                                                                           -      -     -
Actua Golf (Japan)                                                                                                       -      -     -
Actua Golf 2 (Europe)                                                                                                    -      -     -
Actua Golf 3 (Europe)                                                                                                    -      -     -
Actua Ice Hockey (Europe) (En,Fr,De,Sv,Fi)                                                                               -      -     -
Actua Ice Hockey (Japan)                                                                                                 -      -     -
Actua Ice Hockey 2 (Europe)                                                                                              -      -     -
Actua Pool (Europe)                                                                                                      -      -     -
Actua Soccer (Europe) (En,Fr)                                                                                            -      -     -
Actua Soccer (Europe) (En,Fr) (Rev 1)                                                                                    -      -     -
Actua Soccer (Japan)                                                                                                     -      -     -
Actua Soccer - Club Edition (Europe)                                                                                     -      -     -
Actua Soccer 2 (Europe) (En,Fr)                                                                                          -      -     -
Actua Soccer 2 (Germany) (En,De)                                                                                         -      -     -
Actua Soccer 2 (Italy)                                                                                                   -      -     -
Actua Soccer 3 (Europe)                                                                                                  -      -     -
Actua Soccer 3 (France)                                                                                                  -      -     -
Actua Soccer 3 (Germany)                                                                                                 -      -     -
Actua Soccer 3 (Italy)                                                                                                   -      -     -
Actua Tennis (Europe)                                                                                                    -      -     -
Actua Tennis (Europe) (Fr,De)                                                                                            -      -     -
Addie no Okurimono - To Moze from Addie (Japan)                                                                          -      -     -
Addie no Okurimono - To Moze from Addie (Japan) (Demo)                                                                   ✗      -     ✗
Adiboo _ Paziral's Secret (Europe) (En,Fr,De,Es,It)                                                                      -      -     -
Adibou et l'Ombre Verte (France)                                                                                         -      -     -
Adidas Power Soccer (Europe) (En,Fr,De,Es,It)                                                                            -      -     ✗
Adidas Power Soccer (UK) (Demo)                                                                                          ✗      -     ✗
Adidas Power Soccer (USA)                                                                                                -      -     ✗
Adidas Power Soccer + Resident Evil + Shellshock + Descent (Europe)                                                      ✗      ✗     ✗
Adidas Power Soccer 2 (Europe) (Demo)                                                                                    ✗      -     ✗
Adidas Power Soccer 2 (Europe) (En,Fr,De,Es,It,Nl)                                                                       -      -     ✗
Adidas Power Soccer 98 (Europe) (En,Fr,De,Es,It,Nl)                                                                      -      -     -
Adidas Power Soccer 98 (France) (Demo)                                                                                   ✗      -     ✗
Adidas Power Soccer 98 (Germany) (Demo)                                                                                  ✗      -     ✗
Adidas Power Soccer 98 (USA)                                                                                             -      -     -
Adidas Power Soccer International '97 (Europe) (En,Fr,De,Es,It,Nl)                                                       -      -     -
Adlib Ouji - ...to Fuyukai na Nakama-tachi! (Japan)                                                                      -      -     -
Advan Racing (Japan)                                                                                                     -      -     -
Advanced Dungeons _ Dragons - Iron _ Blood - Warriors of Ravenloft (Europe)                                              -      -     -
Advanced Dungeons _ Dragons - Iron _ Blood - Warriors of Ravenloft (USA)                                                 -      -     -
Advanced Dungeons _ Dragons - Iron _ Blood - Warriors of Ravenloft (USA) (Demo)                                          ✗      -     ✗
Advanced V.G. (Japan)                                                                                                    -      -     -
Advanced V.G. (Japan) (Demo)                                                                                             ✗      -     ✗
Advanced V.G. 2 (Japan)                                                                                                  -      -     -
Advanced V.G. 2 (Japan) (Demo)                                                                                           ✗      ✗     ✗
