TIC-80 Missing

Boxarts   441/756  58.33%
Snaps       9/756   1.19%
Titles    164/756  21.69%
Total    614/2268  27.07%

Name                                                   Boxart  Snap  Title
15                                                        -      ✗     ✗
10 Print chr$(205.5+rnd(1)); _ Goto 10                    ✗      ✗     ✗
12 Paces Joe                                              -      -     -
15 Minutes to Live                                        ✗      ✗     ✗
1bit Data                                                 ✗      ✗     ✗
2 Player Bomberman                                        -      -     -
2-Bit Sprite                                              ✗      ✗     ✗
2048 (TIC-80 Version)                                     ✗      ✗     ✗
29 in 1                                                   ✗      ✗     ✗
29 in 1 (Color)                                           ✗      ✗     ✗
29 in 1 (Geometry)                                        ✗      ✗     ✗
32 Colours                                                -      ✗     ✗
3D-Demo                                                   ✗      ✗     ✗
3DTest                                                    ✗      ✗     ✗
4 Guys! (4-Player Hello World Cartridge)                  ✗      ✗     ✗
4ikibabmoni                                               ✗      ✗     ✗
5 New Palettes in Palette Demo                            ✗      ✗     ✗
5-Bit Square Wave _ 8-Bit Square Wave - Sound Test        ✗      ✗     ✗
8 Bit Panda                                               -      -     -
8 Bit Panda '3DGlasses' Edition                           ✗      ✗     ✗
8 Bit Panda 'Virtual Boy' Edition                         ✗      ✗     ✗
8 Bit Panda (Cheat Version)                               ✗      ✗     ✗
8 Bit Panda (Ost Oscilloscope View)                       ✗      ✗     ✗
8 Bit Panda Invisable Editon                              -      -     -
8 Bit Panda Reborn                                        ✗      ✗     ✗
8 Bit Panda_ Whiteout Challenge                           ✗      ✗     ✗
99 in 1 (10.11.17)                                        ✗      ✗     ✗
A Blobfish Out of Water                                   ✗      ✗     ✗
A Clicker                                                 -      ✗     -
A Couple of Songs I Made Today                            ✗      ✗     ✗
A Great of Scanline Tricks!                               ✗      ✗     ✗
Aabb for Babbies                                          ✗      ✗     ✗
Advanced Lzw Test                                         ✗      ✗     ✗
Adventure Game Sample                                     -      ✗     ✗
Air Hockey                                                -      ✗     -
Alien Shooter                                             ✗      ✗     ✗
Aligned Movement Demo                                     -      ✗     ✗
All Mario Blocks                                          -      ✗     ✗
Amrogue                                                   -      ✗     -
An Arpeggio Song                                          -      ✗     ✗
Animation                                                 -      ✗     ✗
Animation ( Dancing Trees )                               ✗      ✗     ✗
Animation Demo                                            -      ✗     ✗
